[2024-04-01 12:15:10] [world] The Player <Tester> has broke STONE at X= -33418, Y= 171, Z= 13472
[2024-04-01 12:16:57] [world] The Player <Tester> has broke STONE at X= -33423, Y= 172, Z= 13478
[2024-04-01 12:20:59] [world] The Player <Tester> has broke STONE at X= -33380, Y= 171, Z= 13479
[2024-04-01 12:21:08] [world] The Player <Tester> has broke STONE at X= -33369, Y= 171, Z= 13472
[2024-04-01 12:21:51] [world] The Player <Tester> has broke FENCE at X= -33370, Y= 172, Z= 13475
[2024-04-01 12:42:43] [world] The Player <Tester_> has broke CHEST at X= -569, Y= 66, Z= 412
[2024-04-02 02:12:44] [world] The Player <xcpc> has broke LEAVES at X= -303, Y= 71, Z= 274
[2024-04-02 02:12:45] [world] The Player <xcpc> has broke LEAVES at X= -302, Y= 71, Z= 274
[2024-04-02 02:12:46] [world] The Player <xcpc> has broke LEAVES at X= -302, Y= 71, Z= 273
[2024-04-02 02:12:47] [world] The Player <xcpc> has broke LOG at X= -302, Y= 71, Z= 272
[2024-04-02 02:12:48] [world] The Player <xcpc> has broke LOG at X= -302, Y= 72, Z= 272
[2024-04-02 02:12:48] [world] The Player <xcpc> has broke LOG at X= -302, Y= 73, Z= 272
[2024-04-02 02:12:49] [world] The Player <xcpc> has broke LEAVES at X= -302, Y= 72, Z= 273
[2024-04-02 02:12:49] [world] The Player <xcpc> has broke LOG at X= -302, Y= 70, Z= 272
[2024-04-02 02:12:53] [world] The Player <xcpc> has broke LEAVES at X= -301, Y= 71, Z= 274
[2024-04-02 02:12:54] [world] The Player <xcpc> has broke LEAVES at X= -302, Y= 72, Z= 274
[2024-04-02 02:12:55] [world] The Player <xcpc> has broke LEAVES at X= -303, Y= 72, Z= 274
[2024-04-02 02:12:57] [world] The Player <xcpc> has broke LEAVES at X= -303, Y= 71, Z= 273
[2024-04-02 02:12:58] [world] The Player <xcpc> has broke LEAVES at X= -303, Y= 72, Z= 273
[2024-04-02 02:12:59] [world] The Player <xcpc> has broke LEAVES at X= -304, Y= 71, Z= 273
[2024-04-02 02:13:50] [world] The Player <xcpc> has broke LOG at X= -291, Y= 72, Z= 286
[2024-04-02 02:13:50] [world] The Player <xcpc> has broke LOG at X= -291, Y= 72, Z= 285
[2024-04-02 02:13:51] [world] The Player <xcpc> has broke LOG at X= -290, Y= 72, Z= 286
[2024-04-02 02:13:51] [world] The Player <xcpc> has broke LOG at X= -291, Y= 73, Z= 286
[2024-04-02 02:13:51] [world] The Player <xcpc> has broke LOG at X= -291, Y= 73, Z= 285
[2024-04-02 02:13:52] [world] The Player <xcpc> has broke LEAVES at X= -291, Y= 73, Z= 287
[2024-04-02 02:13:53] [world] The Player <xcpc> has broke LEAVES at X= -290, Y= 73, Z= 287
[2024-04-02 02:13:53] [world] The Player <xcpc> has broke LOG at X= -290, Y= 73, Z= 286
[2024-04-02 02:13:54] [world] The Player <xcpc> has broke LOG at X= -290, Y= 73, Z= 285
[2024-04-02 02:13:55] [world] The Player <xcpc> has broke LOG at X= -290, Y= 74, Z= 286
[2024-04-02 02:13:55] [world] The Player <xcpc> has broke LOG at X= -290, Y= 75, Z= 286
[2024-04-02 02:13:56] [world] The Player <xcpc> has broke LOG at X= -290, Y= 74, Z= 285
[2024-04-02 02:13:56] [world] The Player <xcpc> has broke LOG at X= -290, Y= 75, Z= 285
[2024-04-02 02:13:57] [world] The Player <xcpc> has broke LOG at X= -290, Y= 76, Z= 286
[2024-04-02 02:13:57] [world] The Player <xcpc> has broke LOG at X= -290, Y= 76, Z= 285
[2024-04-02 02:13:57] [world] The Player <xcpc> has broke LOG at X= -291, Y= 74, Z= 286
[2024-04-02 02:13:58] [world] The Player <xcpc> has broke LOG at X= -291, Y= 75, Z= 286
[2024-04-02 02:13:58] [world] The Player <xcpc> has broke LOG at X= -291, Y= 76, Z= 286
[2024-04-02 02:13:59] [world] The Player <xcpc> has broke LOG at X= -291, Y= 74, Z= 285
[2024-04-02 02:13:59] [world] The Player <xcpc> has broke LOG at X= -291, Y= 75, Z= 285
[2024-04-02 02:14:00] [world] The Player <xcpc> has broke LOG at X= -290, Y= 72, Z= 285
[2024-04-02 02:14:00] [world] The Player <xcpc> has broke LOG at X= -290, Y= 71, Z= 286
[2024-04-02 02:14:01] [world] The Player <xcpc> has broke LOG at X= -290, Y= 71, Z= 285
[2024-04-02 02:14:01] [world] The Player <xcpc> has broke LOG at X= -291, Y= 71, Z= 286
[2024-04-02 02:14:01] [world] The Player <xcpc> has broke LOG at X= -291, Y= 71, Z= 285
[2024-04-02 02:14:08] [world] The Player <xcpc> has broke SAPLING at X= -291, Y= 71, Z= 285
[2024-04-02 02:14:08] [world] The Player <xcpc> has broke SAPLING at X= -290, Y= 71, Z= 285
[2024-04-02 02:14:20] [world] The Player <xcpc> has broke LEAVES at X= -292, Y= 72, Z= 285
[2024-04-02 02:14:21] [world] The Player <xcpc> has broke LEAVES at X= -292, Y= 72, Z= 286
[2024-04-02 02:14:21] [world] The Player <xcpc> has broke LOG at X= -291, Y= 72, Z= 286
[2024-04-02 02:14:22] [world] The Player <xcpc> has broke LEAVES at X= -292, Y= 73, Z= 286
[2024-04-02 02:14:22] [world] The Player <xcpc> has broke LOG at X= -291, Y= 73, Z= 286
[2024-04-02 02:14:23] [world] The Player <xcpc> has broke LOG at X= -291, Y= 73, Z= 285
[2024-04-02 02:14:24] [world] The Player <xcpc> has broke LOG at X= -291, Y= 72, Z= 285
[2024-04-02 02:14:24] [world] The Player <xcpc> has broke LOG at X= -291, Y= 74, Z= 286
[2024-04-02 02:14:24] [world] The Player <xcpc> has broke LOG at X= -291, Y= 74, Z= 285
[2024-04-02 02:14:25] [world] The Player <xcpc> has broke LOG at X= -291, Y= 75, Z= 285
[2024-04-02 02:14:25] [world] The Player <xcpc> has broke LOG at X= -291, Y= 76, Z= 285
[2024-04-02 02:14:26] [world] The Player <xcpc> has broke LOG at X= -291, Y= 75, Z= 286
[2024-04-02 02:14:26] [world] The Player <xcpc> has broke LOG at X= -291, Y= 76, Z= 286
[2024-04-02 02:14:26] [world] The Player <xcpc> has broke LOG at X= -290, Y= 74, Z= 286
[2024-04-02 02:14:27] [world] The Player <xcpc> has broke LOG at X= -290, Y= 74, Z= 285
[2024-04-02 02:14:27] [world] The Player <xcpc> has broke LOG at X= -290, Y= 75, Z= 285
[2024-04-02 02:14:28] [world] The Player <xcpc> has broke LOG at X= -290, Y= 73, Z= 286
[2024-04-02 02:14:29] [world] The Player <xcpc> has broke LOG at X= -290, Y= 73, Z= 285
[2024-04-02 02:14:29] [world] The Player <xcpc> has broke LOG at X= -290, Y= 72, Z= 286
[2024-04-02 02:14:29] [world] The Player <xcpc> has broke LOG at X= -290, Y= 72, Z= 285
[2024-04-02 02:14:30] [world] The Player <xcpc> has broke LOG at X= -291, Y= 71, Z= 286
[2024-04-02 02:14:30] [world] The Player <xcpc> has broke LOG at X= -290, Y= 71, Z= 286
[2024-04-02 02:14:31] [world] The Player <xcpc> has broke LOG at X= -291, Y= 71, Z= 285
[2024-04-02 02:14:31] [world] The Player <xcpc> has broke LOG at X= -290, Y= 71, Z= 285
[2024-04-02 02:15:11] [world] The Player <xcpc> has broke LEAVES at X= -293, Y= 72, Z= 286
[2024-04-02 02:15:12] [world] The Player <xcpc> has broke LEAVES at X= -292, Y= 72, Z= 286
[2024-04-02 02:15:12] [world] The Player <xcpc> has broke LEAVES at X= -291, Y= 72, Z= 286
[2024-04-02 02:15:13] [world] The Player <xcpc> has broke LEAVES at X= -291, Y= 73, Z= 286
[2024-04-02 02:15:13] [world] The Player <xcpc> has broke LOG at X= -291, Y= 72, Z= 285
[2024-04-02 02:15:14] [world] The Player <xcpc> has broke LOG at X= -291, Y= 73, Z= 285
[2024-04-02 02:15:14] [world] The Player <xcpc> has broke LOG at X= -290, Y= 72, Z= 286
[2024-04-02 02:15:15] [world] The Player <xcpc> has broke LOG at X= -290, Y= 73, Z= 286
[2024-04-02 02:15:15] [world] The Player <xcpc> has broke LOG at X= -290, Y= 72, Z= 285
[2024-04-02 02:15:16] [world] The Player <xcpc> has broke LOG at X= -290, Y= 73, Z= 285
[2024-04-02 02:15:17] [world] The Player <xcpc> has broke LOG at X= -290, Y= 74, Z= 285
