[2024-03-17 22:33:00] [world] The Player <TurtleDuck> has broke SAND at X= -528, Y= 72, Z= 267
[2024-03-17 22:33:35] [world] The Player <Heinrich_Himmler> has broke GRASS at X= -602, Y= 67, Z= 370
[2024-03-17 22:34:09] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -706, Y= 67, Z= 458
[2024-03-17 22:34:12] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -706, Y= 66, Z= 458
[2024-03-17 22:34:16] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -706, Y= 68, Z= 458
[2024-03-17 22:34:19] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -706, Y= 69, Z= 458
[2024-03-17 22:34:23] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -706, Y= 70, Z= 458
[2024-03-17 22:34:26] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -706, Y= 71, Z= 458
[2024-03-17 22:34:29] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -706, Y= 71, Z= 457
[2024-03-17 22:34:41] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -694, Y= 70, Z= 466
[2024-03-17 22:34:45] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -694, Y= 69, Z= 465
[2024-03-17 22:34:46] [world] The Player <Heinrich_Himmler> has broke LEAVES_2 at X= -694, Y= 71, Z= 466
[2024-03-17 22:34:50] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -694, Y= 71, Z= 467
[2024-03-17 22:35:03] [world] The Player <Heinrich_Himmler> has broke LEAVES_2 at X= -663, Y= 67, Z= 471
[2024-03-17 22:35:04] [world] The Player <Heinrich_Himmler> has broke LEAVES_2 at X= -663, Y= 67, Z= 470
[2024-03-17 22:35:07] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -663, Y= 67, Z= 469
[2024-03-17 22:35:11] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -664, Y= 68, Z= 469
[2024-03-17 22:35:14] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -664, Y= 69, Z= 469
[2024-03-17 22:35:18] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -663, Y= 66, Z= 469
[2024-03-17 22:35:22] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -663, Y= 66, Z= 470
[2024-03-17 22:35:26] [world] The Player <Heinrich_Himmler> has broke LOG_2 at X= -663, Y= 65, Z= 469
[2024-03-17 22:35:29] [world] The Player <Heinrich_Himmler> has broke LEAVES_2 at X= -663, Y= 66, Z= 468
[2024-03-17 22:35:58] [world] The Player <bagelz> has broke SNOW at X= 1033, Y= 99, Z= 2319
[2024-03-17 22:36:00] [world] The Player <bagelz> has broke SNOW at X= 1033, Y= 100, Z= 2318
[2024-03-17 22:36:01] [world] The Player <bagelz> has broke SNOW at X= 1032, Y= 101, Z= 2318
[2024-03-17 22:36:02] [world] The Player <bagelz> has broke SNOW at X= 1032, Y= 102, Z= 2319
[2024-03-17 22:36:07] [world] The Player <bagelz> has broke SNOW at X= 1033, Y= 104, Z= 2309
[2024-03-17 22:36:07] [world] The Player <Tester> has broke NETHER_WARTS at X= -10196, Y= 63, Z= 4097
[2024-03-17 22:36:37] [world] The Player <bagelz> has broke STEP at X= 1041, Y= 106, Z= 2327
[2024-03-17 22:36:40] [world] The Player <bagelz> has broke COBBLESTONE at X= 1041, Y= 105, Z= 2327
[2024-03-17 22:36:47] [world] The Player <TurtleDuck> has broke SPRUCE_FENCE_GATE at X= 3998, Y= 65, Z= -1848
[2024-03-17 22:36:55] [world] The Player <bagelz> has broke DOUBLE_STEP at X= 1035, Y= 107, Z= 2327
[2024-03-17 22:37:11] [world] The Player <TurtleDuck> has broke SPRUCE_FENCE_GATE at X= 3994, Y= 65, Z= -1848
[2024-03-17 22:37:25] [world] The Player <TurtleDuck> has broke ACACIA_FENCE at X= 4002, Y= 66, Z= -1850
[2024-03-17 22:37:36] [world] The Player <bagelz> has broke STEP at X= 1025, Y= 105, Z= 2309
[2024-03-17 22:37:37] [world] The Player <bagelz> has broke DOUBLE_STEP at X= 1024, Y= 105, Z= 2309
[2024-03-17 22:37:50] [world] The Player <bagelz> has broke COBBLESTONE at X= 1040, Y= 105, Z= 2327
[2024-03-17 22:38:56] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12501, Y= 104, Z= -3
[2024-03-17 22:39:04] [world] The Player <bagelz> has broke STONE at X= 1150, Y= 5, Z= 2457
[2024-03-17 22:39:05] [world] The Player <bagelz> has broke STONE at X= 1151, Y= 6, Z= 2457
[2024-03-17 22:39:06] [world] The Player <bagelz> has broke STONE at X= 1151, Y= 5, Z= 2457
[2024-03-17 22:39:06] [world] The Player <bagelz> has broke STONE at X= 1152, Y= 6, Z= 2457
[2024-03-17 22:39:07] [world] The Player <bagelz> has broke STONE at X= 1152, Y= 5, Z= 2457
[2024-03-17 22:39:07] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12501, Y= 105, Z= -3
[2024-03-17 22:39:08] [world] The Player <bagelz> has broke STONE at X= 1153, Y= 6, Z= 2457
[2024-03-17 22:39:08] [world] The Player <bagelz> has broke STONE at X= 1153, Y= 5, Z= 2457
[2024-03-17 22:39:09] [world] The Player <bagelz> has broke STONE at X= 1154, Y= 6, Z= 2457
[2024-03-17 22:39:10] [world] The Player <bagelz> has broke STONE at X= 1154, Y= 5, Z= 2457
[2024-03-17 22:39:10] [world] The Player <bagelz> has broke STONE at X= 1155, Y= 6, Z= 2457
[2024-03-17 22:39:11] [world] The Player <bagelz> has broke STONE at X= 1155, Y= 5, Z= 2457
[2024-03-17 22:39:12] [world] The Player <bagelz> has broke STONE at X= 1156, Y= 6, Z= 2457
[2024-03-17 22:39:13] [world] The Player <bagelz> has broke STONE at X= 1156, Y= 5, Z= 2457
[2024-03-17 22:39:13] [world] The Player <bagelz> has broke STONE at X= 1157, Y= 6, Z= 2457
[2024-03-17 22:39:14] [world] The Player <bagelz> has broke STONE at X= 1157, Y= 5, Z= 2457
[2024-03-17 22:39:15] [world] The Player <bagelz> has broke STONE at X= 1158, Y= 6, Z= 2457
[2024-03-17 22:39:15] [world] The Player <bagelz> has broke STONE at X= 1158, Y= 5, Z= 2457
[2024-03-17 22:39:16] [world] The Player <bagelz> has broke STONE at X= 1159, Y= 6, Z= 2457
