[2024-03-18 01:30:14] [world] The Player <NezukoChan> has broke DIRT at X= 100004, Y= 12, Z= 60
[2024-03-18 01:32:27] [world] The Player <NezukoChan> has broke DIRT at X= -10188, Y= 65, Z= 4123
[2024-03-18 01:32:28] [world] The Player <NezukoChan> has broke DIRT at X= -10188, Y= 64, Z= 4123
[2024-03-18 01:32:29] [world] The Player <NezukoChan> has broke DIRT at X= -10188, Y= 65, Z= 4124
[2024-03-18 01:32:30] [world] The Player <NezukoChan> has broke DIRT at X= -10188, Y= 64, Z= 4124
[2024-03-18 01:32:32] [world] The Player <NezukoChan> has broke STONE at X= -10188, Y= 64, Z= 4125
[2024-03-18 01:32:33] [world] The Player <NezukoChan> has broke STONE at X= -10188, Y= 65, Z= 4125
[2024-03-18 01:32:34] [world] The Player <NezukoChan> has broke STONE at X= -10187, Y= 65, Z= 4125
[2024-03-18 01:32:35] [world] The Player <NezukoChan> has broke STONE at X= -10187, Y= 64, Z= 4125
[2024-03-18 01:32:36] [world] The Player <NezukoChan> has broke STONE at X= -10186, Y= 65, Z= 4125
[2024-03-18 01:32:37] [world] The Player <NezukoChan> has broke STONE at X= -10186, Y= 65, Z= 4124
[2024-03-18 01:35:33] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -40, Y= 65, Z= -9
[2024-03-18 01:35:34] [world_the_end] The Player <Tester> has broke COBBLESTONE at X= -40, Y= 65, Z= -8
[2024-03-18 01:35:34] [world_the_end] The Player <Tester> has broke COBBLESTONE at X= -41, Y= 65, Z= -8
[2024-03-18 01:35:35] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -41, Y= 65, Z= -9
[2024-03-18 01:35:35] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -40, Y= 65, Z= -7
[2024-03-18 01:35:36] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -41, Y= 65, Z= -7
[2024-03-18 01:35:36] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -41, Y= 65, Z= -6
[2024-03-18 01:35:37] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -42, Y= 65, Z= -6
[2024-03-18 01:35:38] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -40, Y= 65, Z= -6
[2024-03-18 01:35:38] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -41, Y= 65, Z= -5
[2024-03-18 01:35:40] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -43, Y= 65, Z= -6
[2024-03-18 01:35:41] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -43, Y= 65, Z= -7
