[2024-03-19 11:18:57] [world] The Player <qwerty> has broke SANDSTONE at X= -502, Y= 73, Z= -497
[2024-03-19 11:21:35] [world] The Player <sharky> has broke SANDSTONE at X= -493, Y= 78, Z= -481
[2024-03-19 11:21:35] [world] The Player <sharky> has broke SANDSTONE at X= -494, Y= 78, Z= -481
[2024-03-19 11:21:36] [world] The Player <sharky> has broke SANDSTONE at X= -493, Y= 77, Z= -481
[2024-03-19 11:21:36] [world] The Player <sharky> has broke SANDSTONE at X= -494, Y= 77, Z= -481
[2024-03-19 11:21:37] [world] The Player <sharky> has broke SANDSTONE at X= -495, Y= 77, Z= -481
[2024-03-19 11:21:37] [world] The Player <sharky> has broke SANDSTONE at X= -495, Y= 78, Z= -481
[2024-03-19 11:21:47] [world] The Player <Rip_Dogwater> has broke TORCH at X= -10125, Y= 40, Z= 4113
[2024-03-19 11:21:53] [world] The Player <qwerty> has broke SANDSTONE at X= -496, Y= 77, Z= -478
[2024-03-19 11:22:10] [world] The Player <Rip_Dogwater> has broke LAPIS_ORE at X= -10110, Y= 18, Z= 4091
[2024-03-19 11:22:11] [world] The Player <Rip_Dogwater> has broke STONE at X= -10109, Y= 20, Z= 4091
[2024-03-19 11:22:12] [world] The Player <Rip_Dogwater> has broke LAPIS_ORE at X= -10109, Y= 19, Z= 4091
[2024-03-19 11:22:13] [world] The Player <Rip_Dogwater> has broke LAPIS_ORE at X= -10109, Y= 19, Z= 4092
[2024-03-19 11:22:13] [world] The Player <Rip_Dogwater> has broke STONE at X= -10108, Y= 19, Z= 4092
[2024-03-19 11:22:14] [world] The Player <Rip_Dogwater> has broke LAPIS_ORE at X= -10109, Y= 20, Z= 4092
[2024-03-19 11:22:14] [world] The Player <Rip_Dogwater> has broke STONE at X= -10109, Y= 20, Z= 4093
[2024-03-19 11:22:20] [world] The Player <sharky> has broke SANDSTONE at X= -455, Y= 68, Z= -486
[2024-03-19 11:22:21] [world] The Player <sharky> has broke SANDSTONE at X= -454, Y= 67, Z= -487
[2024-03-19 11:22:22] [world] The Player <sharky> has broke SANDSTONE at X= -454, Y= 67, Z= -488
[2024-03-19 11:22:22] [world] The Player <sharky> has broke SANDSTONE at X= -453, Y= 67, Z= -488
[2024-03-19 11:22:23] [world] The Player <sharky> has broke SANDSTONE at X= -453, Y= 67, Z= -489
[2024-03-19 11:22:23] [world] The Player <sharky> has broke SANDSTONE at X= -454, Y= 67, Z= -489
[2024-03-19 11:22:24] [world] The Player <sharky> has broke SANDSTONE at X= -453, Y= 67, Z= -487
[2024-03-19 11:22:33] [world] The Player <Rip_Dogwater> has broke LAPIS_ORE at X= -10112, Y= 20, Z= 4088
[2024-03-19 11:22:34] [world] The Player <Rip_Dogwater> has broke LAPIS_ORE at X= -10111, Y= 20, Z= 4087
[2024-03-19 11:22:34] [world] The Player <Rip_Dogwater> has broke LAPIS_ORE at X= -10112, Y= 20, Z= 4087
[2024-03-19 11:22:35] [world] The Player <Rip_Dogwater> has broke LAPIS_ORE at X= -10110, Y= 20, Z= 4087
[2024-03-19 11:22:50] [world] The Player <sharky> has broke SANDSTONE at X= -454, Y= 67, Z= -487
[2024-03-19 11:22:51] [world] The Player <sharky> has broke SANDSTONE at X= -454, Y= 66, Z= -487
[2024-03-19 11:23:49] [world] The Player <TurtleDuck> has broke WOOD at X= -572, Y= 66, Z= 290
[2024-03-19 11:24:01] [world] The Player <sharky> has broke NETHER_WARTS at X= -498, Y= 77, Z= -479
[2024-03-19 11:24:11] [world] The Player <TurtleDuck> has broke PRISMARINE at X= -579, Y= 57, Z= 272
[2024-03-19 11:24:12] [world] The Player <TurtleDuck> has broke PRISMARINE at X= -579, Y= 57, Z= 271
[2024-03-19 11:24:12] [world] The Player <TurtleDuck> has broke PRISMARINE at X= -579, Y= 56, Z= 271
[2024-03-19 11:24:12] [world] The Player <TurtleDuck> has broke PRISMARINE at X= -579, Y= 56, Z= 272
[2024-03-19 11:24:13] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 57, Z= 272
[2024-03-19 11:24:13] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 56, Z= 272
[2024-03-19 11:24:14] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 56, Z= 271
[2024-03-19 11:24:14] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 57, Z= 271
[2024-03-19 11:24:15] [world] The Player <TurtleDuck> has broke WOOD at X= -579, Y= 56, Z= 271
[2024-03-19 11:24:16] [world] The Player <TurtleDuck> has broke WOOD at X= -579, Y= 56, Z= 271
[2024-03-19 11:24:16] [world] The Player <TurtleDuck> has broke STONE at X= -579, Y= 55, Z= 271
[2024-03-19 11:24:17] [world] The Player <TurtleDuck> has broke STONE at X= -579, Y= 55, Z= 272
[2024-03-19 11:24:17] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 55, Z= 272
[2024-03-19 11:24:18] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 55, Z= 271
[2024-03-19 11:24:19] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 57, Z= 271
[2024-03-19 11:24:19] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 56, Z= 271
[2024-03-19 11:24:19] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 56, Z= 272
[2024-03-19 11:24:20] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 57, Z= 272
[2024-03-19 11:24:20] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 57, Z= 273
[2024-03-19 11:24:20] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 56, Z= 273
[2024-03-19 11:24:21] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 57, Z= 273
[2024-03-19 11:24:21] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 56, Z= 273
[2024-03-19 11:24:22] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 58, Z= 272
[2024-03-19 11:24:23] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 58, Z= 273
[2024-03-19 11:24:24] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 58, Z= 272
[2024-03-19 11:24:24] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 58, Z= 273
[2024-03-19 11:24:25] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 58, Z= 271
[2024-03-19 11:24:25] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 58, Z= 271
