[2024-03-20 19:10:54] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10177, Y= 63, Z= 4113
[2024-03-20 19:10:55] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10177, Y= 63, Z= 4114
[2024-03-20 19:11:57] [world] The Player <NezukoChan> has broke DIRT at X= -10177, Y= 65, Z= 4121
[2024-03-20 19:21:48] [world] The Player <I_am_amazing> has broke GRASS at X= -1355, Y= 65, Z= -266
[2024-03-20 19:21:48] [world] The Player <I_am_amazing> has broke GRASS at X= -1355, Y= 65, Z= -265
[2024-03-20 19:21:48] [world] The Player <I_am_amazing> has broke LONG_GRASS at X= -1355, Y= 66, Z= -264
[2024-03-20 19:21:49] [world] The Player <I_am_amazing> has broke GRASS at X= -1355, Y= 65, Z= -264
[2024-03-20 19:21:49] [world] The Player <I_am_amazing> has broke GRASS at X= -1355, Y= 65, Z= -263
[2024-03-20 19:24:53] [world] The Player <Mudkips_Rule> has broke LONG_GRASS at X= -1358, Y= 67, Z= -244
[2024-03-20 19:24:53] [world] The Player <Mudkips_Rule> has broke LONG_GRASS at X= -1358, Y= 67, Z= -243
[2024-03-20 19:24:56] [world] The Player <Mudkips_Rule> has broke LOG_2 at X= -1357, Y= 68, Z= -242
[2024-03-20 19:25:14] [world] The Player <Mudkips_Rule> has broke LOG_2 at X= -1357, Y= 67, Z= -242
[2024-03-20 19:25:24] [world] The Player <NezukoChan> has broke GRASS at X= -10195, Y= 61, Z= 4078
[2024-03-20 19:25:25] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 60, Z= 4078
[2024-03-20 19:25:26] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 59, Z= 4078
[2024-03-20 19:25:28] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 58, Z= 4078
[2024-03-20 19:25:28] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 57, Z= 4078
[2024-03-20 19:25:29] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 56, Z= 4078
[2024-03-20 19:25:30] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 55, Z= 4078
[2024-03-20 19:25:30] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 54, Z= 4078
[2024-03-20 19:25:31] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 53, Z= 4078
[2024-03-20 19:25:38] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 52, Z= 4078
[2024-03-20 19:25:38] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 51, Z= 4078
[2024-03-20 19:25:39] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 50, Z= 4078
[2024-03-20 19:25:39] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 49, Z= 4078
[2024-03-20 19:25:39] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 48, Z= 4078
[2024-03-20 19:25:40] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 47, Z= 4078
[2024-03-20 19:25:40] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 46, Z= 4078
[2024-03-20 19:25:41] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 45, Z= 4078
[2024-03-20 19:25:41] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 44, Z= 4078
[2024-03-20 19:25:41] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 43, Z= 4078
[2024-03-20 19:25:43] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 42, Z= 4078
[2024-03-20 19:25:44] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 41, Z= 4078
[2024-03-20 19:25:44] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 40, Z= 4078
[2024-03-20 19:25:44] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 39, Z= 4078
[2024-03-20 19:25:45] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 38, Z= 4078
