[2024-03-21 19:44:50] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -666, Y= 73, Z= 306
[2024-03-21 19:44:51] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -666, Y= 73, Z= 307
[2024-03-21 19:44:52] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -665, Y= 73, Z= 306
[2024-03-21 19:44:52] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -665, Y= 74, Z= 308
[2024-03-21 19:44:53] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -665, Y= 73, Z= 307
[2024-03-21 19:44:54] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -664, Y= 73, Z= 307
[2024-03-21 19:44:55] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -664, Y= 73, Z= 308
[2024-03-21 19:44:55] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -665, Y= 73, Z= 308
[2024-03-21 19:44:56] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -665, Y= 73, Z= 309
[2024-03-21 19:44:57] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -664, Y= 73, Z= 309
[2024-03-21 19:44:57] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -665, Y= 73, Z= 310
[2024-03-21 19:44:58] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -666, Y= 73, Z= 309
[2024-03-21 19:44:59] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -666, Y= 73, Z= 310
[2024-03-21 19:45:01] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -667, Y= 73, Z= 309
[2024-03-21 19:45:02] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -667, Y= 73, Z= 310
[2024-03-21 19:45:05] [world] The Player <Dave_TheCoolGuy> has broke LONG_GRASS at X= -669, Y= 72, Z= 309
[2024-03-21 19:45:05] [world] The Player <Dave_TheCoolGuy> has broke LONG_GRASS at X= -668, Y= 72, Z= 308
[2024-03-21 19:45:05] [world] The Player <Dave_TheCoolGuy> has broke LONG_GRASS at X= -668, Y= 72, Z= 307
[2024-03-21 19:45:07] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -668, Y= 73, Z= 309
[2024-03-21 19:45:07] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -668, Y= 73, Z= 308
[2024-03-21 19:45:08] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -667, Y= 73, Z= 308
[2024-03-21 19:45:09] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -667, Y= 74, Z= 308
[2024-03-21 19:45:13] [world] The Player <character> has broke WOOD at X= -380, Y= 78, Z= -72
[2024-03-21 19:45:15] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -668, Y= 73, Z= 307
[2024-03-21 19:45:16] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -667, Y= 73, Z= 307
[2024-03-21 19:45:17] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -666, Y= 74, Z= 307
[2024-03-21 19:45:18] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -667, Y= 73, Z= 306
[2024-03-21 19:45:19] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -667, Y= 75, Z= 306
[2024-03-21 19:45:20] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -666, Y= 75, Z= 306
[2024-03-21 19:45:20] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -667, Y= 75, Z= 307
[2024-03-21 19:45:21] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -666, Y= 75, Z= 307
[2024-03-21 19:45:22] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -665, Y= 75, Z= 307
[2024-03-21 19:45:42] [world] The Player <Dave_TheCoolGuy> has broke LOG at X= -666, Y= 73, Z= 308
[2024-03-21 19:45:44] [world] The Player <Dave_TheCoolGuy> has broke LOG at X= -666, Y= 74, Z= 308
[2024-03-21 19:45:46] [world] The Player <Dave_TheCoolGuy> has broke LOG at X= -666, Y= 75, Z= 308
[2024-03-21 19:45:46] [world] The Player <Dave_TheCoolGuy> has broke LOG at X= -666, Y= 76, Z= 308
[2024-03-21 19:45:47] [world] The Player <Dave_TheCoolGuy> has broke LOG at X= -666, Y= 77, Z= 308
[2024-03-21 19:45:47] [world] The Player <Dave_TheCoolGuy> has broke LOG at X= -666, Y= 78, Z= 308
[2024-03-21 19:45:48] [world] The Player <Dave_TheCoolGuy> has broke LOG at X= -666, Y= 79, Z= 308
[2024-03-21 19:45:51] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -665, Y= 76, Z= 308
[2024-03-21 19:45:55] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -665, Y= 75, Z= 308
