[2024-03-24 21:52:48] [world] The Player <GolemDaWanderer> has broke HOPPER at X= -10299, Y= 34, Z= 4029
[2024-03-24 21:52:50] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10298, Y= 34, Z= 4029
[2024-03-24 22:06:27] [world] The Player <Tester> has broke COBBLESTONE at X= -10296, Y= 48, Z= 4030
[2024-03-24 22:06:58] [world] The Player <NezukoChan> has broke DIRT at X= -10301, Y= 49, Z= 4026
[2024-03-24 22:06:59] [world] The Player <NezukoChan> has broke DIRT at X= -10301, Y= 48, Z= 4026
[2024-03-24 22:07:02] [world] The Player <NezukoChan> has broke DIRT at X= -10301, Y= 51, Z= 4023
[2024-03-24 22:08:05] [world] The Player <NezukoChan> has broke TORCH at X= -10295, Y= 49, Z= 4030
[2024-03-24 22:08:15] [world] The Player <NezukoChan> has broke DIRT at X= -10301, Y= 49, Z= 4026
[2024-03-24 22:08:16] [world] The Player <NezukoChan> has broke DIRT at X= -10301, Y= 48, Z= 4026
[2024-03-24 22:09:04] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10301, Y= 50, Z= 4026
[2024-03-24 22:09:05] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10301, Y= 49, Z= 4026
[2024-03-24 22:09:05] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10301, Y= 48, Z= 4026
[2024-03-24 22:11:36] [world] The Player <Tester> has broke DIRT at X= -10301, Y= 52, Z= 4025
[2024-03-24 22:11:37] [world] The Player <Tester> has broke DIRT at X= -10301, Y= 51, Z= 4025
[2024-03-24 22:12:49] [world] The Player <Tester> has broke DIRT at X= -10299, Y= 51, Z= 4030
[2024-03-24 22:12:50] [world] The Player <Tester> has broke DIRT at X= -10300, Y= 51, Z= 4030
[2024-03-24 22:12:57] [world] The Player <Tester> has broke DIRT at X= -10300, Y= 50, Z= 4030
[2024-03-24 22:12:59] [world] The Player <Tester> has broke DIRT at X= -10300, Y= 50, Z= 4031
[2024-03-24 22:13:00] [world] The Player <Tester> has broke DIRT at X= -10300, Y= 50, Z= 4032
[2024-03-24 22:13:01] [world] The Player <Tester> has broke DIRT at X= -10300, Y= 49, Z= 4032
[2024-03-24 22:13:06] [world] The Player <GolemDaWanderer> has broke TORCH at X= -10304, Y= 50, Z= 4031
[2024-03-24 22:13:07] [world] The Player <GolemDaWanderer> has broke TORCH at X= -10304, Y= 52, Z= 4027
[2024-03-24 22:13:11] [world] The Player <GolemDaWanderer> has broke TORCH at X= -10297, Y= 50, Z= 4035
[2024-03-24 22:13:14] [world] The Player <Tester> has broke HOPPER at X= -10300, Y= 48, Z= 4035
[2024-03-24 22:13:14] [world] The Player <GolemDaWanderer> has broke STONE at X= -10300, Y= 48, Z= 4036
[2024-03-24 22:13:17] [world] The Player <GolemDaWanderer> has broke DIRT at X= -10300, Y= 48, Z= 4032
[2024-03-24 22:13:26] [world] The Player <GolemDaWanderer> has broke SKULL at X= -10300, Y= 37, Z= 4031
[2024-03-24 22:13:28] [world] The Player <GolemDaWanderer> has broke SKULL at X= -10300, Y= 37, Z= 4030
[2024-03-24 22:13:33] [world] The Player <Tester> has broke WOOD_STEP at X= -10299, Y= 48, Z= 4035
[2024-03-24 22:14:25] [world] The Player <NezukoChan> has broke STONE at X= -10300, Y= 49, Z= 4036
[2024-03-24 22:14:26] [world] The Player <NezukoChan> has broke STONE at X= -10300, Y= 49, Z= 4037
[2024-03-24 22:14:28] [world] The Player <NezukoChan> has broke STONE at X= -10300, Y= 49, Z= 4038
[2024-03-24 22:14:35] [world] The Player <NezukoChan> has broke STONE at X= -10300, Y= 48, Z= 4037
[2024-03-24 22:16:55] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10298, Y= 36, Z= 4031
[2024-03-24 22:16:56] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10298, Y= 35, Z= 4031
[2024-03-24 22:16:59] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10298, Y= 36, Z= 4032
[2024-03-24 22:16:59] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10299, Y= 36, Z= 4032
[2024-03-24 22:17:00] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10298, Y= 35, Z= 4032
[2024-03-24 22:17:00] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10299, Y= 35, Z= 4032
[2024-03-24 22:17:01] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10300, Y= 36, Z= 4032
[2024-03-24 22:17:01] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10300, Y= 35, Z= 4032
[2024-03-24 22:17:03] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 36, Z= 4032
[2024-03-24 22:17:04] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 35, Z= 4032
[2024-03-24 22:17:04] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 36, Z= 4031
[2024-03-24 22:17:04] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 35, Z= 4031
[2024-03-24 22:17:05] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 36, Z= 4030
[2024-03-24 22:17:05] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 35, Z= 4030
[2024-03-24 22:17:06] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 36, Z= 4029
[2024-03-24 22:20:31] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 40, Z= 4028
[2024-03-24 22:20:31] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 39, Z= 4028
[2024-03-24 22:21:17] [world] The Player <GolemDaWanderer> has broke STONE at X= -10302, Y= 52, Z= 4024
[2024-03-24 22:21:18] [world] The Player <GolemDaWanderer> has broke TORCH at X= -10302, Y= 52, Z= 4023
[2024-03-24 22:21:20] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 52, Z= 4025
[2024-03-24 22:21:30] [world] The Player <GolemDaWanderer> has broke TORCH at X= -10301, Y= 52, Z= 4025
[2024-03-24 22:21:33] [world] The Player <GolemDaWanderer> has broke TORCH at X= -10299, Y= 49, Z= 4024
[2024-03-24 22:24:47] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10300, Y= 35, Z= 4028
[2024-03-24 22:28:04] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10298, Y= 34, Z= 4030
[2024-03-24 22:28:07] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10299, Y= 34, Z= 4030
[2024-03-24 22:28:19] [world] The Player <GolemDaWanderer> has broke WORKBENCH at X= -10298, Y= 34, Z= 4029
[2024-03-24 22:28:21] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10298, Y= 33, Z= 4030
[2024-03-24 22:28:22] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10298, Y= 33, Z= 4029
[2024-03-24 22:28:22] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10298, Y= 32, Z= 4030
[2024-03-24 22:28:23] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10298, Y= 32, Z= 4029
[2024-03-24 22:28:44] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10298, Y= 33, Z= 4028
[2024-03-24 22:28:46] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10298, Y= 33, Z= 4031
[2024-03-24 22:28:47] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10298, Y= 32, Z= 4031
[2024-03-24 22:28:49] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10299, Y= 33, Z= 4030
[2024-03-24 22:28:49] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10299, Y= 32, Z= 4030
[2024-03-24 22:28:54] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10298, Y= 32, Z= 4028
[2024-03-24 22:28:55] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10299, Y= 32, Z= 4028
[2024-03-24 22:28:56] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10300, Y= 33, Z= 4028
[2024-03-24 22:28:56] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10300, Y= 32, Z= 4028
[2024-03-24 22:29:10] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10300, Y= 32, Z= 4028
[2024-03-24 22:29:11] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10299, Y= 33, Z= 4028
[2024-03-24 22:43:19] [world] The Player <GolemDaWanderer> has broke WOOD_STEP at X= -10301, Y= 27, Z= 4029
[2024-03-24 22:43:42] [world] The Player <GolemDaWanderer> has broke DIRT at X= -10301, Y= 39, Z= 4028
[2024-03-24 22:43:46] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 38, Z= 4029
[2024-03-24 22:43:50] [world] The Player <GolemDaWanderer> has broke DIRT at X= -10301, Y= 40, Z= 4028
[2024-03-24 22:48:13] [world] The Player <GolemDaWanderer> has broke STONE at X= -10302, Y= 40, Z= 4029
[2024-03-24 22:48:14] [world] The Player <GolemDaWanderer> has broke STONE at X= -10302, Y= 39, Z= 4029
[2024-03-24 22:48:16] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10300, Y= 40, Z= 4029
[2024-03-24 22:48:17] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10300, Y= 39, Z= 4029
[2024-03-24 22:48:20] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 40, Z= 4028
