[2024-03-25 20:25:16] [world] The Player <GolemDaWanderer> has broke WOOD at X= -10152, Y= 62, Z= 4113
[2024-03-25 20:35:02] [world] The Player <GolemDaWanderer> has broke SKULL at X= -10299, Y= 36, Z= 4027
[2024-03-25 20:36:07] [world] The Player <GolemDaWanderer> has broke ENDER_CHEST at X= -10301, Y= 39, Z= 4028
[2024-03-25 20:36:09] [world] The Player <GolemDaWanderer> has broke DIRT at X= -10301, Y= 38, Z= 4028
[2024-03-25 20:38:02] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 26, Z= 4029
[2024-03-25 20:38:03] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10300, Y= 26, Z= 4029
[2024-03-25 20:38:04] [world] The Player <GolemDaWanderer> has broke STONE at X= -10300, Y= 25, Z= 4029
[2024-03-25 20:38:04] [world] The Player <GolemDaWanderer> has broke STONE at X= -10301, Y= 25, Z= 4029
[2024-03-25 20:38:04] [world] The Player <GolemDaWanderer> has broke STONE at X= -10300, Y= 24, Z= 4029
[2024-03-25 20:38:05] [world] The Player <GolemDaWanderer> has broke STONE at X= -10299, Y= 25, Z= 4029
[2024-03-25 20:39:49] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10301, Y= 26, Z= 4028
[2024-03-25 20:44:06] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10177, Y= 64, Z= 4112
[2024-03-25 20:44:10] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10177, Y= 64, Z= 4113
[2024-03-25 20:44:11] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10177, Y= 65, Z= 4113
[2024-03-25 20:45:50] [world] The Player <GolemDaWanderer> has broke WOOD at X= -10185, Y= 62, Z= 4109
[2024-03-25 20:45:52] [world] The Player <GolemDaWanderer> has broke WOOD at X= -10185, Y= 61, Z= 4109
[2024-03-25 20:45:55] [world] The Player <GolemDaWanderer> has broke WOOD at X= -10185, Y= 60, Z= 4109
[2024-03-25 20:46:14] [world] The Player <GolemDaWanderer> has broke WOOD at X= -10185, Y= 62, Z= 4105
[2024-03-25 20:46:15] [world] The Player <GolemDaWanderer> has broke WOOD at X= -10185, Y= 61, Z= 4105
[2024-03-25 20:46:16] [world] The Player <GolemDaWanderer> has broke WOOD at X= -10185, Y= 60, Z= 4105
[2024-03-25 20:46:17] [world] The Player <GolemDaWanderer> has broke WOOD at X= -10185, Y= 59, Z= 4105
[2024-03-25 20:46:19] [world] The Player <GolemDaWanderer> has broke DIRT at X= -10185, Y= 58, Z= 4105
[2024-03-25 20:46:21] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 57, Z= 4105
[2024-03-25 20:46:21] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 56, Z= 4105
[2024-03-25 20:46:22] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 55, Z= 4105
[2024-03-25 20:46:25] [world] The Player <GolemDaWanderer> has broke DIRT at X= -10185, Y= 54, Z= 4105
[2024-03-25 20:47:11] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 56, Z= 4104
[2024-03-25 20:47:11] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 55, Z= 4104
[2024-03-25 20:47:12] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 55, Z= 4103
[2024-03-25 20:47:12] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 56, Z= 4103
[2024-03-25 20:47:17] [world] The Player <GolemDaWanderer> has broke STONE at X= -10186, Y= 56, Z= 4103
[2024-03-25 20:47:18] [world] The Player <GolemDaWanderer> has broke STONE at X= -10186, Y= 55, Z= 4103
[2024-03-25 20:47:18] [world] The Player <GolemDaWanderer> has broke STONE at X= -10186, Y= 56, Z= 4102
[2024-03-25 20:47:18] [world] The Player <GolemDaWanderer> has broke STONE at X= -10186, Y= 55, Z= 4102
