[2024-03-26 23:16:56] [world_nether] The Player <NezukoChan> has broke OBSIDIAN at X= -1264, Y= 52, Z= 507
[2024-03-26 23:17:04] [world_nether] The Player <NezukoChan> has broke OBSIDIAN at X= -1264, Y= 53, Z= 507
[2024-03-26 23:17:07] [world_nether] The Player <NezukoChan> has broke OBSIDIAN at X= -1265, Y= 53, Z= 507
[2024-03-26 23:17:14] [world_nether] The Player <NezukoChan> has broke OBSIDIAN at X= -1266, Y= 53, Z= 507
[2024-03-26 23:17:17] [world_nether] The Player <NezukoChan> has broke OBSIDIAN at X= -1267, Y= 53, Z= 507
[2024-03-26 23:17:17] [world_nether] The Player <NezukoChan> has broke NETHERRACK at X= -1268, Y= 53, Z= 507
[2024-03-26 23:17:17] [world_nether] The Player <NezukoChan> has broke NETHERRACK at X= -1269, Y= 53, Z= 507
[2024-03-26 23:18:43] [world_nether] The Player <NezukoChan> has broke DIRT at X= -1244, Y= 49, Z= 521
[2024-03-26 23:18:44] [world_nether] The Player <NezukoChan> has broke DIRT at X= -1244, Y= 49, Z= 520
[2024-03-26 23:19:03] [world_nether] The Player <NezukoChan> has broke DIRT at X= -1266, Y= 53, Z= 507
[2024-03-26 23:19:04] [world_nether] The Player <NezukoChan> has broke DIRT at X= -1267, Y= 53, Z= 508
[2024-03-26 23:50:58] [world_nether] The Player <NezukoChan> has broke OBSIDIAN at X= -1264, Y= 50, Z= 507
[2024-03-26 23:51:00] [world_nether] The Player <NezukoChan> has broke OBSIDIAN at X= -1264, Y= 49, Z= 507
[2024-03-26 23:51:03] [world_nether] The Player <NezukoChan> has broke OBSIDIAN at X= -1265, Y= 49, Z= 507
[2024-03-26 23:51:03] [world_nether] The Player <NezukoChan> has broke NETHERRACK at X= -1265, Y= 48, Z= 507
[2024-03-26 23:51:03] [world_nether] The Player <NezukoChan> has broke NETHERRACK at X= -1265, Y= 48, Z= 508
[2024-03-26 23:51:03] [world_nether] The Player <NezukoChan> has broke NETHERRACK at X= -1266, Y= 48, Z= 508
[2024-03-26 23:51:03] [world_nether] The Player <NezukoChan> has broke NETHERRACK at X= -1266, Y= 47, Z= 508
[2024-03-26 23:51:03] [world_nether] The Player <NezukoChan> has broke NETHERRACK at X= -1266, Y= 48, Z= 507
[2024-03-26 23:51:06] [world_nether] The Player <NezukoChan> has broke OBSIDIAN at X= -1266, Y= 49, Z= 507
[2024-03-26 23:51:09] [world_nether] The Player <NezukoChan> has broke OBSIDIAN at X= -1267, Y= 50, Z= 507
[2024-03-26 23:51:11] [world_nether] The Player <NezukoChan> has broke OBSIDIAN at X= -1267, Y= 49, Z= 507
[2024-03-26 23:51:11] [world_nether] The Player <NezukoChan> has broke NETHERRACK at X= -1268, Y= 49, Z= 507
[2024-03-26 23:51:12] [world_nether] The Player <NezukoChan> has broke NETHERRACK at X= -1268, Y= 48, Z= 507
