[2024-03-27 13:40:17] [world] The Player <Milk_Frog> has broke DIRT at X= -577, Y= 67, Z= 277
[2024-03-27 13:40:33] [world] The Player <Milk_Frog> has broke SAND at X= -577, Y= 67, Z= 294
[2024-03-27 13:40:34] [world] The Player <Milk_Frog> has broke SAND at X= -575, Y= 66, Z= 294
[2024-03-27 13:40:34] [world] The Player <Milk_Frog> has broke SAND at X= -573, Y= 66, Z= 293
[2024-03-27 13:40:37] [world] The Player <Milk_Frog> has broke GRASS at X= -570, Y= 66, Z= 293
[2024-03-27 13:41:44] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -603, Y= 68, Z= 251
[2024-03-27 13:41:45] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -602, Y= 68, Z= 251
[2024-03-27 13:41:46] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -604, Y= 68, Z= 251
[2024-03-27 13:41:47] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -603, Y= 68, Z= 250
[2024-03-27 13:41:47] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -604, Y= 68, Z= 250
[2024-03-27 13:41:48] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -604, Y= 68, Z= 249
[2024-03-27 13:41:48] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -605, Y= 68, Z= 249
[2024-03-27 13:41:49] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -605, Y= 68, Z= 248
[2024-03-27 13:41:49] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -604, Y= 68, Z= 248
[2024-03-27 13:41:49] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -606, Y= 68, Z= 248
[2024-03-27 13:41:50] [world] The Player <Milk_Frog> has broke DOUBLE_PLANT at X= -607, Y= 68, Z= 249
[2024-03-27 13:41:50] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -608, Y= 68, Z= 248
[2024-03-27 13:41:51] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -607, Y= 68, Z= 250
[2024-03-27 13:41:51] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -609, Y= 68, Z= 250
[2024-03-27 13:41:51] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -608, Y= 68, Z= 249
[2024-03-27 13:41:52] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -609, Y= 68, Z= 248
[2024-03-27 13:42:02] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -583, Y= 67, Z= 278
[2024-03-27 13:42:02] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -582, Y= 67, Z= 278
[2024-03-27 13:42:05] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -581, Y= 67, Z= 278
[2024-03-27 13:42:06] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -580, Y= 67, Z= 278
[2024-03-27 13:42:08] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -579, Y= 67, Z= 278
[2024-03-27 13:42:20] [world] The Player <Char> has broke GRASS at X= -601, Y= 68, Z= 364
[2024-03-27 13:42:47] [world] The Player <Milk_Frog> has broke GRASS at X= -582, Y= 67, Z= 278
[2024-03-27 13:42:47] [world] The Player <Milk_Frog> has broke GRASS at X= -581, Y= 67, Z= 278
[2024-03-27 13:42:47] [world] The Player <Milk_Frog> has broke GRASS at X= -580, Y= 67, Z= 278
[2024-03-27 13:42:48] [world] The Player <Milk_Frog> has broke GRASS at X= -579, Y= 67, Z= 278
[2024-03-27 13:42:49] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -578, Y= 67, Z= 278
[2024-03-27 13:42:49] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -577, Y= 67, Z= 278
[2024-03-27 13:42:49] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -576, Y= 67, Z= 278
[2024-03-27 13:42:50] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -575, Y= 67, Z= 278
[2024-03-27 13:42:50] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -574, Y= 67, Z= 278
[2024-03-27 13:42:51] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -573, Y= 67, Z= 278
[2024-03-27 13:42:51] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -572, Y= 67, Z= 278
[2024-03-27 13:42:52] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -571, Y= 67, Z= 278
