[2024-03-28 00:56:07] [world] The Player <xcpc> has broke STONE at X= -440, Y= 57, Z= 266
[2024-03-28 00:56:08] [world] The Player <xcpc> has broke STONE at X= -440, Y= 58, Z= 266
[2024-03-28 00:56:09] [world] The Player <xcpc> has broke STONE at X= -441, Y= 57, Z= 266
[2024-03-28 00:56:09] [world] The Player <xcpc> has broke STONE at X= -441, Y= 58, Z= 266
[2024-03-28 00:56:10] [world] The Player <xcpc> has broke STONE at X= -439, Y= 57, Z= 266
[2024-03-28 00:56:11] [world] The Player <xcpc> has broke STONE at X= -439, Y= 58, Z= 266
[2024-03-28 00:58:33] [world] The Player <xcpc> has broke STONE at X= -440, Y= 56, Z= 266
[2024-03-28 00:58:34] [world] The Player <xcpc> has broke STONE at X= -441, Y= 56, Z= 266
[2024-03-28 00:58:35] [world] The Player <xcpc> has broke STONE at X= -439, Y= 56, Z= 266
[2024-03-28 00:58:36] [world] The Player <xcpc> has broke STONE at X= -440, Y= 57, Z= 267
[2024-03-28 00:58:37] [world] The Player <xcpc> has broke STONE at X= -440, Y= 58, Z= 267
[2024-03-28 00:58:37] [world] The Player <xcpc> has broke STONE at X= -441, Y= 57, Z= 267
[2024-03-28 00:58:38] [world] The Player <xcpc> has broke STONE at X= -441, Y= 58, Z= 267
[2024-03-28 00:58:39] [world] The Player <xcpc> has broke STONE at X= -441, Y= 56, Z= 267
[2024-03-28 00:58:40] [world] The Player <xcpc> has broke STONE at X= -440, Y= 56, Z= 267
[2024-03-28 00:58:40] [world] The Player <xcpc> has broke STONE at X= -439, Y= 57, Z= 267
[2024-03-28 00:58:41] [world] The Player <xcpc> has broke STONE at X= -439, Y= 58, Z= 267
[2024-03-28 00:58:42] [world] The Player <xcpc> has broke STONE at X= -439, Y= 56, Z= 267
[2024-03-28 00:58:45] [world] The Player <xcpc> has broke TORCH at X= -437, Y= 56, Z= 261
[2024-03-28 00:59:44] [world] The Player <xcpc> has broke STONE at X= -440, Y= 57, Z= 268
[2024-03-28 00:59:45] [world] The Player <xcpc> has broke STONE at X= -441, Y= 57, Z= 268
[2024-03-28 00:59:45] [world] The Player <xcpc> has broke STONE at X= -441, Y= 58, Z= 268
[2024-03-28 00:59:46] [world] The Player <xcpc> has broke STONE at X= -440, Y= 58, Z= 268
[2024-03-28 00:59:47] [world] The Player <xcpc> has broke STONE at X= -439, Y= 58, Z= 268
[2024-03-28 00:59:47] [world] The Player <xcpc> has broke STONE at X= -439, Y= 57, Z= 268
[2024-03-28 00:59:48] [world] The Player <xcpc> has broke STONE at X= -440, Y= 56, Z= 268
[2024-03-28 00:59:49] [world] The Player <xcpc> has broke STONE at X= -439, Y= 56, Z= 268
[2024-03-28 00:59:50] [world] The Player <xcpc> has broke STONE at X= -441, Y= 56, Z= 268
[2024-03-28 01:00:03] [world] The Player <xcpc> has broke STONE at X= -440, Y= 57, Z= 269
[2024-03-28 01:00:04] [world] The Player <xcpc> has broke STONE at X= -440, Y= 57, Z= 270
[2024-03-28 01:00:05] [world] The Player <xcpc> has broke STONE at X= -441, Y= 57, Z= 269
[2024-03-28 01:00:05] [world] The Player <xcpc> has broke STONE at X= -441, Y= 57, Z= 270
[2024-03-28 01:00:07] [world] The Player <xcpc> has broke STONE at X= -441, Y= 58, Z= 269
[2024-03-28 01:00:08] [world] The Player <xcpc> has broke STONE at X= -441, Y= 58, Z= 270
[2024-03-28 01:00:09] [world] The Player <xcpc> has broke STONE at X= -440, Y= 58, Z= 269
[2024-03-28 01:00:09] [world] The Player <xcpc> has broke STONE at X= -440, Y= 58, Z= 270
[2024-03-28 01:00:10] [world] The Player <xcpc> has broke STONE at X= -439, Y= 58, Z= 269
