[2024-03-30 14:40:34] [world] The Player <GolemDaWanderer> has broke SUGAR_CANE_BLOCK at X= 10338, Y= 63, Z= -10542
[2024-03-30 14:45:26] [world] The Player <GolemDaWanderer> has broke GRASS at X= 10356, Y= 74, Z= -10565
[2024-03-30 14:45:27] [world] The Player <GolemDaWanderer> has broke GRASS at X= 10357, Y= 74, Z= -10565
[2024-03-30 14:45:27] [world] The Player <GolemDaWanderer> has broke GRASS at X= 10357, Y= 74, Z= -10566
[2024-03-30 14:45:29] [world] The Player <GolemDaWanderer> has broke DIRT at X= 10356, Y= 73, Z= -10565
[2024-03-30 14:45:29] [world] The Player <GolemDaWanderer> has broke DIRT at X= 10356, Y= 73, Z= -10566
[2024-03-30 14:45:32] [world] The Player <GolemDaWanderer> has broke SAND at X= 10357, Y= 74, Z= -10564
[2024-03-30 14:45:32] [world] The Player <GolemDaWanderer> has broke SAND at X= 10357, Y= 73, Z= -10564
[2024-03-30 14:45:32] [world] The Player <GolemDaWanderer> has broke DIRT at X= 10358, Y= 73, Z= -10564
[2024-03-30 14:45:32] [world] The Player <GolemDaWanderer> has broke DIRT at X= 10358, Y= 73, Z= -10565
[2024-03-30 14:45:32] [world] The Player <GolemDaWanderer> has broke DIRT at X= 10359, Y= 73, Z= -10565
[2024-03-30 14:45:34] [world] The Player <GolemDaWanderer> has broke SAND at X= 10358, Y= 74, Z= -10563
[2024-03-30 14:45:34] [world] The Player <GolemDaWanderer> has broke SAND at X= 10359, Y= 74, Z= -10563
[2024-03-30 14:45:34] [world] The Player <GolemDaWanderer> has broke SAND at X= 10359, Y= 73, Z= -10563
[2024-03-30 14:45:35] [world] The Player <GolemDaWanderer> has broke SAND at X= 10358, Y= 73, Z= -10563
[2024-03-30 14:45:38] [world] The Player <GolemDaWanderer> has broke SAND at X= 10357, Y= 72, Z= -10562
[2024-03-30 14:45:38] [world] The Player <GolemDaWanderer> has broke SAND at X= 10357, Y= 72, Z= -10561
[2024-03-30 14:45:39] [world] The Player <GolemDaWanderer> has broke SAND at X= 10356, Y= 72, Z= -10562
[2024-03-30 14:45:42] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10357, Y= 71, Z= -10562
[2024-03-30 14:45:42] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10358, Y= 71, Z= -10562
[2024-03-30 14:45:42] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10358, Y= 70, Z= -10562
[2024-03-30 14:45:43] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10357, Y= 70, Z= -10562
[2024-03-30 14:45:45] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10356, Y= 71, Z= -10562
[2024-03-30 14:45:45] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10356, Y= 70, Z= -10562
[2024-03-30 14:45:49] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10357, Y= 71, Z= -10561
[2024-03-30 14:45:50] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10358, Y= 71, Z= -10561
[2024-03-30 14:45:50] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10358, Y= 70, Z= -10561
[2024-03-30 14:45:51] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10358, Y= 72, Z= -10561
[2024-03-30 14:45:51] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10359, Y= 71, Z= -10561
[2024-03-30 14:45:54] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10359, Y= 72, Z= -10561
[2024-03-30 14:45:54] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10360, Y= 72, Z= -10561
[2024-03-30 14:45:55] [world] The Player <GolemDaWanderer> has broke SANDSTONE at X= 10359, Y= 72, Z= -10562
[2024-03-30 19:12:17] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10322, Y= 69, Z= -10587
[2024-03-30 19:12:17] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10322, Y= 69, Z= -10586
[2024-03-30 19:12:41] [world] The Player <GolemDaWanderer> has broke DOUBLE_PLANT at X= 10350, Y= 72, Z= -10694
[2024-03-30 19:12:44] [world] The Player <GolemDaWanderer> has broke DOUBLE_PLANT at X= 10352, Y= 72, Z= -10690
[2024-03-30 19:12:47] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10349, Y= 72, Z= -10691
[2024-03-30 19:12:54] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10351, Y= 72, Z= -10718
[2024-03-30 19:12:54] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10350, Y= 72, Z= -10717
[2024-03-30 19:12:55] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10351, Y= 72, Z= -10714
[2024-03-30 19:12:55] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10351, Y= 72, Z= -10716
[2024-03-30 19:12:55] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10351, Y= 72, Z= -10717
[2024-03-30 19:12:56] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10354, Y= 72, Z= -10715
[2024-03-30 19:12:56] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10353, Y= 72, Z= -10715
[2024-03-30 19:28:42] [world] The Player <GolemDaWanderer> has broke LOG at X= 10364, Y= 73, Z= -10943
[2024-03-30 19:28:43] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10365, Y= 73, Z= -10943
[2024-03-30 19:28:43] [world] The Player <GolemDaWanderer> has broke LOG at X= 10364, Y= 74, Z= -10943
[2024-03-30 19:28:44] [world] The Player <GolemDaWanderer> has broke LOG at X= 10364, Y= 75, Z= -10943
[2024-03-30 19:30:52] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10363, Y= 73, Z= -10932
[2024-03-30 19:31:44] [world] The Player <GolemDaWanderer> has broke ENCHANTMENT_TABLE at X= 10351, Y= 71, Z= -10966
[2024-03-30 19:31:45] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10353, Y= 71, Z= -10967
[2024-03-30 19:31:47] [world] The Player <GolemDaWanderer> has broke ENDER_CHEST at X= 10353, Y= 71, Z= -10966
[2024-03-30 19:33:05] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10323, Y= 68, Z= -10985
[2024-03-30 19:33:05] [world] The Player <GolemDaWanderer> has broke LONG_GRASS at X= 10322, Y= 67, Z= -10988
