[2024-03-17 22:32:44] [world] The Player <TurtleDuck> has placed SAND at X= -533, Y= 70, Z= 269
[2024-03-17 22:32:45] [world] The Player <TurtleDuck> has placed SAND at X= -533, Y= 70, Z= 268
[2024-03-17 22:32:45] [world] The Player <TurtleDuck> has placed SAND at X= -533, Y= 70, Z= 267
[2024-03-17 22:32:47] [world] The Player <TurtleDuck> has placed SAND at X= -532, Y= 70, Z= 264
[2024-03-17 22:32:47] [world] The Player <TurtleDuck> has placed SAND at X= -532, Y= 70, Z= 265
[2024-03-17 22:32:48] [world] The Player <TurtleDuck> has placed SAND at X= -533, Y= 70, Z= 266
[2024-03-17 22:32:58] [world] The Player <TurtleDuck> has placed SAND at X= -528, Y= 71, Z= 265
[2024-03-17 22:32:59] [world] The Player <TurtleDuck> has placed SAND at X= -528, Y= 71, Z= 267
[2024-03-17 22:32:59] [world] The Player <TurtleDuck> has placed SAND at X= -528, Y= 72, Z= 267
[2024-03-17 22:33:00] [world] The Player <TurtleDuck> has placed SAND at X= -528, Y= 71, Z= 266
[2024-03-17 22:33:36] [world] The Player <bagelz> has placed COBBLESTONE at X= 1037, Y= 105, Z= 2328
[2024-03-17 22:33:37] [world] The Player <bagelz> has placed COBBLESTONE at X= 1036, Y= 105, Z= 2328
[2024-03-17 22:33:37] [world] The Player <bagelz> has placed COBBLESTONE at X= 1035, Y= 105, Z= 2328
[2024-03-17 22:33:38] [world] The Player <bagelz> has placed COBBLESTONE at X= 1034, Y= 105, Z= 2328
[2024-03-17 22:33:39] [world] The Player <TurtleDuck> has placed REDSTONE_WIRE at X= -579, Y= 68, Z= 281
[2024-03-17 22:33:40] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 105, Z= 2324
[2024-03-17 22:33:41] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 105, Z= 2323
[2024-03-17 22:33:42] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 105, Z= 2322
[2024-03-17 22:33:42] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 105, Z= 2321
[2024-03-17 22:33:44] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 105, Z= 2320
[2024-03-17 22:33:49] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2320
[2024-03-17 22:33:50] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2321
[2024-03-17 22:33:51] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2322
[2024-03-17 22:33:51] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2323
[2024-03-17 22:33:52] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2324
[2024-03-17 22:33:52] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2325
[2024-03-17 22:33:53] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2326
[2024-03-17 22:33:54] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2327
[2024-03-17 22:33:54] [world] The Player <bagelz> has placed COBBLESTONE at X= 1041, Y= 106, Z= 2328
[2024-03-17 22:33:56] [world] The Player <bagelz> has placed COBBLESTONE at X= 1040, Y= 106, Z= 2328
[2024-03-17 22:33:57] [world] The Player <bagelz> has placed COBBLESTONE at X= 1039, Y= 106, Z= 2328
