[2024-03-19 11:18:46] [world_the_end] The Player <Rip_Dogwater> has placed STONE at X= 98, Y= 49, Z= -1
[2024-03-19 11:18:47] [world_the_end] The Player <Rip_Dogwater> has placed STONE at X= 98, Y= 50, Z= -1
[2024-03-19 11:18:47] [world_the_end] The Player <Rip_Dogwater> has placed STONE at X= 98, Y= 51, Z= -1
[2024-03-19 11:18:48] [world_the_end] The Player <Rip_Dogwater> has placed STONE at X= 98, Y= 52, Z= -1
[2024-03-19 11:18:48] [world_the_end] The Player <Rip_Dogwater> has placed STONE at X= 98, Y= 53, Z= -1
[2024-03-19 11:18:49] [world_the_end] The Player <Rip_Dogwater> has placed STONE at X= 98, Y= 54, Z= -1
[2024-03-19 11:18:50] [world_the_end] The Player <Rip_Dogwater> has placed STONE at X= 101, Y= 55, Z= 1
[2024-03-19 11:19:03] [world] The Player <qwerty> has placed SANDSTONE at X= -502, Y= 73, Z= -497
[2024-03-19 11:19:28] [world] The Player <qwerty> has placed SANDSTONE at X= -496, Y= 77, Z= -478
[2024-03-19 11:19:35] [world] The Player <qwerty> has placed SANDSTONE at X= -495, Y= 77, Z= -481
[2024-03-19 11:19:36] [world] The Player <qwerty> has placed SANDSTONE at X= -495, Y= 78, Z= -481
[2024-03-19 11:19:37] [world] The Player <qwerty> has placed SANDSTONE at X= -495, Y= 79, Z= -481
[2024-03-19 11:19:39] [world] The Player <qwerty> has placed SANDSTONE at X= -495, Y= 81, Z= -481
[2024-03-19 11:19:40] [world] The Player <qwerty> has placed SANDSTONE at X= -495, Y= 80, Z= -481
[2024-03-19 11:19:42] [world] The Player <qwerty> has placed SANDSTONE at X= -494, Y= 79, Z= -481
[2024-03-19 11:19:43] [world] The Player <qwerty> has placed SANDSTONE at X= -494, Y= 78, Z= -481
[2024-03-19 11:19:44] [world] The Player <qwerty> has placed SANDSTONE at X= -494, Y= 77, Z= -481
[2024-03-19 11:19:45] [world] The Player <qwerty> has placed SANDSTONE at X= -493, Y= 78, Z= -481
[2024-03-19 11:19:46] [world] The Player <qwerty> has placed SANDSTONE at X= -493, Y= 77, Z= -481
[2024-03-19 11:21:58] [world] The Player <qwerty> has placed SANDSTONE at X= -496, Y= 77, Z= -478
[2024-03-19 11:21:59] [world] The Player <qwerty> has placed SANDSTONE at X= -496, Y= 78, Z= -478
[2024-03-19 11:22:30] [world] The Player <Rip_Dogwater> has placed LAPIS_ORE at X= -10110, Y= 20, Z= 4087
[2024-03-19 11:22:31] [world] The Player <Rip_Dogwater> has placed LAPIS_ORE at X= -10111, Y= 20, Z= 4087
[2024-03-19 11:22:31] [world] The Player <Rip_Dogwater> has placed LAPIS_ORE at X= -10112, Y= 20, Z= 4087
[2024-03-19 11:22:32] [world] The Player <Rip_Dogwater> has placed LAPIS_ORE at X= -10112, Y= 20, Z= 4088
[2024-03-19 11:22:36] [world] The Player <sharky> has placed TNT at X= -454, Y= 64, Z= -490
[2024-03-19 11:22:43] [world] The Player <sharky> has placed SANDSTONE at X= -454, Y= 66, Z= -487
[2024-03-19 11:22:44] [world] The Player <sharky> has placed SANDSTONE at X= -454, Y= 67, Z= -487
[2024-03-19 11:22:45] [world] The Player <sharky> has placed SANDSTONE at X= -454, Y= 67, Z= -489
[2024-03-19 11:22:46] [world] The Player <sharky> has placed SANDSTONE at X= -453, Y= 67, Z= -489
[2024-03-19 11:22:46] [world] The Player <sharky> has placed SANDSTONE at X= -453, Y= 67, Z= -488
[2024-03-19 11:22:47] [world] The Player <sharky> has placed SANDSTONE at X= -453, Y= 67, Z= -487
[2024-03-19 11:22:48] [world] The Player <sharky> has placed SANDSTONE at X= -454, Y= 67, Z= -488
[2024-03-19 11:22:54] [world] The Player <sharky> has placed SANDSTONE at X= -454, Y= 67, Z= -487
[2024-03-19 11:22:56] [world] The Player <sharky> has placed SANDSTONE at X= -455, Y= 68, Z= -486
[2024-03-19 11:23:47] [world] The Player <TurtleDuck> has placed WOOD at X= -572, Y= 66, Z= 290
[2024-03-19 11:23:47] [world] The Player <sharky> has placed FURNACE at X= -497, Y= 73, Z= -499
[2024-03-19 11:24:15] [world] The Player <TurtleDuck> has placed WOOD at X= -579, Y= 56, Z= 271
[2024-03-19 11:24:15] [world] The Player <TurtleDuck> has placed WOOD at X= -579, Y= 56, Z= 271
[2024-03-19 11:24:16] [world] The Player <TurtleDuck> has placed WOOD at X= -579, Y= 55, Z= 271
[2024-03-19 11:24:17] [world] The Player <TurtleDuck> has placed WOOD at X= -579, Y= 55, Z= 272
[2024-03-19 11:24:18] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 55, Z= 272
[2024-03-19 11:24:18] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 55, Z= 271
[2024-03-19 11:25:02] [world] The Player <TurtleDuck> has placed WOOD at X= -579, Y= 64, Z= 258
[2024-03-19 11:25:03] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 64, Z= 258
[2024-03-19 11:25:03] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 64, Z= 257
[2024-03-19 11:25:08] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 64, Z= 259
[2024-03-19 11:25:21] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 56, Z= 264
[2024-03-19 11:25:22] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 57, Z= 264
[2024-03-19 11:25:23] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 56, Z= 264
[2024-03-19 11:25:23] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 56, Z= 264
[2024-03-19 11:25:25] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 57, Z= 264
[2024-03-19 11:25:26] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 57, Z= 263
[2024-03-19 11:25:29] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 58, Z= 263
[2024-03-19 11:25:43] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 56, Z= 268
[2024-03-19 11:25:44] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 57, Z= 268
[2024-03-19 11:25:45] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 58, Z= 268
[2024-03-19 11:25:47] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 57, Z= 268
[2024-03-19 11:25:47] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 58, Z= 268
[2024-03-19 11:25:48] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 58, Z= 268
[2024-03-19 11:25:51] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 55, Z= 268
[2024-03-19 11:25:51] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 56, Z= 268
[2024-03-19 11:25:53] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 57, Z= 268
[2024-03-19 11:25:54] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 55, Z= 268
[2024-03-19 11:25:54] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 56, Z= 268
[2024-03-19 11:25:56] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 55, Z= 268
[2024-03-19 11:25:57] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 55, Z= 269
[2024-03-19 11:25:58] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 56, Z= 269
[2024-03-19 11:25:58] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 57, Z= 269
[2024-03-19 11:25:59] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 58, Z= 269
[2024-03-19 11:26:01] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 58, Z= 270
[2024-03-19 11:26:01] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 58, Z= 271
[2024-03-19 11:26:02] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 58, Z= 272
[2024-03-19 11:26:02] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 58, Z= 273
[2024-03-19 11:26:03] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 58, Z= 274
[2024-03-19 11:26:03] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 57, Z= 274
[2024-03-19 11:26:04] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 57, Z= 273
[2024-03-19 11:26:04] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 57, Z= 272
[2024-03-19 11:26:05] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 57, Z= 271
[2024-03-19 11:26:05] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 57, Z= 270
[2024-03-19 11:26:06] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 56, Z= 270
[2024-03-19 11:26:06] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 55, Z= 270
[2024-03-19 11:26:07] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 55, Z= 271
[2024-03-19 11:26:08] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 56, Z= 271
[2024-03-19 11:26:08] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 56, Z= 272
[2024-03-19 11:26:08] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 55, Z= 272
[2024-03-19 11:26:09] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 55, Z= 273
[2024-03-19 11:26:09] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 56, Z= 273
