[2024-03-20 19:10:08] [world] The Player <NezukoChan> has placed WOOL at X= -10243, Y= 64, Z= 4090
[2024-03-20 19:10:51] [world] The Player <NezukoChan> has placed DIRT at X= -10181, Y= 62, Z= 4116
[2024-03-20 19:10:51] [world] The Player <NezukoChan> has placed DIRT at X= -10181, Y= 62, Z= 4115
[2024-03-20 19:10:51] [world] The Player <NezukoChan> has placed DIRT at X= -10181, Y= 62, Z= 4114
[2024-03-20 19:10:52] [world] The Player <NezukoChan> has placed DIRT at X= -10181, Y= 62, Z= 4113
[2024-03-20 19:10:59] [world] The Player <NezukoChan> has placed DIRT at X= -10170, Y= 62, Z= 4117
[2024-03-20 19:11:56] [world] The Player <NezukoChan> has placed DIRT at X= -10177, Y= 65, Z= 4121
[2024-03-20 19:22:22] [world] The Player <I_am_amazing> has placed DIRT at X= -1355, Y= 65, Z= -263
[2024-03-20 19:22:22] [world] The Player <I_am_amazing> has placed DIRT at X= -1355, Y= 65, Z= -264
[2024-03-20 19:27:12] [world] The Player <I_am_amazing> has placed WORKBENCH at X= -1359, Y= 67, Z= -244
[2024-03-20 19:30:05] [world] The Player <NezukoChan> has placed ENDER_CHEST at X= -10195, Y= 11, Z= 4062
[2024-03-20 19:31:21] [world] The Player <hexa> has placed WOOD_STEP at X= -2528, Y= 65, Z= 582
[2024-03-20 19:32:06] [world] The Player <hexa> has placed WOOD_STEP at X= -2530, Y= 71, Z= 580
[2024-03-20 19:32:09] [world] The Player <hexa> has placed WOOD_STEP at X= -2531, Y= 71, Z= 580
[2024-03-20 19:33:12] [world] The Player <hexa> has placed WOOD_STEP at X= -2525, Y= 71, Z= 586
[2024-03-20 19:33:13] [world] The Player <hexa> has placed WOOD_STEP at X= -2526, Y= 71, Z= 586
[2024-03-20 19:33:13] [world] The Player <hexa> has placed WOOD_STEP at X= -2527, Y= 71, Z= 586
[2024-03-20 19:33:16] [world] The Player <hexa> has placed WOOD_STEP at X= -2528, Y= 71, Z= 586
[2024-03-20 19:33:17] [world] The Player <hexa> has placed WOOD_STEP at X= -2529, Y= 71, Z= 586
[2024-03-20 19:33:18] [world] The Player <hexa> has placed WOOD_STEP at X= -2530, Y= 71, Z= 586
[2024-03-20 19:33:19] [world] The Player <hexa> has placed WOOD_STEP at X= -2531, Y= 71, Z= 586
[2024-03-20 19:33:21] [world] The Player <hexa> has placed WOOD_STEP at X= -2531, Y= 71, Z= 584
[2024-03-20 19:33:21] [world] The Player <hexa> has placed WOOD_STEP at X= -2531, Y= 71, Z= 585
[2024-03-20 19:33:23] [world] The Player <hexa> has placed WOOD_STEP at X= -2531, Y= 71, Z= 582
[2024-03-20 19:33:24] [world] The Player <hexa> has placed WOOD_STEP at X= -2531, Y= 71, Z= 583
[2024-03-20 19:33:25] [world] The Player <hexa> has placed WOOD_STEP at X= -2531, Y= 71, Z= 581
[2024-03-20 19:33:27] [world] The Player <hexa> has placed WOOD_STEP at X= -2528, Y= 71, Z= 580
[2024-03-20 19:33:28] [world] The Player <hexa> has placed WOOD_STEP at X= -2529, Y= 71, Z= 580
[2024-03-20 19:33:30] [world] The Player <hexa> has placed WOOD_STEP at X= -2526, Y= 71, Z= 580
[2024-03-20 19:33:30] [world] The Player <hexa> has placed WOOD_STEP at X= -2527, Y= 71, Z= 580
[2024-03-20 19:33:31] [world] The Player <hexa> has placed WOOD_STEP at X= -2525, Y= 71, Z= 580
[2024-03-20 19:33:33] [world] The Player <hexa> has placed WOOD_STEP at X= -2525, Y= 71, Z= 582
[2024-03-20 19:33:33] [world] The Player <hexa> has placed WOOD_STEP at X= -2525, Y= 71, Z= 581
[2024-03-20 19:33:34] [world] The Player <hexa> has placed WOOD_STEP at X= -2525, Y= 71, Z= 585
[2024-03-20 19:33:34] [world] The Player <hexa> has placed WOOD_STEP at X= -2525, Y= 71, Z= 584
[2024-03-20 19:33:35] [world] The Player <hexa> has placed WOOD_STEP at X= -2525, Y= 71, Z= 583
[2024-03-20 19:33:38] [world] The Player <hexa> has placed WOOD_STEP at X= -2528, Y= 71, Z= 585
[2024-03-20 19:33:38] [world] The Player <hexa> has placed WOOD_STEP at X= -2528, Y= 70, Z= 585
[2024-03-20 19:33:54] [world] The Player <NezukoChan> has placed ENDER_CHEST at X= -10195, Y= 11, Z= 3957
[2024-03-20 19:33:55] [world] The Player <hexa> has placed WOOD_STEP at X= -2528, Y= 71, Z= 581
[2024-03-20 19:33:57] [world] The Player <hexa> has placed WOOD_STEP at X= -2528, Y= 71, Z= 584
[2024-03-20 19:33:59] [world] The Player <hexa> has placed WOOD_STEP at X= -2528, Y= 71, Z= 582
[2024-03-20 19:34:11] [world] The Player <Brycethelegend> has placed WOOD at X= -1359, Y= 64, Z= -267
[2024-03-20 19:34:18] [world] The Player <Brycethelegend> has placed BED_BLOCK at X= -1358, Y= 62, Z= -265
[2024-03-20 19:35:48] [world] The Player <hexa> has placed WOOD_STEP at X= -2530, Y= 68, Z= 583
[2024-03-20 19:35:59] [world] The Player <hexa> has placed WOOD_STEP at X= -2530, Y= 71, Z= 583
[2024-03-20 19:36:02] [world] The Player <hexa> has placed WOOD_STEP at X= -2528, Y= 71, Z= 583
[2024-03-20 19:36:03] [world] The Player <hexa> has placed WOOD_STEP at X= -2529, Y= 71, Z= 583
[2024-03-20 19:36:06] [world] The Player <hexa> has placed WOOD_STEP at X= -2526, Y= 69, Z= 583
[2024-03-20 19:36:15] [world] The Player <hexa> has placed WOOD_STEP at X= -2526, Y= 68, Z= 583
[2024-03-20 19:36:19] [world] The Player <hexa> has placed WOOD_STEP at X= -2526, Y= 71, Z= 583
[2024-03-20 19:36:20] [world] The Player <hexa> has placed WOOD_STEP at X= -2527, Y= 71, Z= 583
[2024-03-20 19:36:21] [world] The Player <hexa> has placed WOOD_STEP at X= -2526, Y= 71, Z= 585
[2024-03-20 19:36:24] [world] The Player <hexa> has placed WOOD_STEP at X= -2526, Y= 71, Z= 581
[2024-03-20 19:36:24] [world] The Player <qwerty> has placed DIRT at X= -638, Y= 64, Z= -806
[2024-03-20 19:36:31] [world] The Player <hexa> has placed WOOD_STEP at X= -2530, Y= 71, Z= 581
[2024-03-20 19:36:32] [world] The Player <hexa> has placed WOOD_STEP at X= -2530, Y= 71, Z= 585
[2024-03-20 19:36:33] [world] The Player <hexa> has placed WOOD_STEP at X= -2530, Y= 71, Z= 584
[2024-03-20 19:36:33] [world] The Player <hexa> has placed WOOD_STEP at X= -2529, Y= 71, Z= 585
[2024-03-20 19:36:34] [world] The Player <hexa> has placed WOOD_STEP at X= -2529, Y= 71, Z= 584
[2024-03-20 19:36:35] [world] The Player <qwerty> has placed BREWING_STAND at X= -633, Y= 63, Z= -809
[2024-03-20 19:36:35] [world] The Player <hexa> has placed WOOD_STEP at X= -2529, Y= 71, Z= 581
[2024-03-20 19:36:36] [world] The Player <hexa> has placed WOOD_STEP at X= -2529, Y= 71, Z= 582
[2024-03-20 19:36:36] [world] The Player <hexa> has placed WOOD_STEP at X= -2530, Y= 71, Z= 582
[2024-03-20 19:36:40] [world] The Player <hexa> has placed WOOD_STEP at X= -2526, Y= 71, Z= 582
[2024-03-20 19:36:41] [world] The Player <hexa> has placed WOOD_STEP at X= -2527, Y= 71, Z= 581
[2024-03-20 19:36:41] [world] The Player <hexa> has placed WOOD_STEP at X= -2527, Y= 71, Z= 582
[2024-03-20 19:36:42] [world] The Player <hexa> has placed WOOD_STEP at X= -2527, Y= 71, Z= 585
[2024-03-20 19:36:43] [world] The Player <hexa> has placed WOOD_STEP at X= -2526, Y= 71, Z= 584
[2024-03-20 19:36:43] [world] The Player <hexa> has placed WOOD_STEP at X= -2527, Y= 71, Z= 584
[2024-03-20 19:36:48] [world] The Player <NezukoChan> has placed ENDER_CHEST at X= -10195, Y= 11, Z= 3898
[2024-03-20 19:37:13] [world] The Player <hexa> has placed COBBLESTONE at X= -2525, Y= 67, Z= 580
[2024-03-20 19:37:21] [world] The Player <hexa> has placed COBBLESTONE at X= -2527, Y= 64, Z= 581
[2024-03-20 19:37:28] [world] The Player <hexa> has placed WOOD at X= -2529, Y= 64, Z= 581
[2024-03-20 19:39:00] [world] The Player <qwerty> has placed SUGAR_CANE_BLOCK at X= -1362, Y= 66, Z= -218
[2024-03-20 19:39:00] [world] The Player <qwerty> has placed SUGAR_CANE_BLOCK at X= -1361, Y= 66, Z= -218
[2024-03-20 19:39:00] [world] The Player <qwerty> has placed SUGAR_CANE_BLOCK at X= -1360, Y= 66, Z= -218
[2024-03-20 19:39:01] [world] The Player <qwerty> has placed SUGAR_CANE_BLOCK at X= -1359, Y= 66, Z= -218
