[2024-03-21 19:44:58] [world] The Player <character> has placed WOOD at X= -390, Y= 78, Z= -72
[2024-03-21 19:44:59] [world] The Player <character> has placed WOOD at X= -390, Y= 79, Z= -72
[2024-03-21 19:45:00] [world] The Player <character> has placed WOOD at X= -389, Y= 78, Z= -72
[2024-03-21 19:45:00] [world] The Player <character> has placed WOOD at X= -388, Y= 78, Z= -72
[2024-03-21 19:45:01] [world] The Player <character> has placed WOOD at X= -387, Y= 78, Z= -72
[2024-03-21 19:45:02] [world] The Player <character> has placed WOOD at X= -386, Y= 78, Z= -72
[2024-03-21 19:45:02] [world] The Player <character> has placed WOOD at X= -385, Y= 78, Z= -72
[2024-03-21 19:45:03] [world] The Player <character> has placed WOOD at X= -384, Y= 78, Z= -72
[2024-03-21 19:45:03] [world] The Player <character> has placed WOOD at X= -383, Y= 78, Z= -72
[2024-03-21 19:45:04] [world] The Player <character> has placed WOOD at X= -382, Y= 78, Z= -72
[2024-03-21 19:45:06] [world] The Player <character> has placed WOOD at X= -381, Y= 78, Z= -72
[2024-03-21 19:45:07] [world] The Player <character> has placed WOOD at X= -380, Y= 78, Z= -72
[2024-03-21 19:45:52] [world] The Player <character> has placed WOOD at X= -389, Y= 79, Z= -72
[2024-03-21 19:45:53] [world] The Player <character> has placed WOOD at X= -388, Y= 79, Z= -72
[2024-03-21 19:45:54] [world] The Player <character> has placed WOOD at X= -387, Y= 79, Z= -72
[2024-03-21 19:45:55] [world] The Player <character> has placed WOOD at X= -386, Y= 79, Z= -72
[2024-03-21 19:45:55] [world] The Player <character> has placed WOOD at X= -385, Y= 79, Z= -72
[2024-03-21 19:45:56] [world] The Player <character> has placed WOOD at X= -384, Y= 79, Z= -72
[2024-03-21 19:45:59] [world] The Player <character> has placed WOOD at X= -383, Y= 79, Z= -72
[2024-03-21 19:45:59] [world] The Player <character> has placed WOOD at X= -382, Y= 79, Z= -72
[2024-03-21 19:46:00] [world] The Player <character> has placed WOOD at X= -381, Y= 79, Z= -72
[2024-03-21 19:46:03] [world] The Player <character> has placed WOOD at X= -379, Y= 78, Z= -66
[2024-03-21 19:46:05] [world] The Player <character> has placed WOOD at X= -379, Y= 79, Z= -66
[2024-03-21 19:46:06] [world] The Player <character> has placed WOOD at X= -379, Y= 79, Z= -67
[2024-03-21 19:46:06] [world] The Player <character> has placed WOOD at X= -379, Y= 79, Z= -68
[2024-03-21 19:46:07] [world] The Player <character> has placed WOOD at X= -379, Y= 79, Z= -69
[2024-03-21 19:46:07] [world] The Player <Dave_TheCoolGuy> has placed SAPLING at X= -666, Y= 71, Z= 308
[2024-03-21 19:46:08] [world] The Player <character> has placed WOOD at X= -379, Y= 79, Z= -70
[2024-03-21 19:46:08] [world] The Player <Dave_TheCoolGuy> has placed SAPLING at X= -665, Y= 71, Z= 308
[2024-03-21 19:46:10] [world] The Player <character> has placed WOOD at X= -379, Y= 78, Z= -70
[2024-03-21 19:46:12] [world] The Player <character> has placed WOOD at X= -379, Y= 78, Z= -67
[2024-03-21 19:46:12] [world] The Player <character> has placed WOOD at X= -379, Y= 78, Z= -68
[2024-03-21 19:46:14] [world] The Player <character> has placed WOOD at X= -379, Y= 78, Z= -69
[2024-03-21 19:46:18] [world] The Player <character> has placed WOOD at X= -380, Y= 78, Z= -66
[2024-03-21 19:46:20] [world] The Player <character> has placed WOOD at X= -381, Y= 78, Z= -66
[2024-03-21 19:46:22] [world] The Player <character> has placed WOOD at X= -382, Y= 78, Z= -66
[2024-03-21 19:46:23] [world] The Player <character> has placed WOOD at X= -383, Y= 78, Z= -66
[2024-03-21 19:46:23] [world] The Player <character> has placed WOOD at X= -384, Y= 78, Z= -66
[2024-03-21 19:46:24] [world] The Player <character> has placed WOOD at X= -385, Y= 78, Z= -66
[2024-03-21 19:46:25] [world] The Player <character> has placed WOOD at X= -386, Y= 78, Z= -66
[2024-03-21 19:46:25] [world] The Player <character> has placed WOOD at X= -387, Y= 78, Z= -66
[2024-03-21 19:46:26] [world] The Player <character> has placed WOOD at X= -388, Y= 78, Z= -66
[2024-03-21 19:46:26] [world] The Player <character> has placed WOOD at X= -388, Y= 79, Z= -66
[2024-03-21 19:46:29] [world] The Player <character> has placed WOOD at X= -389, Y= 78, Z= -66
[2024-03-21 19:46:30] [world] The Player <character> has placed WOOD at X= -390, Y= 78, Z= -66
[2024-03-21 19:46:31] [world] The Player <character> has placed WOOD at X= -390, Y= 79, Z= -66
[2024-03-21 19:46:32] [world] The Player <character> has placed WOOD at X= -389, Y= 79, Z= -66
[2024-03-21 19:46:35] [world] The Player <character> has placed WOOD at X= -386, Y= 79, Z= -66
[2024-03-21 19:46:35] [world] The Player <character> has placed WOOD at X= -387, Y= 79, Z= -66
[2024-03-21 19:46:38] [world] The Player <character> has placed WOOD at X= -383, Y= 79, Z= -66
[2024-03-21 19:46:38] [world] The Player <character> has placed WOOD at X= -384, Y= 79, Z= -66
[2024-03-21 19:46:39] [world] The Player <character> has placed WOOD at X= -385, Y= 79, Z= -66
[2024-03-21 19:46:41] [world] The Player <character> has placed WOOD at X= -380, Y= 79, Z= -66
[2024-03-21 19:46:41] [world] The Player <character> has placed WOOD at X= -381, Y= 79, Z= -66
[2024-03-21 19:46:42] [world] The Player <character> has placed WOOD at X= -382, Y= 79, Z= -66
[2024-03-21 19:47:41] [world] The Player <astronomy> has placed STEP at X= -1535, Y= 52, Z= -117
[2024-03-21 19:47:41] [world] The Player <astronomy> has placed STEP at X= -1535, Y= 52, Z= -118
[2024-03-21 19:48:13] [world] The Player <character> has placed SAPLING at X= -383, Y= 88, Z= -65
[2024-03-21 19:48:14] [world] The Player <character> has placed SAPLING at X= -382, Y= 88, Z= -65
[2024-03-21 19:48:36] [world] The Player <character> has placed WOOD at X= -390, Y= 78, Z= -67
[2024-03-21 19:48:38] [world] The Player <character> has placed WOOD at X= -390, Y= 78, Z= -69
[2024-03-21 19:48:39] [world] The Player <character> has placed WOOD at X= -390, Y= 78, Z= -70
[2024-03-21 19:48:39] [world] The Player <character> has placed WOOD at X= -390, Y= 78, Z= -71
[2024-03-21 19:48:41] [world] The Player <character> has placed WOOD at X= -390, Y= 78, Z= -68
[2024-03-21 19:48:43] [world] The Player <character> has placed WOOD at X= -390, Y= 79, Z= -68
[2024-03-21 19:48:43] [world] The Player <character> has placed WOOD at X= -390, Y= 79, Z= -67
[2024-03-21 19:48:45] [world] The Player <character> has placed WOOD at X= -390, Y= 79, Z= -69
[2024-03-21 19:48:45] [world] The Player <character> has placed WOOD at X= -390, Y= 79, Z= -70
[2024-03-21 19:48:46] [world] The Player <character> has placed WOOD at X= -390, Y= 79, Z= -71
[2024-03-21 19:49:53] [world] The Player <astronomy> has placed RED_ROSE at X= -1536, Y= 50, Z= -119
[2024-03-21 19:52:02] [world] The Player <astronomy> has placed NOTE_BLOCK at X= 1802, Y= 38, Z= 286
[2024-03-21 19:52:09] [world] The Player <character> has placed TORCH at X= -383, Y= 79, Z= -67
[2024-03-21 19:52:20] [world] The Player <astronomy> has placed NOTE_BLOCK at X= 1802, Y= 38, Z= 289
[2024-03-21 19:52:23] [world] The Player <character> has placed TORCH at X= -384, Y= 79, Z= -71
