[2024-03-24 21:52:56] [world] The Player <GolemDaWanderer> has placed HOPPER at X= -10299, Y= 34, Z= 4029
[2024-03-24 22:00:02] [world] The Player <Tester> has placed WORKBENCH at X= -10298, Y= 34, Z= 4029
[2024-03-24 22:06:53] [world] The Player <NezukoChan> has placed DIRT at X= -10301, Y= 48, Z= 4026
[2024-03-24 22:06:56] [world] The Player <NezukoChan> has placed DIRT at X= -10301, Y= 49, Z= 4026
[2024-03-24 22:07:01] [world] The Player <NezukoChan> has placed DIRT at X= -10301, Y= 51, Z= 4023
[2024-03-24 22:08:10] [world] The Player <NezukoChan> has placed DIRT at X= -10301, Y= 48, Z= 4026
[2024-03-24 22:08:12] [world] The Player <NezukoChan> has placed DIRT at X= -10301, Y= 49, Z= 4026
[2024-03-24 22:08:54] [world] The Player <NezukoChan> has placed TORCH at X= -10302, Y= 52, Z= 4023
[2024-03-24 22:08:57] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10301, Y= 48, Z= 4026
[2024-03-24 22:08:58] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10301, Y= 49, Z= 4026
[2024-03-24 22:08:59] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10301, Y= 50, Z= 4026
[2024-03-24 22:09:30] [world] The Player <NezukoChan> has placed DIRT at X= -10301, Y= 51, Z= 4025
[2024-03-24 22:09:31] [world] The Player <NezukoChan> has placed DIRT at X= -10301, Y= 52, Z= 4025
[2024-03-24 22:12:05] [world] The Player <Tester> has placed TORCH at X= -10304, Y= 52, Z= 4027
[2024-03-24 22:12:11] [world] The Player <Tester> has placed TORCH at X= -10304, Y= 50, Z= 4031
[2024-03-24 22:12:17] [world] The Player <Tester> has placed HOPPER at X= -10300, Y= 48, Z= 4035
[2024-03-24 22:12:24] [world] The Player <Tester> has placed TORCH at X= -10297, Y= 50, Z= 4035
[2024-03-24 22:12:25] [world] The Player <NezukoChan> has placed DIRT at X= -10185, Y= 63, Z= 4117
[2024-03-24 22:12:27] [world] The Player <Tester> has placed DIRT at X= -10300, Y= 48, Z= 4032
[2024-03-24 22:12:30] [world] The Player <Tester> has placed DIRT at X= -10300, Y= 49, Z= 4032
[2024-03-24 22:12:30] [world] The Player <Tester> has placed DIRT at X= -10300, Y= 50, Z= 4032
[2024-03-24 22:12:32] [world] The Player <Tester> has placed DIRT at X= -10300, Y= 50, Z= 4031
[2024-03-24 22:12:34] [world] The Player <Tester> has placed DIRT at X= -10300, Y= 50, Z= 4030
[2024-03-24 22:12:35] [world] The Player <Tester> has placed DIRT at X= -10300, Y= 51, Z= 4030
[2024-03-24 22:12:37] [world] The Player <Tester> has placed DIRT at X= -10299, Y= 51, Z= 4030
