[2024-03-26 23:18:15] [world_nether] The Player <NezukoChan> has placed DIRT at X= -1246, Y= 49, Z= 521
[2024-03-26 23:18:16] [world_nether] The Player <NezukoChan> has placed DIRT at X= -1245, Y= 49, Z= 521
[2024-03-26 23:18:16] [world_nether] The Player <NezukoChan> has placed DIRT at X= -1244, Y= 49, Z= 521
[2024-03-26 23:18:17] [world_nether] The Player <NezukoChan> has placed DIRT at X= -1244, Y= 49, Z= 520
[2024-03-26 23:18:17] [world_nether] The Player <NezukoChan> has placed DIRT at X= -1243, Y= 49, Z= 520
[2024-03-26 23:18:54] [world_nether] The Player <NezukoChan> has placed DIRT at X= -1266, Y= 53, Z= 507
[2024-03-26 23:18:56] [world_nether] The Player <NezukoChan> has placed DIRT at X= -1267, Y= 53, Z= 508
[2024-03-26 23:19:17] [world_nether] The Player <NezukoChan> has placed DIRT at X= -1268, Y= 53, Z= 507
[2024-03-26 23:52:05] [world_nether] The Player <NezukoChan> has placed OBSIDIAN at X= -1274, Y= 48, Z= 524
[2024-03-26 23:52:07] [world_nether] The Player <NezukoChan> has placed OBSIDIAN at X= -1273, Y= 49, Z= 524
[2024-03-26 23:52:08] [world_nether] The Player <NezukoChan> has placed OBSIDIAN at X= -1274, Y= 50, Z= 524
[2024-03-27 02:26:25] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -407, Y= 64, Z= 384
[2024-03-27 02:26:25] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -407, Y= 64, Z= 385
[2024-03-27 02:26:26] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -407, Y= 65, Z= 384
[2024-03-27 02:26:26] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -407, Y= 65, Z= 385
[2024-03-27 02:26:29] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -407, Y= 66, Z= 385
[2024-03-27 02:26:30] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -406, Y= 66, Z= 385
[2024-03-27 02:27:52] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -614, Y= 71, Z= 263
[2024-03-27 02:27:53] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -614, Y= 72, Z= 263
[2024-03-27 02:27:53] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -614, Y= 73, Z= 263
[2024-03-27 02:27:54] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -614, Y= 74, Z= 263
[2024-03-27 02:27:55] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -615, Y= 76, Z= 263
[2024-03-27 02:27:55] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -615, Y= 77, Z= 263
[2024-03-27 02:27:56] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -615, Y= 78, Z= 263
[2024-03-27 02:27:57] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -616, Y= 80, Z= 263
[2024-03-27 03:09:19] [world] The Player <Tester> has placed TORCH at X= -10178, Y= 62, Z= 4120
[2024-03-27 03:09:21] [world] The Player <Tester> has placed TORCH at X= -10182, Y= 62, Z= 4120
[2024-03-27 03:09:22] [world] The Player <Tester> has placed TORCH at X= -10186, Y= 62, Z= 4120
[2024-03-27 03:09:23] [world] The Player <Tester> has placed TORCH at X= -10186, Y= 62, Z= 4118
[2024-03-27 03:09:24] [world] The Player <Tester> has placed TORCH at X= -10184, Y= 62, Z= 4118
[2024-03-27 03:09:26] [world] The Player <Tester> has placed TORCH at X= -10180, Y= 62, Z= 4118
[2024-03-27 03:09:36] [world] The Player <Tester> has placed WOOD_STEP at X= -10176, Y= 63, Z= 4118
[2024-03-27 03:09:37] [world] The Player <Tester> has placed WOOD_STEP at X= -10177, Y= 63, Z= 4118
[2024-03-27 03:11:12] [world] The Player <Tester> has placed TORCH at X= -9961, Y= 30, Z= 4099
[2024-03-27 03:11:25] [world] The Player <Tester> has placed TORCH at X= -9961, Y= 30, Z= 4099
[2024-03-27 03:11:35] [world] The Player <Tester> has placed TORCH at X= -9961, Y= 30, Z= 4099
[2024-03-27 03:13:38] [world] The Player <Tester> has placed TORCH at X= -10175, Y= 63, Z= 4115
[2024-03-27 03:13:40] [world] The Player <Tester> has placed TORCH at X= -10180, Y= 63, Z= 4112
[2024-03-27 03:13:41] [world] The Player <Tester> has placed TORCH at X= -10186, Y= 63, Z= 4107
[2024-03-27 03:13:49] [world] The Player <Tester> has placed TORCH at X= -10221, Y= 66, Z= 4101
[2024-03-27 03:15:39] [world] The Player <Tester> has placed POWERED_RAIL at X= -10241, Y= 64, Z= 4072
[2024-03-27 03:15:46] [world] The Player <Tester> has placed DIRT at X= -10241, Y= 63, Z= 4075
[2024-03-27 03:15:46] [world] The Player <Tester> has placed DIRT at X= -10241, Y= 63, Z= 4074
[2024-03-27 03:15:47] [world] The Player <Tester> has placed DIRT at X= -10241, Y= 63, Z= 4073
[2024-03-27 03:15:49] [world] The Player <Tester> has placed DIRT at X= -10241, Y= 63, Z= 4076
[2024-03-27 03:15:51] [world] The Player <Tester> has placed POWERED_RAIL at X= -10241, Y= 64, Z= 4073
[2024-03-27 03:15:52] [world] The Player <Tester> has placed POWERED_RAIL at X= -10241, Y= 64, Z= 4074
[2024-03-27 03:15:53] [world] The Player <Tester> has placed POWERED_RAIL at X= -10241, Y= 64, Z= 4075
[2024-03-27 03:15:55] [world] The Player <Tester> has placed POWERED_RAIL at X= -10241, Y= 65, Z= 4077
[2024-03-27 03:16:07] [world] The Player <Tester> has placed POWERED_RAIL at X= -10241, Y= 64, Z= 4076
[2024-03-27 03:16:14] [world] The Player <Tester> has placed POWERED_RAIL at X= -10241, Y= 65, Z= 4078
[2024-03-27 03:18:36] [world] The Player <Tester> has placed DIRT at X= -10241, Y= 67, Z= 4072
[2024-03-27 03:18:37] [world] The Player <Tester> has placed DIRT at X= -10240, Y= 67, Z= 4072
[2024-03-27 03:18:38] [world] The Player <Tester> has placed DIRT at X= -10239, Y= 67, Z= 4072
[2024-03-27 03:18:39] [world] The Player <Tester> has placed DIRT at X= -10238, Y= 67, Z= 4072
[2024-03-27 03:18:39] [world] The Player <Tester> has placed DIRT at X= -10237, Y= 67, Z= 4072
[2024-03-27 03:18:41] [world] The Player <Tester> has placed POWERED_RAIL at X= -10237, Y= 68, Z= 4072
[2024-03-27 03:18:42] [world] The Player <Tester> has placed POWERED_RAIL at X= -10238, Y= 68, Z= 4072
[2024-03-27 03:18:42] [world] The Player <Tester> has placed POWERED_RAIL at X= -10239, Y= 68, Z= 4072
[2024-03-27 03:18:42] [world] The Player <Tester> has placed POWERED_RAIL at X= -10240, Y= 68, Z= 4072
[2024-03-27 03:18:43] [world] The Player <Tester> has placed POWERED_RAIL at X= -10241, Y= 68, Z= 4072
[2024-03-27 03:19:23] [world] The Player <Tester> has placed POWERED_RAIL at X= -10265, Y= 63, Z= 4080
[2024-03-27 03:19:23] [world] The Player <Tester> has placed POWERED_RAIL at X= -10264, Y= 62, Z= 4080
[2024-03-27 03:19:27] [world] The Player <Tester> has placed POWERED_RAIL at X= -10266, Y= 64, Z= 4080
[2024-03-27 03:19:29] [world] The Player <Tester> has placed POWERED_RAIL at X= -10263, Y= 62, Z= 4080
[2024-03-27 03:19:30] [world] The Player <Tester> has placed POWERED_RAIL at X= -10263, Y= 62, Z= 4081
[2024-03-27 03:19:48] [world] The Player <Tester> has placed RAILS at X= -10263, Y= 62, Z= 4081
[2024-03-27 03:19:49] [world] The Player <Tester> has placed RAILS at X= -10262, Y= 63, Z= 4081
[2024-03-27 03:19:52] [world] The Player <Tester> has placed RAILS at X= -10263, Y= 62, Z= 4080
[2024-03-27 03:20:11] [world] The Player <Tester> has placed REDSTONE_BLOCK at X= -10262, Y= 61, Z= 4081
[2024-03-27 03:20:12] [world] The Player <Tester> has placed POWERED_RAIL at X= -10262, Y= 62, Z= 4081
[2024-03-27 03:20:13] [world] The Player <Tester> has placed POWERED_RAIL at X= -10261, Y= 63, Z= 4081
[2024-03-27 03:20:15] [world] The Player <Tester> has placed POWERED_RAIL at X= -10260, Y= 64, Z= 4081
[2024-03-27 03:20:19] [world] The Player <Tester> has placed RAILS at X= -10260, Y= 64, Z= 4080
[2024-03-27 03:20:21] [world] The Player <Tester> has placed RAILS at X= -10260, Y= 64, Z= 4081
[2024-03-27 03:20:25] [world] The Player <Tester> has placed POWERED_RAIL at X= -10260, Y= 64, Z= 4081
[2024-03-27 03:20:28] [world] The Player <Tester> has placed RAILS at X= -10259, Y= 64, Z= 4081
[2024-03-27 03:20:30] [world] The Player <Tester> has placed RAILS at X= -10259, Y= 64, Z= 4080
[2024-03-27 12:19:44] [world] The Player <Tester> has placed BED_BLOCK at X= -10176, Y= 63, Z= 4116
[2024-03-27 12:20:50] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10166, Y= 63, Z= 4078
[2024-03-27 12:20:51] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10164, Y= 63, Z= 4079
[2024-03-27 12:20:51] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10165, Y= 63, Z= 4079
[2024-03-27 12:21:01] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10151, Y= 63, Z= 4087
[2024-03-27 12:21:01] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10151, Y= 63, Z= 4086
[2024-03-27 12:21:01] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10151, Y= 63, Z= 4085
[2024-03-27 12:21:15] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10173, Y= 63, Z= 4074
[2024-03-27 12:21:15] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10173, Y= 63, Z= 4073
[2024-03-27 12:21:16] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10173, Y= 63, Z= 4072
[2024-03-27 12:21:18] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10170, Y= 63, Z= 4073
[2024-03-27 12:21:18] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10170, Y= 63, Z= 4072
[2024-03-27 12:21:21] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10176, Y= 63, Z= 4074
[2024-03-27 12:21:21] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10176, Y= 63, Z= 4073
[2024-03-27 12:21:21] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10176, Y= 64, Z= 4073
[2024-03-27 12:21:22] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10176, Y= 63, Z= 4072
[2024-03-27 12:21:29] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10180, Y= 63, Z= 4082
[2024-03-27 12:21:56] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10224, Y= 63, Z= 4047
[2024-03-27 12:21:56] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10224, Y= 64, Z= 4047
[2024-03-27 12:21:57] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10224, Y= 63, Z= 4048
[2024-03-27 12:22:00] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10223, Y= 63, Z= 4044
[2024-03-27 12:22:00] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10223, Y= 63, Z= 4045
[2024-03-27 12:22:01] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10223, Y= 63, Z= 4046
[2024-03-27 12:22:21] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10225, Y= 63, Z= 4049
[2024-03-27 12:22:23] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10226, Y= 63, Z= 4050
[2024-03-27 12:22:24] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10227, Y= 63, Z= 4051
[2024-03-27 12:22:25] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10228, Y= 63, Z= 4051
[2024-03-27 12:22:25] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10228, Y= 64, Z= 4051
[2024-03-27 12:22:25] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10229, Y= 63, Z= 4051
[2024-03-27 12:22:25] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10229, Y= 64, Z= 4051
[2024-03-27 12:22:26] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10230, Y= 63, Z= 4051
[2024-03-27 12:22:26] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10231, Y= 63, Z= 4051
[2024-03-27 12:22:26] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10232, Y= 63, Z= 4051
[2024-03-27 12:22:27] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10233, Y= 63, Z= 4051
[2024-03-27 12:22:27] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10234, Y= 63, Z= 4051
[2024-03-27 12:22:27] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10235, Y= 63, Z= 4051
[2024-03-27 12:22:27] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10236, Y= 63, Z= 4051
[2024-03-27 12:22:29] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10237, Y= 63, Z= 4050
[2024-03-27 12:22:29] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10237, Y= 63, Z= 4049
[2024-03-27 12:22:29] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10237, Y= 63, Z= 4048
[2024-03-27 12:22:29] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10237, Y= 64, Z= 4048
[2024-03-27 12:22:29] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10237, Y= 63, Z= 4047
[2024-03-27 12:22:31] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10238, Y= 63, Z= 4046
[2024-03-27 12:22:32] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10240, Y= 63, Z= 4044
[2024-03-27 12:22:32] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10240, Y= 64, Z= 4044
[2024-03-27 12:22:33] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10239, Y= 63, Z= 4045
[2024-03-27 12:22:38] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10241, Y= 63, Z= 4044
[2024-03-27 12:22:38] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10243, Y= 63, Z= 4044
[2024-03-27 12:22:38] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10244, Y= 63, Z= 4044
[2024-03-27 12:22:39] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10245, Y= 63, Z= 4044
[2024-03-27 12:22:42] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10242, Y= 63, Z= 4044
[2024-03-27 12:22:49] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10224, Y= 63, Z= 4043
[2024-03-27 12:22:52] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10226, Y= 63, Z= 4043
[2024-03-27 12:22:52] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10225, Y= 63, Z= 4043
[2024-03-27 12:22:53] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10227, Y= 63, Z= 4043
[2024-03-27 12:22:54] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10227, Y= 64, Z= 4043
[2024-03-27 12:22:55] [world] The Player <Tester> has placed SUGAR_CANE_BLOCK at X= -10228, Y= 63, Z= 4043
