[2024-03-27 13:40:13] [world] The Player <Milk_Frog> has placed GRASS at X= -571, Y= 67, Z= 276
[2024-03-27 13:40:14] [world] The Player <Milk_Frog> has placed GRASS at X= -573, Y= 67, Z= 276
[2024-03-27 13:40:15] [world] The Player <Milk_Frog> has placed GRASS at X= -572, Y= 67, Z= 277
[2024-03-27 13:40:15] [world] The Player <Milk_Frog> has placed GRASS at X= -573, Y= 67, Z= 277
[2024-03-27 13:40:15] [world] The Player <Milk_Frog> has placed GRASS at X= -574, Y= 67, Z= 277
[2024-03-27 13:40:16] [world] The Player <Milk_Frog> has placed GRASS at X= -575, Y= 67, Z= 276
[2024-03-27 13:40:16] [world] The Player <Milk_Frog> has placed GRASS at X= -575, Y= 67, Z= 277
[2024-03-27 13:40:17] [world] The Player <Milk_Frog> has placed GRASS at X= -576, Y= 67, Z= 277
[2024-03-27 13:40:18] [world] The Player <Milk_Frog> has placed GRASS at X= -577, Y= 67, Z= 277
[2024-03-27 13:40:35] [world] The Player <Milk_Frog> has placed GRASS at X= -570, Y= 66, Z= 293
[2024-03-27 13:40:35] [world] The Player <Milk_Frog> has placed GRASS at X= -571, Y= 65, Z= 293
[2024-03-27 13:40:36] [world] The Player <Milk_Frog> has placed GRASS at X= -570, Y= 65, Z= 294
[2024-03-27 13:40:36] [world] The Player <Milk_Frog> has placed GRASS at X= -571, Y= 65, Z= 294
[2024-03-27 13:42:16] [world] The Player <Char> has placed GRASS at X= -601, Y= 68, Z= 364
[2024-03-27 13:42:16] [world] The Player <Char> has placed GRASS at X= -601, Y= 67, Z= 363
[2024-03-27 13:42:17] [world] The Player <Char> has placed GRASS at X= -601, Y= 67, Z= 362
[2024-03-27 13:42:17] [world] The Player <Char> has placed GRASS at X= -601, Y= 67, Z= 361
[2024-03-27 13:42:18] [world] The Player <Char> has placed GRASS at X= -601, Y= 67, Z= 360
[2024-03-27 13:42:19] [world] The Player <Char> has placed GRASS at X= -601, Y= 67, Z= 359
[2024-03-27 13:42:42] [world] The Player <Milk_Frog> has placed GRASS at X= -579, Y= 67, Z= 278
[2024-03-27 13:42:43] [world] The Player <Milk_Frog> has placed GRASS at X= -580, Y= 67, Z= 278
[2024-03-27 13:42:43] [world] The Player <Milk_Frog> has placed GRASS at X= -581, Y= 67, Z= 278
[2024-03-27 13:42:44] [world] The Player <Milk_Frog> has placed GRASS at X= -582, Y= 67, Z= 278
[2024-03-27 13:42:55] [world] The Player <Char> has placed WOOL at X= -596, Y= 68, Z= 338
[2024-03-27 13:42:56] [world] The Player <Char> has placed WOOL at X= -597, Y= 68, Z= 338
[2024-03-27 13:42:58] [world] The Player <Char> has placed STAINED_CLAY at X= -598, Y= 68, Z= 338
[2024-03-27 13:43:02] [world] The Player <Char> has placed WOOL at X= -599, Y= 68, Z= 338
[2024-03-27 13:43:03] [world] The Player <Char> has placed WOOL at X= -600, Y= 68, Z= 338
