[2024-03-28 00:58:44] [world] The Player <xcpc> has placed TORCH at X= -441, Y= 57, Z= 266
[2024-03-28 00:58:47] [world] The Player <xcpc> has placed TORCH at X= -436, Y= 57, Z= 261
[2024-03-28 01:05:14] [world_the_end] The Player <Heinrich_Himmler> has placed FURNACE at X= -14, Y= 62, Z= -68
[2024-03-28 01:55:38] [world] The Player <Tester> has placed OBSIDIAN at X= -10184, Y= 70, Z= 4007
[2024-03-28 01:55:39] [world] The Player <Tester> has placed OBSIDIAN at X= -10184, Y= 71, Z= 4007
[2024-03-28 01:55:39] [world] The Player <Tester> has placed OBSIDIAN at X= -10184, Y= 72, Z= 4007
[2024-03-28 01:55:41] [world] The Player <Tester> has placed OBSIDIAN at X= -10184, Y= 73, Z= 4007
[2024-03-28 01:55:41] [world] The Player <Tester> has placed OBSIDIAN at X= -10184, Y= 74, Z= 4007
[2024-03-28 01:55:41] [world] The Player <Tester> has placed OBSIDIAN at X= -10184, Y= 75, Z= 4007
[2024-03-28 01:55:42] [world] The Player <Tester> has placed OBSIDIAN at X= -10184, Y= 76, Z= 4007
[2024-03-28 01:55:42] [world] The Player <Tester> has placed OBSIDIAN at X= -10184, Y= 77, Z= 4007
[2024-03-28 02:00:04] [world] The Player <Tester> has placed OBSIDIAN at X= -10316, Y= 134, Z= 3835
[2024-03-28 02:00:04] [world] The Player <Tester> has placed OBSIDIAN at X= -10315, Y= 134, Z= 3834
[2024-03-28 02:01:21] [world] The Player <Tester> has placed OBSIDIAN at X= -10313, Y= 75, Z= 3820
[2024-03-28 02:01:22] [world] The Player <Tester> has placed OBSIDIAN at X= -10314, Y= 75, Z= 3820
[2024-03-28 02:03:34] [world] The Player <Milk_Frog> has placed LONG_GRASS at X= -602, Y= 68, Z= 273
[2024-03-28 02:03:37] [world] The Player <Milk_Frog> has placed RED_ROSE at X= -591, Y= 68, Z= 273
[2024-03-28 02:03:39] [world] The Player <Milk_Frog> has placed LONG_GRASS at X= -602, Y= 68, Z= 279
[2024-03-28 02:03:40] [world] The Player <Milk_Frog> has placed LONG_GRASS at X= -600, Y= 68, Z= 283
[2024-03-28 02:03:40] [world] The Player <Milk_Frog> has placed LONG_GRASS at X= -599, Y= 68, Z= 285
[2024-03-28 02:03:40] [world] The Player <Milk_Frog> has placed DOUBLE_PLANT at X= -598, Y= 68, Z= 284
[2024-03-28 02:03:40] [world] The Player <Milk_Frog> has placed LONG_GRASS at X= -596, Y= 68, Z= 284
[2024-03-28 02:03:40] [world] The Player <Milk_Frog> has placed LONG_GRASS at X= -593, Y= 68, Z= 284
[2024-03-28 02:10:33] [world_the_end] The Player <Tester> has placed POWERED_RAIL at X= 48, Y= 11, Z= 198
[2024-03-28 02:10:33] [world_the_end] The Player <Tester> has placed POWERED_RAIL at X= 49, Y= 11, Z= 198
[2024-03-28 02:10:33] [world_the_end] The Player <Tester> has placed POWERED_RAIL at X= 50, Y= 11, Z= 198
[2024-03-28 02:14:56] [world_the_end] The Player <Feathery> has placed STONE at X= 27, Y= 23, Z= 237
[2024-03-28 02:14:56] [world_the_end] The Player <Feathery> has placed STONE at X= 27, Y= 24, Z= 237
[2024-03-28 02:16:53] [world_the_end] The Player <Heinrich_Himmler> has placed IRON_DOOR_BLOCK at X= -9, Y= 58, Z= -66
[2024-03-28 02:17:01] [world_the_end] The Player <Feathery> has placed ENDER_STONE at X= 56, Y= 31, Z= 226
[2024-03-28 02:17:52] [world_the_end] The Player <Feathery> has placed ENDER_STONE at X= 71, Y= 46, Z= 244
[2024-03-28 02:17:53] [world_the_end] The Player <Feathery> has placed ENDER_STONE at X= 72, Y= 45, Z= 246
[2024-03-28 02:17:53] [world_the_end] The Player <Feathery> has placed ENDER_STONE at X= 72, Y= 44, Z= 245
[2024-03-28 02:17:53] [world_the_end] The Player <Feathery> has placed ENDER_STONE at X= 71, Y= 45, Z= 245
[2024-03-28 02:18:02] [world_the_end] The Player <Feathery> has placed ENDER_STONE at X= 64, Y= 37, Z= 236
[2024-03-28 02:18:02] [world_the_end] The Player <Feathery> has placed ENDER_STONE at X= 64, Y= 38, Z= 236
[2024-03-28 02:18:50] [world_the_end] The Player <Feathery> has placed ENDER_STONE at X= 60, Y= 36, Z= 216
[2024-03-28 02:30:50] [world_the_end] The Player <Tester> has placed OBSIDIAN at X= -88, Y= 0, Z= 198
[2024-03-28 02:30:50] [world_the_end] The Player <Tester> has placed OBSIDIAN at X= -87, Y= 0, Z= 198
[2024-03-28 02:30:53] [world_the_end] The Player <Tester> has placed OBSIDIAN at X= -86, Y= 0, Z= 198
[2024-03-28 02:30:53] [world_the_end] The Player <Tester> has placed OBSIDIAN at X= -86, Y= 1, Z= 198
[2024-03-28 02:30:54] [world_the_end] The Player <Tester> has placed OBSIDIAN at X= -85, Y= 1, Z= 198
[2024-03-28 02:31:12] [world_the_end] The Player <Feathery> has placed GRASS at X= -85, Y= 2, Z= 198
[2024-03-28 02:31:24] [world_the_end] The Player <Feathery> has placed GRASS at X= -86, Y= 2, Z= 198
[2024-03-28 02:33:12] [world_the_end] The Player <Feathery> has placed GRASS at X= -87, Y= 4, Z= 189
[2024-03-28 02:33:12] [world_the_end] The Player <Feathery> has placed GRASS at X= -86, Y= 4, Z= 189
[2024-03-28 02:33:12] [world_the_end] The Player <Feathery> has placed GRASS at X= -85, Y= 4, Z= 189
[2024-03-28 02:33:15] [world_the_end] The Player <Feathery> has placed GRASS at X= -85, Y= 4, Z= 190
[2024-03-28 02:33:16] [world_the_end] The Player <Feathery> has placed GRASS at X= -86, Y= 5, Z= 191
[2024-03-28 02:34:15] [world_the_end] The Player <Feathery> has placed GRASS at X= -85, Y= 3, Z= 193
[2024-03-28 02:35:32] [world_the_end] The Player <Feathery> has placed GRASS at X= -73, Y= 3, Z= 190
[2024-03-28 02:35:32] [world_the_end] The Player <Feathery> has placed GRASS at X= -73, Y= 4, Z= 190
[2024-03-28 02:35:32] [world_the_end] The Player <Feathery> has placed GRASS at X= -74, Y= 3, Z= 190
[2024-03-28 02:35:33] [world_the_end] The Player <Feathery> has placed GRASS at X= -75, Y= 3, Z= 190
[2024-03-28 02:35:33] [world_the_end] The Player <Feathery> has placed GRASS at X= -75, Y= 3, Z= 189
[2024-03-28 02:35:33] [world_the_end] The Player <Feathery> has placed GRASS at X= -76, Y= 3, Z= 189
