[2024-03-17 22:32:18] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -530, Y= 72, Z= 264
[2024-03-17 22:32:19] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -530, Y= 71, Z= 264
[2024-03-17 22:32:19] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -530, Y= 71, Z= 264
[2024-03-17 22:32:28] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -531, Y= 72, Z= 270
[2024-03-17 22:32:29] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -531, Y= 72, Z= 270
[2024-03-17 22:32:30] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -531, Y= 72, Z= 270
[2024-03-17 22:32:31] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -531, Y= 72, Z= 270
[2024-03-17 22:32:50] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -533, Y= 71, Z= 266
[2024-03-17 22:32:52] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -532, Y= 71, Z= 266
[2024-03-17 22:32:54] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -532, Y= 71, Z= 266
[2024-03-17 22:33:58] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -579, Y= 68, Z= 283
[2024-03-17 22:48:23] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= 4007, Y= 66, Z= -1837
[2024-03-17 22:56:28] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1035, Y= 105, Z= 2313
[2024-03-17 22:56:30] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1035, Y= 105, Z= 2313
[2024-03-17 22:56:32] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1035, Y= 105, Z= 2313
[2024-03-17 22:56:48] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1034, Y= 105, Z= 2310
[2024-03-17 22:56:50] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1034, Y= 105, Z= 2310
[2024-03-17 22:57:39] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1035, Y= 105, Z= 2310
[2024-03-17 22:57:42] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1035, Y= 105, Z= 2310
[2024-03-17 22:58:56] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1039, Y= 105, Z= 2321
[2024-03-17 22:58:57] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1039, Y= 105, Z= 2321
[2024-03-17 22:59:16] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1040, Y= 104, Z= 2319
[2024-03-17 22:59:17] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1040, Y= 104, Z= 2319
[2024-03-17 23:00:03] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1039, Y= 105, Z= 2317
[2024-03-17 23:00:10] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1038, Y= 105, Z= 2317
[2024-03-17 23:00:21] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1034, Y= 105, Z= 2326
[2024-03-17 23:00:22] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1034, Y= 105, Z= 2326
[2024-03-17 23:00:24] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1034, Y= 105, Z= 2326
[2024-03-17 23:00:41] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1025, Y= 105, Z= 2320
[2024-03-17 23:00:43] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1025, Y= 105, Z= 2320
[2024-03-17 23:01:03] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1026, Y= 105, Z= 2320
[2024-03-17 23:13:34] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= 4003, Y= 65, Z= -1822
[2024-03-17 23:13:35] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= 4003, Y= 65, Z= -1822
[2024-03-17 23:13:40] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= 4004, Y= 65, Z= -1822
[2024-03-17 23:13:40] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= 4003, Y= 65, Z= -1822
[2024-03-17 23:13:40] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= 4003, Y= 65, Z= -1822
[2024-03-17 23:13:45] [world] The Player <Milk_Frog> has emptied LAVA BUCKET at X= 4003, Y= 64, Z= -1865
[2024-03-17 23:13:53] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= 4009, Y= 66, Z= -1855
[2024-03-17 23:14:48] [world] The Player <Milk_Frog> has emptied LAVA BUCKET at X= 4006, Y= 66, Z= -1866
[2024-03-17 23:36:03] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1031, Y= 105, Z= 2310
[2024-03-17 23:36:05] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1031, Y= 105, Z= 2310
[2024-03-18 00:01:13] [world] The Player <Tester> has emptied WATER BUCKET at X= -592, Y= 68, Z= 264
[2024-03-18 00:01:15] [world] The Player <Tester> has emptied WATER BUCKET at X= -596, Y= 68, Z= 265
[2024-03-18 00:01:20] [world] The Player <Tester> has emptied WATER BUCKET at X= -595, Y= 68, Z= 266
[2024-03-18 00:17:34] [world_the_end] The Player <NezukoChan> has emptied WATER BUCKET at X= -164, Y= 101, Z= 51
[2024-03-18 00:21:47] [world] The Player <Tester> has emptied WATER BUCKET at X= -588, Y= 68, Z= 244
[2024-03-18 00:24:17] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1273, Y= 5, Z= 2453
[2024-03-18 00:24:19] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1274, Y= 5, Z= 2453
[2024-03-18 00:24:21] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1274, Y= 5, Z= 2453
[2024-03-18 00:24:33] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1274, Y= 5, Z= 2453
[2024-03-18 00:24:34] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1274, Y= 5, Z= 2453
[2024-03-18 00:24:36] [world] The Player <bagelz> has emptied WATER BUCKET at X= 1274, Y= 5, Z= 2453
[2024-03-18 00:37:59] [world] The Player <Tester> has emptied WATER BUCKET at X= -596, Y= 64, Z= 373
[2024-03-18 00:58:22] [world_the_end] The Player <Milk_Frog> has emptied LAVA BUCKET at X= 36, Y= 63, Z= 23
[2024-03-18 00:58:51] [world_the_end] The Player <Milk_Frog> has emptied LAVA BUCKET at X= 35, Y= 63, Z= 23
[2024-03-18 01:00:42] [world_the_end] The Player <Milk_Frog> has emptied LAVA BUCKET at X= 36, Y= 63, Z= 23
[2024-03-18 01:01:10] [world_the_end] The Player <Milk_Frog> has emptied LAVA BUCKET at X= 34, Y= 63, Z= 24
