[2024-03-18 01:39:35] [world] The Player <Tester> has emptied WATER BUCKET at X= -536, Y= 73, Z= 248
[2024-03-18 11:18:26] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -708, Y= 67, Z= 297
[2024-03-18 12:30:37] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10186, Y= 63, Z= 4112
[2024-03-18 12:32:42] [world_the_end] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= 48, Y= 62, Z= 3
[2024-03-18 12:34:09] [world_the_end] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= 19, Y= 62, Z= 7
[2024-03-18 12:35:21] [world_the_end] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -60, Y= 49, Z= -49
[2024-03-18 13:43:03] [world] The Player <Tester> has emptied LAVA BUCKET at X= -10188, Y= 63, Z= 4110
[2024-03-18 13:49:06] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:49:07] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:49:08] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:49:08] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:49:08] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:49:09] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:49:09] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10185, Y= 65, Z= 4120
[2024-03-18 13:54:09] [world] The Player <character> has emptied LAVA BUCKET at X= -741, Y= 35, Z= 172
[2024-03-18 13:57:51] [world] The Player <sharky> has emptied LAVA BUCKET at X= -509, Y= 70, Z= -466
[2024-03-18 14:07:12] [world] The Player <MrBlob2U> has emptied WATER BUCKET at X= -696, Y= 10, Z= 172
[2024-03-18 14:07:18] [world] The Player <MrBlob2U> has emptied WATER BUCKET at X= -698, Y= 10, Z= 172
[2024-03-18 14:20:54] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10190, Y= 63, Z= 4101
[2024-03-18 14:25:33] [world] The Player <qwerty> has emptied LAVA BUCKET at X= -498, Y= 77, Z= -480
