[2024-03-19 11:21:05] [world] The Player <qwerty> has emptied LAVA BUCKET at X= -492, Y= 79, Z= -444
[2024-03-19 11:21:54] [world] The Player <qwerty> has emptied LAVA BUCKET at X= -497, Y= 77, Z= -480
[2024-03-19 11:28:29] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -581, Y= 58, Z= 270
[2024-03-19 11:28:30] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -581, Y= 58, Z= 270
[2024-03-19 11:28:31] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -581, Y= 58, Z= 270
[2024-03-19 11:28:32] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -581, Y= 58, Z= 270
[2024-03-19 11:35:17] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -568, Y= 56, Z= 271
[2024-03-19 11:35:17] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -568, Y= 56, Z= 271
[2024-03-19 11:48:53] [world] The Player <sharky> has emptied LAVA BUCKET at X= -494, Y= 56, Z= -481
[2024-03-19 12:50:56] [world_nether] The Player <qwerty> has emptied LAVA BUCKET at X= -98, Y= 67, Z= -203
[2024-03-19 12:57:27] [world] The Player <Milk_Frog> has emptied WATER BUCKET at X= -562, Y= 70, Z= 283
[2024-03-19 12:57:28] [world] The Player <Milk_Frog> has emptied WATER BUCKET at X= -562, Y= 70, Z= 283
[2024-03-19 12:57:34] [world] The Player <Milk_Frog> has emptied WATER BUCKET at X= -562, Y= 68, Z= 282
[2024-03-19 13:49:56] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -937, Y= 11, Z= 1601
[2024-03-19 13:51:09] [world_nether] The Player <qwerty> has emptied LAVA BUCKET at X= -145, Y= 70, Z= -84
[2024-03-19 14:36:16] [world] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= -577, Y= 67, Z= 199
[2024-03-19 14:39:33] [world] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= -589, Y= 71, Z= 137
[2024-03-19 14:39:33] [world] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= -589, Y= 71, Z= 137
[2024-03-19 14:41:51] [world] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= -579, Y= 71, Z= 199
[2024-03-19 14:42:45] [world] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= -478, Y= 73, Z= 198
[2024-03-19 14:43:18] [world] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= -458, Y= 70, Z= 196
[2024-03-19 14:43:20] [world] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= -452, Y= 69, Z= 195
[2024-03-19 14:43:24] [world] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= -449, Y= 66, Z= 196
[2024-03-19 14:56:26] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -888, Y= 64, Z= 321
[2024-03-19 14:56:30] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -888, Y= 64, Z= 321
[2024-03-19 15:07:43] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= 9959, Y= 69, Z= 1103
[2024-03-19 19:46:06] [world_the_end] The Player <NezukoChan> has emptied WATER BUCKET at X= 48, Y= 63, Z= 24
[2024-03-19 20:11:37] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -581, Y= 54, Z= 271
[2024-03-19 20:11:38] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -581, Y= 54, Z= 271
[2024-03-19 20:12:13] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -583, Y= 54, Z= 274
[2024-03-19 20:18:52] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -582, Y= 54, Z= 272
[2024-03-19 22:21:56] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -752, Y= 4, Z= 664
[2024-03-19 22:22:14] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -752, Y= 4, Z= 664
[2024-03-19 22:22:47] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -752, Y= 4, Z= 664
[2024-03-19 22:23:04] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -752, Y= 4, Z= 664
[2024-03-19 22:23:06] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -752, Y= 5, Z= 664
[2024-03-19 22:34:41] [world] The Player <Tester> has emptied WATER BUCKET at X= -10184, Y= 63, Z= 4110
[2024-03-19 22:39:01] [world] The Player <Tester> has emptied WATER BUCKET at X= -10218, Y= 66, Z= 4093
[2024-03-19 23:01:12] [world] The Player <Tester> has emptied WATER BUCKET at X= -10171, Y= 63, Z= 4112
[2024-03-19 23:01:13] [world] The Player <Tester> has emptied WATER BUCKET at X= -10171, Y= 63, Z= 4112
[2024-03-20 00:18:12] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -10186, Y= 63, Z= 4111
[2024-03-20 00:33:52] [world] The Player <Tester> has emptied LAVA BUCKET at X= -10172, Y= 63, Z= 4116
[2024-03-20 00:33:54] [world] The Player <Tester> has emptied LAVA BUCKET at X= -10172, Y= 63, Z= 4116
[2024-03-20 00:38:42] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -591, Y= 68, Z= 301
[2024-03-20 00:39:03] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -606, Y= 68, Z= 307
[2024-03-20 00:39:18] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -570, Y= 66, Z= 298
