[2024-03-20 19:10:44] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -10184, Y= 65, Z= 4112
[2024-03-20 19:31:28] [world] The Player <hexa> has emptied WATER BUCKET at X= -2526, Y= 64, Z= 577
[2024-03-20 19:31:35] [world] The Player <hexa> has emptied WATER BUCKET at X= -2527, Y= 69, Z= 579
[2024-03-20 19:31:39] [world] The Player <hexa> has emptied WATER BUCKET at X= -2527, Y= 68, Z= 582
[2024-03-20 19:31:46] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 71, Z= 580
[2024-03-20 19:31:49] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 71, Z= 580
[2024-03-20 19:31:52] [world] The Player <hexa> has emptied WATER BUCKET at X= -2525, Y= 71, Z= 584
[2024-03-20 19:32:56] [world] The Player <hexa> has emptied WATER BUCKET at X= -2526, Y= 68, Z= 585
[2024-03-20 19:33:05] [world] The Player <hexa> has emptied WATER BUCKET at X= -2526, Y= 71, Z= 586
[2024-03-20 19:33:08] [world] The Player <hexa> has emptied WATER BUCKET at X= -2526, Y= 71, Z= 586
[2024-03-20 19:42:43] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -10186, Y= 10, Z= 3804
[2024-03-20 19:43:22] [world] The Player <Tester> has emptied WATER BUCKET at X= -10184, Y= 11, Z= 3802
[2024-03-20 19:43:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -10183, Y= 11, Z= 3803
[2024-03-20 19:43:27] [world] The Player <Tester> has emptied WATER BUCKET at X= -10184, Y= 11, Z= 3804
[2024-03-20 19:43:31] [world] The Player <Tester> has emptied WATER BUCKET at X= -10182, Y= 11, Z= 3804
[2024-03-20 19:43:33] [world] The Player <Tester> has emptied WATER BUCKET at X= -10182, Y= 11, Z= 3804
[2024-03-20 19:43:35] [world] The Player <Tester> has emptied WATER BUCKET at X= -10182, Y= 11, Z= 3805
[2024-03-20 19:43:46] [world] The Player <Tester> has emptied WATER BUCKET at X= -10183, Y= 11, Z= 3802
[2024-03-20 19:44:21] [world] The Player <Tester> has emptied WATER BUCKET at X= -10183, Y= 11, Z= 3799
[2024-03-20 19:44:23] [world] The Player <Tester> has emptied WATER BUCKET at X= -10184, Y= 11, Z= 3799
[2024-03-20 19:44:36] [world] The Player <Tester> has emptied WATER BUCKET at X= -10187, Y= 11, Z= 3795
[2024-03-20 19:45:27] [world] The Player <Tester> has emptied WATER BUCKET at X= -10185, Y= 11, Z= 3787
[2024-03-20 19:45:44] [world] The Player <Tester> has emptied WATER BUCKET at X= -10188, Y= 11, Z= 3786
[2024-03-20 19:45:48] [world] The Player <Tester> has emptied WATER BUCKET at X= -10188, Y= 10, Z= 3786
[2024-03-20 19:45:50] [world] The Player <Tester> has emptied WATER BUCKET at X= -10188, Y= 10, Z= 3785
[2024-03-20 19:46:13] [world] The Player <Tester> has emptied WATER BUCKET at X= -10183, Y= 11, Z= 3805
[2024-03-20 19:46:42] [world] The Player <Tester> has emptied WATER BUCKET at X= -10178, Y= 11, Z= 3803
[2024-03-20 19:46:42] [world] The Player <Tester> has emptied WATER BUCKET at X= -10178, Y= 11, Z= 3803
[2024-03-20 19:49:03] [world] The Player <Tester> has emptied WATER BUCKET at X= -10183, Y= 10, Z= 3804
[2024-03-20 19:49:07] [world] The Player <Tester> has emptied WATER BUCKET at X= -10183, Y= 10, Z= 3803
[2024-03-20 19:49:12] [world] The Player <Tester> has emptied WATER BUCKET at X= -10183, Y= 10, Z= 3803
[2024-03-20 19:50:23] [world] The Player <Tester> has emptied WATER BUCKET at X= -10183, Y= 8, Z= 3802
[2024-03-20 20:03:52] [world] The Player <Corner1> has emptied WATER BUCKET at X= 1802, Y= 38, Z= 290
[2024-03-20 20:03:53] [world] The Player <Corner1> has emptied WATER BUCKET at X= 1802, Y= 38, Z= 290
[2024-03-20 20:03:54] [world] The Player <Corner1> has emptied WATER BUCKET at X= 1803, Y= 38, Z= 290
[2024-03-20 20:03:55] [world] The Player <Corner1> has emptied WATER BUCKET at X= 1803, Y= 38, Z= 290
[2024-03-20 20:03:55] [world] The Player <Corner1> has emptied WATER BUCKET at X= 1803, Y= 38, Z= 290
[2024-03-20 20:03:55] [world] The Player <Corner1> has emptied WATER BUCKET at X= 1803, Y= 38, Z= 290
[2024-03-20 20:04:02] [world] The Player <Corner1> has emptied WATER BUCKET at X= 1803, Y= 38, Z= 290
[2024-03-20 20:04:03] [world] The Player <Corner1> has emptied WATER BUCKET at X= 1803, Y= 38, Z= 290
[2024-03-20 20:04:03] [world] The Player <Corner1> has emptied WATER BUCKET at X= 1803, Y= 38, Z= 290
[2024-03-20 20:04:03] [world] The Player <Corner1> has emptied WATER BUCKET at X= 1803, Y= 38, Z= 290
[2024-03-20 20:04:05] [world] The Player <Corner1> has emptied WATER BUCKET at X= 1803, Y= 38, Z= 290
[2024-03-20 20:04:05] [world] The Player <Corner1> has emptied WATER BUCKET at X= 1803, Y= 38, Z= 290
[2024-03-20 20:08:13] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 69, Z= 289
[2024-03-20 20:09:04] [world] The Player <hexa> has emptied WATER BUCKET at X= -2539, Y= 65, Z= 570
[2024-03-20 20:10:36] [world] The Player <Corner1> has emptied WATER BUCKET at X= -2533, Y= 64, Z= 574
[2024-03-20 20:10:37] [world] The Player <Corner1> has emptied WATER BUCKET at X= -2533, Y= 64, Z= 574
[2024-03-20 20:18:08] [world] The Player <hexa> has emptied WATER BUCKET at X= -2531, Y= 64, Z= 578
[2024-03-20 20:18:15] [world_the_end] The Player <theproman3387> has emptied WATER BUCKET at X= -51, Y= 39, Z= -5
[2024-03-20 20:19:04] [world] The Player <hexa> has emptied WATER BUCKET at X= -2529, Y= 64, Z= 578
[2024-03-20 20:19:14] [world] The Player <hexa> has emptied WATER BUCKET at X= -2529, Y= 69, Z= 579
[2024-03-20 20:20:46] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 64, Z= 578
[2024-03-20 20:22:14] [world] The Player <hexa> has emptied WATER BUCKET at X= -2527, Y= 68, Z= 584
[2024-03-20 20:22:18] [world] The Player <hexa> has emptied WATER BUCKET at X= -2527, Y= 68, Z= 584
[2024-03-20 20:22:22] [world] The Player <hexa> has emptied WATER BUCKET at X= -2526, Y= 68, Z= 585
[2024-03-20 20:22:26] [world] The Player <hexa> has emptied WATER BUCKET at X= -2526, Y= 68, Z= 585
[2024-03-20 20:22:30] [world] The Player <hexa> has emptied WATER BUCKET at X= -2527, Y= 68, Z= 583
[2024-03-20 20:22:54] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 582
[2024-03-20 20:23:44] [world] The Player <hexa> has emptied WATER BUCKET at X= -2525, Y= 64, Z= 579
[2024-03-20 20:23:54] [world] The Player <hexa> has emptied WATER BUCKET at X= -2526, Y= 67, Z= 579
[2024-03-20 20:23:56] [world] The Player <hexa> has emptied WATER BUCKET at X= -2526, Y= 68, Z= 579
[2024-03-20 20:28:45] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 64, Z= 577
[2024-03-20 20:29:01] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 67, Z= 579
[2024-03-20 20:29:02] [world] The Player <hexa> has emptied WATER BUCKET at X= -2529, Y= 68, Z= 579
[2024-03-20 20:29:03] [world] The Player <hexa> has emptied WATER BUCKET at X= -2529, Y= 69, Z= 579
[2024-03-20 20:29:27] [world] The Player <hexa> has emptied WATER BUCKET at X= -2529, Y= 68, Z= 582
[2024-03-20 20:30:23] [world] The Player <hexa> has emptied WATER BUCKET at X= -2527, Y= 68, Z= 583
[2024-03-20 20:37:06] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:12] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:26] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:28] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:45] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:45] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:46] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:46] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:47] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:47] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:48] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:48] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:50] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:50] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:37:50] [world] The Player <hexa> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 560
[2024-03-20 20:38:18] [world] The Player <hexa> has emptied WATER BUCKET at X= -2623, Y= 64, Z= 551
[2024-03-20 20:42:30] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1800, Y= 38, Z= 293
[2024-03-20 20:42:40] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1801, Y= 38, Z= 297
[2024-03-20 20:42:49] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1801, Y= 38, Z= 295
