[2024-03-25 20:44:18] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10177, Y= 67, Z= 4112
[2024-03-25 20:44:27] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10177, Y= 67, Z= 4113
[2024-03-25 20:44:35] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10177, Y= 67, Z= 4113
[2024-03-25 20:47:01] [world] The Player <GolemDaWanderer> has emptied LAVA BUCKET at X= -10198, Y= 62, Z= 4104
[2024-03-25 20:47:24] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10186, Y= 55, Z= 4103
[2024-03-25 20:47:26] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10186, Y= 55, Z= 4103
[2024-03-25 20:47:40] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 56, Z= 4105
[2024-03-25 20:47:43] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 57, Z= 4105
[2024-03-25 20:47:53] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 57, Z= 4105
[2024-03-25 20:47:56] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 54, Z= 4105
[2024-03-25 20:48:05] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 59, Z= 4105
[2024-03-25 20:48:07] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 61, Z= 4105
[2024-03-25 20:48:11] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 59, Z= 4105
[2024-03-25 20:48:16] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 59, Z= 4105
[2024-03-25 20:48:18] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 60, Z= 4105
[2024-03-25 20:48:31] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 56, Z= 4105
[2024-03-25 20:48:55] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 55, Z= 4105
[2024-03-25 20:49:10] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 54, Z= 4105
[2024-03-25 20:49:13] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 54, Z= 4105
[2024-03-25 20:49:21] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 55, Z= 4105
[2024-03-25 20:49:23] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 56, Z= 4105
[2024-03-25 20:49:32] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 54, Z= 4105
[2024-03-25 20:49:33] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 54, Z= 4105
[2024-03-25 20:49:36] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 54, Z= 4105
[2024-03-25 20:49:44] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 54, Z= 4105
[2024-03-25 20:49:44] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 55, Z= 4105
[2024-03-25 20:50:29] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 54, Z= 4105
[2024-03-25 20:50:57] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10186, Y= 55, Z= 4102
[2024-03-25 20:51:00] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10186, Y= 55, Z= 4102
[2024-03-25 20:51:39] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10184, Y= 63, Z= 4104
[2024-03-25 20:51:42] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10184, Y= 63, Z= 4105
[2024-03-25 20:51:51] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 59, Z= 4105
[2024-03-25 20:52:01] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 59, Z= 4105
[2024-03-25 20:52:14] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 57, Z= 4105
[2024-03-25 20:52:30] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 55, Z= 4105
[2024-03-25 20:52:39] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 56, Z= 4105
[2024-03-25 20:53:00] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 55, Z= 4105
[2024-03-25 20:53:30] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10185, Y= 54, Z= 4105
[2024-03-25 20:53:37] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10186, Y= 55, Z= 4103
[2024-03-26 00:35:10] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000053, Y= 42, Z= 999888
[2024-03-26 00:36:01] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000073, Y= 57, Z= 999903
[2024-03-26 00:36:19] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000072, Y= 57, Z= 999905
[2024-03-26 00:36:23] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000072, Y= 61, Z= 999905
[2024-03-26 00:36:36] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000070, Y= 64, Z= 999907
[2024-03-26 00:37:25] [world] The Player <hexa> has emptied WATER BUCKET at X= 500002, Y= 22, Z= 48385
[2024-03-26 00:38:33] [world] The Player <hexa> has emptied WATER BUCKET at X= 500004, Y= 22, Z= 48389
[2024-03-26 00:38:45] [world] The Player <hexa> has emptied WATER BUCKET at X= 500004, Y= 22, Z= 48389
[2024-03-26 00:41:51] [world] The Player <hexa> has emptied WATER BUCKET at X= 500003, Y= 22, Z= 48392
[2024-03-26 13:20:31] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -565, Y= 17, Z= 290
