[2024-03-27 13:43:17] [world] The Player <Char> has emptied LAVA BUCKET at X= -599, Y= 68, Z= 335
[2024-03-27 13:43:18] [world] The Player <Char> has emptied LAVA BUCKET at X= -599, Y= 68, Z= 335
[2024-03-27 13:43:19] [world] The Player <Char> has emptied LAVA BUCKET at X= -599, Y= 68, Z= 335
[2024-03-27 13:43:19] [world] The Player <Char> has emptied LAVA BUCKET at X= -599, Y= 68, Z= 335
[2024-03-27 13:43:20] [world] The Player <Char> has emptied LAVA BUCKET at X= -598, Y= 68, Z= 335
[2024-03-27 13:43:20] [world] The Player <Char> has emptied LAVA BUCKET at X= -600, Y= 68, Z= 335
[2024-03-27 13:43:21] [world] The Player <Char> has emptied LAVA BUCKET at X= -598, Y= 68, Z= 335
[2024-03-27 13:43:24] [world] The Player <Char> has emptied LAVA BUCKET at X= -596, Y= 68, Z= 337
[2024-03-27 13:43:24] [world] The Player <Char> has emptied LAVA BUCKET at X= -596, Y= 68, Z= 337
[2024-03-27 13:43:25] [world] The Player <Char> has emptied LAVA BUCKET at X= -595, Y= 68, Z= 337
[2024-03-27 14:48:54] [world] The Player <Tester> has emptied WATER BUCKET at X= -658, Y= 77, Z= 336
[2024-03-27 20:56:39] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 69, Y= 46, Z= -1
[2024-03-27 21:15:15] [world] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= -565, Y= 8, Z= 290
[2024-03-27 21:15:16] [world] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= -565, Y= 5, Z= 290
[2024-03-27 21:26:06] [world] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= -564, Y= 6, Z= 291
[2024-03-27 21:26:06] [world] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= -564, Y= 5, Z= 291
[2024-03-27 21:32:51] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 1, Y= 74, Z= -69
[2024-03-27 21:41:38] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 1, Y= 72, Z= -69
[2024-03-27 23:36:29] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= 1052, Y= 6, Z= 715
[2024-03-27 23:36:49] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -545, Y= 65, Z= 313
[2024-03-27 23:43:44] [world_the_end] The Player <NezukoChan> has emptied WATER BUCKET at X= 3, Y= 60, Z= 18
[2024-03-27 23:51:34] [world_the_end] The Player <NezukoChan> has emptied WATER BUCKET at X= 16, Y= 45, Z= 78
[2024-03-28 00:14:39] [world] The Player <Feathery> has emptied LAVA BUCKET at X= -519, Y= 65, Z= 282
[2024-03-28 00:14:39] [world] The Player <Feathery> has emptied LAVA BUCKET at X= -519, Y= 65, Z= 282
[2024-03-28 00:14:40] [world] The Player <Feathery> has emptied LAVA BUCKET at X= -518, Y= 65, Z= 282
[2024-03-28 00:14:41] [world] The Player <Feathery> has emptied LAVA BUCKET at X= -519, Y= 65, Z= 282
[2024-03-28 00:32:06] [world] The Player <xcpc> has emptied WATER BUCKET at X= -573, Y= 64, Z= 231
[2024-03-28 00:33:25] [world] The Player <xcpc> has emptied WATER BUCKET at X= -450, Y= 71, Z= 256
[2024-03-28 00:43:08] [world] The Player <xcpc> has emptied WATER BUCKET at X= -451, Y= 71, Z= 256
[2024-03-28 00:51:50] [world] The Player <xcpc> has emptied WATER BUCKET at X= -452, Y= 71, Z= 256
