[2024-03-28 02:19:16] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 44, Y= 3, Z= 141
[2024-03-28 02:20:04] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 44, Y= 3, Z= 196
[2024-03-28 02:20:13] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 44, Y= 2, Z= 193
[2024-03-28 02:20:20] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 44, Y= 3, Z= 192
[2024-03-28 02:20:24] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 43, Y= 6, Z= 192
[2024-03-28 02:20:29] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 44, Y= 6, Z= 190
[2024-03-28 02:20:38] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 44, Y= 8, Z= 190
[2024-03-28 02:20:42] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 44, Y= 11, Z= 190
[2024-03-28 02:20:47] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 44, Y= 12, Z= 190
[2024-03-28 02:21:32] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 25, Y= 17, Z= 207
[2024-03-28 02:21:43] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 15, Y= 4, Z= 207
[2024-03-28 02:21:43] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 15, Y= 4, Z= 207
[2024-03-28 02:21:53] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 14, Y= 4, Z= 219
[2024-03-28 02:22:12] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 13, Y= 10, Z= 235
[2024-03-28 02:22:27] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 15, Y= 4, Z= 224
[2024-03-28 02:22:31] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 14, Y= 4, Z= 224
[2024-03-28 02:22:35] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 16, Y= 4, Z= 224
[2024-03-28 02:22:40] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 17, Y= 6, Z= 225
[2024-03-28 02:22:42] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 20, Y= 7, Z= 225
[2024-03-28 02:22:48] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 19, Y= 11, Z= 228
[2024-03-28 02:22:51] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 19, Y= 13, Z= 228
[2024-03-28 02:22:56] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 19, Y= 16, Z= 229
[2024-03-28 02:23:01] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 18, Y= 19, Z= 229
[2024-03-28 02:23:26] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 26, Y= 11, Z= 242
[2024-03-28 02:24:08] [world_the_end] The Player <Heinrich_Himmler> has emptied WATER BUCKET at X= 28, Y= 61, Z= 22
[2024-03-28 02:29:34] [world_the_end] The Player <Feathery> has emptied WATER BUCKET at X= -114, Y= 1, Z= 205
