[2024-03-31 13:37:54] [world] The Player <Tester> has emptied WATER BUCKET at X= -541, Y= 63, Z= -118
[2024-03-31 13:37:54] [world] The Player <Tester> has emptied WATER BUCKET at X= -541, Y= 63, Z= -118
[2024-03-31 13:37:54] [world] The Player <Tester> has emptied WATER BUCKET at X= -541, Y= 63, Z= -118
[2024-03-31 13:37:55] [world] The Player <Tester> has emptied WATER BUCKET at X= -541, Y= 63, Z= -118
[2024-03-31 13:37:56] [world] The Player <Tester> has emptied WATER BUCKET at X= -541, Y= 63, Z= -118
[2024-03-31 13:37:56] [world] The Player <Tester> has emptied WATER BUCKET at X= -541, Y= 63, Z= -118
[2024-03-31 13:37:56] [world] The Player <Tester> has emptied WATER BUCKET at X= -541, Y= 63, Z= -118
[2024-03-31 13:37:56] [world] The Player <Tester> has emptied WATER BUCKET at X= -540, Y= 63, Z= -118
[2024-03-31 13:37:56] [world] The Player <Tester> has emptied WATER BUCKET at X= -539, Y= 63, Z= -118
[2024-03-31 13:37:57] [world] The Player <Tester> has emptied WATER BUCKET at X= -538, Y= 63, Z= -117
[2024-03-31 13:37:57] [world] The Player <Tester> has emptied WATER BUCKET at X= -538, Y= 63, Z= -117
[2024-03-31 13:37:57] [world] The Player <Tester> has emptied WATER BUCKET at X= -537, Y= 62, Z= -117
[2024-03-31 13:37:57] [world] The Player <Tester> has emptied WATER BUCKET at X= -536, Y= 62, Z= -117
[2024-03-31 13:38:03] [world] The Player <Tester> has emptied WATER BUCKET at X= -537, Y= 63, Z= -116
[2024-03-31 13:38:04] [world] The Player <Tester> has emptied WATER BUCKET at X= -535, Y= 63, Z= -117
[2024-03-31 13:38:05] [world] The Player <Tester> has emptied WATER BUCKET at X= -534, Y= 63, Z= -117
[2024-03-31 13:38:06] [world] The Player <Tester> has emptied WATER BUCKET at X= -534, Y= 63, Z= -115
[2024-03-31 13:38:07] [world] The Player <Tester> has emptied WATER BUCKET at X= -533, Y= 63, Z= -115
[2024-03-31 13:38:08] [world] The Player <Tester> has emptied WATER BUCKET at X= -532, Y= 63, Z= -114
[2024-03-31 13:38:10] [world] The Player <Tester> has emptied WATER BUCKET at X= -530, Y= 63, Z= -114
[2024-03-31 13:38:12] [world] The Player <Tester> has emptied WATER BUCKET at X= -529, Y= 63, Z= -114
[2024-03-31 13:38:14] [world] The Player <Tester> has emptied WATER BUCKET at X= -531, Y= 63, Z= -115
[2024-03-31 13:38:18] [world] The Player <Tester> has emptied WATER BUCKET at X= -531, Y= 63, Z= -114
[2024-03-31 13:38:19] [world] The Player <Tester> has emptied WATER BUCKET at X= -531, Y= 63, Z= -114
[2024-03-31 13:38:28] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 63, Z= -111
[2024-03-31 13:38:32] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 63, Z= -111
[2024-03-31 13:38:38] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 63, Z= -111
[2024-03-31 13:38:39] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 63, Z= -111
[2024-03-31 13:38:42] [world] The Player <Tester> has emptied WATER BUCKET at X= -552, Y= 63, Z= -107
[2024-03-31 13:38:42] [world] The Player <Tester> has emptied WATER BUCKET at X= -552, Y= 63, Z= -107
[2024-03-31 13:38:43] [world] The Player <Tester> has emptied WATER BUCKET at X= -552, Y= 63, Z= -106
[2024-03-31 13:38:44] [world] The Player <Tester> has emptied WATER BUCKET at X= -552, Y= 63, Z= -105
[2024-03-31 13:38:46] [world] The Player <Tester> has emptied WATER BUCKET at X= -551, Y= 63, Z= -105
[2024-03-31 13:38:47] [world] The Player <Tester> has emptied WATER BUCKET at X= -551, Y= 63, Z= -105
[2024-03-31 13:38:48] [world] The Player <Tester> has emptied WATER BUCKET at X= -551, Y= 63, Z= -105
[2024-03-31 13:38:49] [world] The Player <Tester> has emptied WATER BUCKET at X= -551, Y= 63, Z= -105
[2024-03-31 13:38:56] [world] The Player <Tester> has emptied WATER BUCKET at X= -554, Y= 63, Z= -103
[2024-03-31 13:38:58] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 63, Z= -103
[2024-03-31 13:39:00] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 63, Z= -103
[2024-03-31 13:39:01] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 63, Z= -103
[2024-03-31 13:39:05] [world] The Player <Tester> has emptied WATER BUCKET at X= -552, Y= 63, Z= -109
[2024-03-31 13:39:09] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 63, Z= -111
[2024-03-31 13:39:10] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 63, Z= -111
[2024-03-31 13:39:12] [world] The Player <Tester> has emptied WATER BUCKET at X= -558, Y= 63, Z= -112
[2024-03-31 13:39:13] [world] The Player <Tester> has emptied WATER BUCKET at X= -558, Y= 63, Z= -113
[2024-03-31 13:39:15] [world] The Player <Tester> has emptied WATER BUCKET at X= -560, Y= 63, Z= -115
[2024-03-31 13:39:15] [world] The Player <Tester> has emptied WATER BUCKET at X= -560, Y= 63, Z= -116
[2024-03-31 13:39:17] [world] The Player <Tester> has emptied WATER BUCKET at X= -560, Y= 63, Z= -117
[2024-03-31 13:39:17] [world] The Player <Tester> has emptied WATER BUCKET at X= -560, Y= 63, Z= -117
[2024-03-31 13:39:19] [world] The Player <Tester> has emptied WATER BUCKET at X= -561, Y= 63, Z= -117
[2024-03-31 13:39:20] [world] The Player <Tester> has emptied WATER BUCKET at X= -561, Y= 63, Z= -117
[2024-03-31 13:39:22] [world] The Player <Tester> has emptied WATER BUCKET at X= -562, Y= 63, Z= -118
[2024-03-31 13:39:22] [world] The Player <Tester> has emptied WATER BUCKET at X= -562, Y= 63, Z= -118
