[2024-03-17 22:53:55] [world] The Player <bagelz> has collected WATER BUCKET at X= 1036, Y= 73, Z= 2353
[2024-03-17 22:53:56] [world] The Player <bagelz> has collected WATER BUCKET at X= 1036, Y= 73, Z= 2352
[2024-03-17 22:53:57] [world] The Player <bagelz> has collected WATER BUCKET at X= 1036, Y= 73, Z= 2353
[2024-03-17 22:56:45] [world] The Player <bagelz> has collected WATER BUCKET at X= 1036, Y= 105, Z= 2311
[2024-03-17 22:56:46] [world] The Player <bagelz> has collected WATER BUCKET at X= 1036, Y= 105, Z= 2311
[2024-03-17 22:57:12] [world] The Player <bagelz> has collected WATER BUCKET at X= 1032, Y= 103, Z= 2309
[2024-03-17 22:57:13] [world] The Player <bagelz> has collected WATER BUCKET at X= 1033, Y= 103, Z= 2309
[2024-03-17 22:57:49] [world] The Player <bagelz> has collected WATER BUCKET at X= 1036, Y= 105, Z= 2312
[2024-03-17 22:58:34] [world] The Player <bagelz> has collected WATER BUCKET at X= 1036, Y= 105, Z= 2312
[2024-03-17 22:59:03] [world] The Player <bagelz> has collected WATER BUCKET at X= 1041, Y= 105, Z= 2318
[2024-03-17 22:59:05] [world] The Player <bagelz> has collected WATER BUCKET at X= 1041, Y= 105, Z= 2319
[2024-03-17 22:59:27] [world] The Player <bagelz> has collected WATER BUCKET at X= 1041, Y= 103, Z= 2318
[2024-03-17 22:59:56] [world] The Player <bagelz> has collected WATER BUCKET at X= 1037, Y= 105, Z= 2312
[2024-03-17 22:59:58] [world] The Player <bagelz> has collected WATER BUCKET at X= 1037, Y= 105, Z= 2312
[2024-03-17 23:00:06] [world] The Player <bagelz> has collected WATER BUCKET at X= 1037, Y= 105, Z= 2312
[2024-03-17 23:00:22] [world] The Player <bagelz> has collected WATER BUCKET at X= 1032, Y= 103, Z= 2327
[2024-03-17 23:00:29] [world] The Player <bagelz> has collected WATER BUCKET at X= 1037, Y= 105, Z= 2312
[2024-03-17 23:00:31] [world] The Player <bagelz> has collected WATER BUCKET at X= 1036, Y= 105, Z= 2312
[2024-03-17 23:00:54] [world] The Player <bagelz> has collected WATER BUCKET at X= 1037, Y= 105, Z= 2311
[2024-03-17 23:07:13] [world] The Player <bagelz> has collected WATER BUCKET at X= 1037, Y= 105, Z= 2312
[2024-03-17 23:07:14] [world] The Player <bagelz> has collected WATER BUCKET at X= 1036, Y= 105, Z= 2312
[2024-03-17 23:07:15] [world] The Player <bagelz> has collected WATER BUCKET at X= 1037, Y= 105, Z= 2312
[2024-03-18 00:01:13] [world] The Player <Tester> has collected WATER BUCKET at X= -593, Y= 68, Z= 264
[2024-03-18 00:01:19] [world] The Player <Tester> has collected WATER BUCKET at X= -597, Y= 68, Z= 264
[2024-03-18 00:01:21] [world] The Player <Tester> has collected WATER BUCKET at X= -597, Y= 68, Z= 263
[2024-03-18 00:17:59] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -10170, Y= 62, Z= 4109
[2024-03-18 00:21:47] [world] The Player <Tester> has collected WATER BUCKET at X= -588, Y= 68, Z= 244
[2024-03-18 00:24:18] [world] The Player <bagelz> has collected WATER BUCKET at X= 1276, Y= 6, Z= 2453
[2024-03-18 00:24:20] [world] The Player <bagelz> has collected WATER BUCKET at X= 1276, Y= 6, Z= 2453
[2024-03-18 00:24:22] [world] The Player <bagelz> has collected WATER BUCKET at X= 1276, Y= 6, Z= 2453
[2024-03-18 00:24:33] [world] The Player <bagelz> has collected WATER BUCKET at X= 1276, Y= 6, Z= 2454
[2024-03-18 00:24:35] [world] The Player <bagelz> has collected WATER BUCKET at X= 1274, Y= 6, Z= 2453
[2024-03-18 00:37:59] [world] The Player <Tester> has collected WATER BUCKET at X= -596, Y= 64, Z= 373
[2024-03-18 01:00:45] [world_the_end] The Player <Milk_Frog> has collected LAVA BUCKET at X= 36, Y= 62, Z= 24
