[2024-03-18 01:39:35] [world] The Player <Tester> has collected WATER BUCKET at X= -536, Y= 71, Z= 248
[2024-03-18 11:18:41] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -708, Y= 67, Z= 297
[2024-03-18 12:10:19] [world] The Player <MrBlob2U> has collected WATER BUCKET at X= -691, Y= 18, Z= 179
[2024-03-18 12:30:42] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10186, Y= 67, Z= 4112
[2024-03-18 12:32:43] [world_the_end] The Player <Rip_Dogwater> has collected WATER BUCKET at X= 51, Y= 62, Z= 2
[2024-03-18 12:34:11] [world_the_end] The Player <Rip_Dogwater> has collected WATER BUCKET at X= 19, Y= 61, Z= 7
[2024-03-18 12:35:26] [world_the_end] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -60, Y= 49, Z= -49
[2024-03-18 13:35:06] [world_the_end] The Player <Tester> has collected LAVA BUCKET at X= 36, Y= 62, Z= 24
[2024-03-18 13:43:41] [world] The Player <Tester> has collected LAVA BUCKET at X= -10188, Y= 62, Z= 4110
[2024-03-18 13:49:07] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:49:07] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:49:08] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:49:08] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:49:08] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:49:09] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:49:09] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10185, Y= 64, Z= 4120
[2024-03-18 13:54:08] [world] The Player <sharky> has collected LAVA BUCKET at X= -497, Y= 78, Z= -425
[2024-03-18 14:07:12] [world] The Player <MrBlob2U> has collected WATER BUCKET at X= -697, Y= 10, Z= 171
[2024-03-18 14:21:00] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10186, Y= 63, Z= 4100
[2024-03-18 14:24:53] [world] The Player <qwerty> has collected LAVA BUCKET at X= -497, Y= 78, Z= -431
[2024-03-18 14:34:08] [world] The Player <character> has collected LAVA BUCKET at X= -702, Y= 66, Z= 348
[2024-03-18 14:34:16] [world] The Player <character> has collected LAVA BUCKET at X= -705, Y= 68, Z= 363
[2024-03-18 14:34:29] [world] The Player <character> has collected LAVA BUCKET at X= -729, Y= 68, Z= 351
[2024-03-18 14:35:05] [world] The Player <MrBlob2U> has collected WATER BUCKET at X= -615, Y= 46, Z= 206
