[2024-03-19 11:21:00] [world] The Player <qwerty> has collected LAVA BUCKET at X= -498, Y= 78, Z= -431
[2024-03-19 11:21:30] [world] The Player <qwerty> has collected LAVA BUCKET at X= -490, Y= 79, Z= -446
[2024-03-19 12:50:09] [world_nether] The Player <qwerty> has collected LAVA BUCKET at X= -95, Y= 67, Z= -181
[2024-03-19 12:50:56] [world_nether] The Player <qwerty> has collected LAVA BUCKET at X= -98, Y= 67, Z= -199
[2024-03-19 13:49:57] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -937, Y= 11, Z= 1601
[2024-03-19 13:51:09] [world_nether] The Player <qwerty> has collected LAVA BUCKET at X= -144, Y= 71, Z= -85
[2024-03-19 14:23:02] [world] The Player <sharky> has collected LAVA BUCKET at X= -504, Y= 78, Z= -427
[2024-03-19 14:36:16] [world] The Player <Rip_WillOfTheD> has collected WATER BUCKET at X= -577, Y= 67, Z= 199
[2024-03-19 14:39:33] [world] The Player <Rip_WillOfTheD> has collected WATER BUCKET at X= -589, Y= 71, Z= 136
[2024-03-19 14:39:35] [world] The Player <Rip_WillOfTheD> has collected WATER BUCKET at X= -589, Y= 71, Z= 136
[2024-03-19 14:41:52] [world] The Player <Rip_WillOfTheD> has collected WATER BUCKET at X= -579, Y= 69, Z= 199
[2024-03-19 14:43:09] [world] The Player <Rip_WillOfTheD> has collected WATER BUCKET at X= -478, Y= 73, Z= 198
[2024-03-19 14:43:19] [world] The Player <Rip_WillOfTheD> has collected WATER BUCKET at X= -457, Y= 70, Z= 197
[2024-03-19 14:43:24] [world] The Player <Rip_WillOfTheD> has collected WATER BUCKET at X= -452, Y= 69, Z= 195
[2024-03-19 14:43:25] [world] The Player <Rip_WillOfTheD> has collected WATER BUCKET at X= -451, Y= 68, Z= 195
[2024-03-19 14:56:29] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -889, Y= 64, Z= 319
[2024-03-19 14:56:31] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -888, Y= 64, Z= 319
[2024-03-19 15:07:47] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= 9960, Y= 68, Z= 1104
[2024-03-19 19:49:26] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -10170, Y= 62, Z= 4108
[2024-03-19 20:53:06] [world] The Player <astronomy> has collected LAVA BUCKET at X= -564, Y= 56, Z= 271
[2024-03-19 22:21:58] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -752, Y= 6, Z= 664
[2024-03-19 22:22:18] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -753, Y= 7, Z= 664
[2024-03-19 22:22:48] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -752, Y= 5, Z= 664
[2024-03-19 22:23:05] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -752, Y= 5, Z= 664
[2024-03-19 22:23:07] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -752, Y= 5, Z= 664
[2024-03-19 22:36:09] [world] The Player <Tester> has collected WATER BUCKET at X= -10172, Y= 62, Z= 4105
[2024-03-19 22:39:01] [world] The Player <Tester> has collected WATER BUCKET at X= -10218, Y= 66, Z= 4093
[2024-03-19 23:01:13] [world] The Player <Tester> has collected WATER BUCKET at X= -10172, Y= 63, Z= 4111
[2024-03-19 23:01:15] [world] The Player <Tester> has collected WATER BUCKET at X= -10172, Y= 63, Z= 4111
[2024-03-20 00:33:53] [world] The Player <Tester> has collected LAVA BUCKET at X= -10170, Y= 62, Z= 4117
[2024-03-20 01:04:53] [world] The Player <astronomy> has collected LAVA BUCKET at X= 1800, Y= 61, Z= 287
[2024-03-20 01:04:58] [world] The Player <astronomy> has collected LAVA BUCKET at X= 1800, Y= 62, Z= 292
[2024-03-20 01:05:17] [world] The Player <astronomy> has collected LAVA BUCKET at X= 1800, Y= 61, Z= 287
[2024-03-20 01:06:21] [world] The Player <astronomy> has collected LAVA BUCKET at X= 1800, Y= 61, Z= 291
[2024-03-20 01:06:39] [world] The Player <astronomy> has collected LAVA BUCKET at X= 1800, Y= 61, Z= 291
[2024-03-20 01:07:27] [world] The Player <NezukoChan> has collected WATER BUCKET at X= 1800, Y= 62, Z= 292
[2024-03-20 01:08:00] [world] The Player <NezukoChan> has collected WATER BUCKET at X= 1800, Y= 61, Z= 292
[2024-03-20 01:12:27] [world] The Player <astronomy> has collected LAVA BUCKET at X= -558, Y= 61, Z= 295
[2024-03-20 01:16:58] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -590, Y= 64, Z= 373
[2024-03-20 01:17:24] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -680, Y= 65, Z= 435
[2024-03-20 02:19:17] [world] The Player <astronomy> has collected LAVA BUCKET at X= 1806, Y= 37, Z= 289
[2024-03-20 11:27:02] [world] The Player <sharky> has collected LAVA BUCKET at X= -241, Y= 30, Z= -542
[2024-03-20 11:58:40] [world] The Player <Tester> has collected LAVA BUCKET at X= -10170, Y= 62, Z= 4117
[2024-03-20 12:04:27] [world] The Player <Tester> has collected WATER BUCKET at X= -2718, Y= 60, Z= 776
[2024-03-20 12:07:01] [world] The Player <Tester> has collected LAVA BUCKET at X= -2719, Y= 69, Z= 769
[2024-03-20 12:07:03] [world] The Player <Tester> has collected LAVA BUCKET at X= -2714, Y= 66, Z= 770
[2024-03-20 12:07:05] [world] The Player <Tester> has collected LAVA BUCKET at X= -2715, Y= 68, Z= 765
[2024-03-20 12:07:09] [world] The Player <Tester> has collected LAVA BUCKET at X= -2712, Y= 68, Z= 765
[2024-03-20 12:14:24] [world] The Player <Tester> has collected LAVA BUCKET at X= -2810, Y= 25, Z= 620
[2024-03-20 12:14:26] [world] The Player <Tester> has collected WATER BUCKET at X= -2810, Y= 24, Z= 620
[2024-03-20 12:15:03] [world] The Player <Tester> has collected WATER BUCKET at X= -2828, Y= 10, Z= 630
[2024-03-20 12:17:18] [world] The Player <Tester> has collected WATER BUCKET at X= -2822, Y= 10, Z= 621
[2024-03-20 12:17:19] [world] The Player <Tester> has collected WATER BUCKET at X= -2821, Y= 10, Z= 622
[2024-03-20 12:17:21] [world] The Player <Tester> has collected WATER BUCKET at X= -2820, Y= 10, Z= 621
[2024-03-20 12:17:22] [world] The Player <Tester> has collected WATER BUCKET at X= -2821, Y= 10, Z= 620
[2024-03-20 12:17:23] [world] The Player <Tester> has collected LAVA BUCKET at X= -2820, Y= 10, Z= 619
[2024-03-20 12:17:38] [world] The Player <Tester> has collected WATER BUCKET at X= -2822, Y= 10, Z= 618
[2024-03-20 12:17:51] [world] The Player <Tester> has collected WATER BUCKET at X= -2813, Y= 11, Z= 608
[2024-03-20 12:17:52] [world] The Player <Tester> has collected WATER BUCKET at X= -2813, Y= 11, Z= 608
[2024-03-20 12:17:54] [world] The Player <Tester> has collected WATER BUCKET at X= -2812, Y= 11, Z= 608
[2024-03-20 12:21:25] [world] The Player <Tester> has collected WATER BUCKET at X= -2806, Y= 10, Z= 625
[2024-03-20 12:21:27] [world] The Player <Tester> has collected WATER BUCKET at X= -2807, Y= 10, Z= 624
[2024-03-20 12:21:29] [world] The Player <Tester> has collected WATER BUCKET at X= -2805, Y= 10, Z= 623
[2024-03-20 12:21:30] [world] The Player <Tester> has collected WATER BUCKET at X= -2806, Y= 10, Z= 622
[2024-03-20 12:21:33] [world] The Player <Tester> has collected WATER BUCKET at X= -2809, Y= 10, Z= 623
[2024-03-20 12:21:35] [world] The Player <Tester> has collected WATER BUCKET at X= -2808, Y= 10, Z= 622
[2024-03-20 12:22:35] [world] The Player <Tester> has collected WATER BUCKET at X= -2789, Y= 10, Z= 628
[2024-03-20 12:22:37] [world] The Player <Tester> has collected WATER BUCKET at X= -2789, Y= 11, Z= 630
[2024-03-20 12:22:58] [world] The Player <Tester> has collected WATER BUCKET at X= -2794, Y= 12, Z= 633
[2024-03-20 12:23:02] [world] The Player <Tester> has collected WATER BUCKET at X= -2799, Y= 11, Z= 636
[2024-03-20 12:23:26] [world] The Player <Tester> has collected WATER BUCKET at X= -2807, Y= 11, Z= 634
[2024-03-20 12:23:30] [world] The Player <Tester> has collected WATER BUCKET at X= -2815, Y= 11, Z= 637
[2024-03-20 12:30:04] [world] The Player <sharky> has collected LAVA BUCKET at X= 45, Y= 76, Z= -693
[2024-03-20 12:30:08] [world] The Player <sharky> has collected LAVA BUCKET at X= 45, Y= 76, Z= -692
[2024-03-20 12:30:10] [world] The Player <Tester> has collected LAVA BUCKET at X= -2855, Y= 10, Z= 564
