[2024-03-24 22:14:54] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -10300, Y= 49, Z= 4035
[2024-03-24 22:54:31] [world] The Player <GolemDaWanderer> has collected LAVA BUCKET at X= -10217, Y= 66, Z= 4110
[2024-03-24 22:57:58] [world] The Player <GolemDaWanderer> has collected LAVA BUCKET at X= -555, Y= 65, Z= 367
[2024-03-25 00:49:16] [world] The Player <Brycethelegend> has collected WATER BUCKET at X= -1326, Y= 67, Z= -242
[2024-03-25 01:49:56] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -13, Y= 58, Z= -64
[2024-03-25 01:50:25] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -24, Y= 60, Z= -43
[2024-03-25 01:52:07] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -565, Y= 65, Z= 290
[2024-03-25 01:52:23] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 6, Z= 291
[2024-03-25 01:53:55] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -13, Y= 58, Z= -68
[2024-03-25 01:54:42] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -565, Y= 6, Z= 291
[2024-03-25 01:54:51] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 6, Z= 290
[2024-03-25 01:55:31] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -13, Y= 57, Z= -61
[2024-03-25 01:55:42] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -18, Y= 57, Z= -57
[2024-03-25 01:56:30] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -16, Y= 56, Z= -54
[2024-03-25 02:00:37] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 6, Z= 291
[2024-03-25 02:00:44] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 7, Z= 291
[2024-03-25 02:00:46] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -565, Y= 7, Z= 290
[2024-03-25 02:00:52] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 7, Z= 290
[2024-03-25 02:00:56] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 8, Z= 291
[2024-03-25 02:03:42] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -565, Y= 9, Z= 290
[2024-03-25 02:03:44] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -565, Y= 9, Z= 291
[2024-03-25 02:03:47] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -565, Y= 8, Z= 291
[2024-03-25 02:04:00] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -565, Y= 8, Z= 290
[2024-03-25 02:04:01] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 8, Z= 290
[2024-03-25 02:04:02] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 8, Z= 291
[2024-03-25 02:04:04] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 7, Z= 290
[2024-03-25 02:04:05] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 8, Z= 291
[2024-03-25 02:04:07] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 7, Z= 291
[2024-03-25 02:04:09] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -565, Y= 7, Z= 290
[2024-03-25 02:04:11] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 7, Z= 290
[2024-03-25 02:04:14] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 6, Z= 290
[2024-03-25 02:04:16] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 6, Z= 290
[2024-03-25 02:04:18] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 6, Z= 290
[2024-03-25 02:04:20] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -565, Y= 6, Z= 290
[2024-03-25 02:04:23] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 6, Z= 290
[2024-03-25 02:04:25] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 6, Z= 291
[2024-03-25 02:04:28] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 6, Z= 290
[2024-03-25 02:04:30] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -565, Y= 6, Z= 289
[2024-03-25 02:04:38] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -565, Y= 6, Z= 289
[2024-03-25 02:04:39] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -564, Y= 6, Z= 290
[2024-03-25 02:04:41] [world] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -565, Y= 6, Z= 290
[2024-03-25 13:12:16] [world_the_end] The Player <NezukoChan> has collected WATER BUCKET at X= -32, Y= 49, Z= -72
[2024-03-25 13:14:22] [world_the_end] The Player <NezukoChan> has collected WATER BUCKET at X= -50, Y= 49, Z= -51
