[2024-03-25 20:44:20] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10175, Y= 62, Z= 4108
[2024-03-25 20:44:30] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10173, Y= 62, Z= 4108
[2024-03-25 20:46:51] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10181, Y= 62, Z= 4104
[2024-03-25 20:47:06] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10181, Y= 62, Z= 4106
[2024-03-25 20:47:28] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10186, Y= 54, Z= 4102
[2024-03-25 20:47:35] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 54, Z= 4102
[2024-03-25 20:47:42] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 60, Z= 4105
[2024-03-25 20:47:55] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 54, Z= 4101
[2024-03-25 20:47:57] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 54, Z= 4102
[2024-03-25 20:48:06] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 62, Z= 4105
[2024-03-25 20:48:08] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 61, Z= 4105
[2024-03-25 20:48:16] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 61, Z= 4105
[2024-03-25 20:48:18] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 62, Z= 4105
[2024-03-25 20:48:27] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 54, Z= 4101
[2024-03-25 20:48:51] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 54, Z= 4101
[2024-03-25 20:49:03] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 54, Z= 4101
[2024-03-25 20:49:11] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 56, Z= 4105
[2024-03-25 20:49:21] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 58, Z= 4105
[2024-03-25 20:49:22] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 59, Z= 4105
[2024-03-25 20:49:31] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 55, Z= 4105
[2024-03-25 20:49:32] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 55, Z= 4105
[2024-03-25 20:49:34] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 55, Z= 4105
[2024-03-25 20:49:43] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 54, Z= 4101
[2024-03-25 20:49:44] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 56, Z= 4104
[2024-03-25 20:49:45] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10185, Y= 54, Z= 4101
[2024-03-25 20:50:55] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10186, Y= 54, Z= 4101
[2024-03-25 20:50:58] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10186, Y= 54, Z= 4101
[2024-03-25 20:51:37] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10181, Y= 62, Z= 4104
[2024-03-25 20:51:40] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10183, Y= 62, Z= 4103
[2024-03-25 20:51:46] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10181, Y= 62, Z= 4105
[2024-03-25 20:51:55] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10181, Y= 62, Z= 4105
[2024-03-25 20:52:07] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10181, Y= 62, Z= 4105
[2024-03-25 20:52:20] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10182, Y= 62, Z= 4105
[2024-03-25 20:52:36] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10182, Y= 62, Z= 4105
[2024-03-25 20:52:43] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10181, Y= 62, Z= 4105
[2024-03-25 20:53:05] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10182, Y= 62, Z= 4105
[2024-03-25 20:53:34] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10186, Y= 54, Z= 4101
[2024-03-25 22:46:36] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10165, Y= 62, Z= 4107
[2024-03-26 00:35:11] [world] The Player <hexa> has collected WATER BUCKET at X= 1000053, Y= 40, Z= 999888
[2024-03-26 00:36:18] [world] The Player <hexa> has collected WATER BUCKET at X= 1000072, Y= 62, Z= 999906
[2024-03-26 00:36:21] [world] The Player <hexa> has collected WATER BUCKET at X= 1000072, Y= 62, Z= 999906
[2024-03-26 00:36:33] [world] The Player <hexa> has collected WATER BUCKET at X= 1000072, Y= 63, Z= 999905
