[2024-03-31 14:15:08] [world] The Player <BTC> has collected WATER BUCKET at X= -721, Y= 64, Z= -23
[2024-03-31 16:42:12] [world] The Player <BTC> has collected WATER BUCKET at X= -549, Y= 43, Z= -73
[2024-03-31 16:42:24] [world] The Player <BTC> has collected WATER BUCKET at X= -547, Y= 43, Z= -73
[2024-03-31 16:43:19] [world] The Player <BTC> has collected WATER BUCKET at X= -551, Y= 30, Z= -71
[2024-03-31 16:44:07] [world] The Player <BTC> has collected WATER BUCKET at X= -552, Y= 25, Z= -74
[2024-03-31 16:47:33] [world] The Player <BTC> has collected WATER BUCKET at X= -555, Y= 4, Z= -86
[2024-03-31 16:51:16] [world] The Player <BTC> has collected WATER BUCKET at X= -559, Y= 4, Z= -85
[2024-03-31 16:53:51] [world] The Player <BTC> has collected WATER BUCKET at X= -551, Y= 2, Z= -84
[2024-03-31 16:56:24] [world] The Player <BTC> has collected WATER BUCKET at X= -550, Y= 9, Z= -96
[2024-03-31 16:57:57] [world] The Player <BTC> has collected WATER BUCKET at X= -549, Y= 10, Z= -99
[2024-03-31 17:06:49] [world] The Player <BTC> has collected WATER BUCKET at X= -543, Y= 70, Z= 362
[2024-03-31 17:24:05] [world] The Player <BTC> has collected WATER BUCKET at X= -625, Y= 68, Z= 461
[2024-03-31 17:24:07] [world] The Player <BTC> has collected WATER BUCKET at X= -625, Y= 68, Z= 461
[2024-03-31 19:26:24] [world] The Player <GolemDaWanderer> has collected LAVA BUCKET at X= -9253, Y= 72, Z= 3699
[2024-03-31 19:26:25] [world] The Player <GolemDaWanderer> has collected LAVA BUCKET at X= -9254, Y= 73, Z= 3699
[2024-03-31 19:26:29] [world] The Player <GolemDaWanderer> has collected LAVA BUCKET at X= -9255, Y= 72, Z= 3699
[2024-03-31 19:27:44] [world] The Player <GolemDaWanderer> has collected LAVA BUCKET at X= -9236, Y= 63, Z= 3715
[2024-03-31 19:28:00] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -9244, Y= 62, Z= 3717
[2024-03-31 19:28:02] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -9244, Y= 62, Z= 3717
[2024-03-31 19:28:05] [world] The Player <GolemDaWanderer> has collected MILK BUCKET at X= -9249, Y= 64, Z= 3716
[2024-03-31 19:28:09] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -9249, Y= 64, Z= 3716
[2024-03-31 19:28:10] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -9248, Y= 64, Z= 3716
[2024-03-31 19:28:10] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -9248, Y= 64, Z= 3716
[2024-03-31 19:28:11] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -9248, Y= 64, Z= 3716
[2024-03-31 19:28:11] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -9248, Y= 64, Z= 3716
[2024-03-31 19:28:13] [world] The Player <GolemDaWanderer> has collected MILK BUCKET at X= -9247, Y= 62, Z= 3720
[2024-03-31 19:31:05] [world] The Player <GolemDaWanderer> has collected MILK BUCKET at X= -9266, Y= 68, Z= 3738
[2024-03-31 19:31:09] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -9262, Y= 62, Z= 3746
[2024-03-31 19:31:10] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -9263, Y= 62, Z= 3743
[2024-03-31 20:12:09] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10301, Y= 40, Z= 4029
[2024-03-31 20:12:17] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10301, Y= 40, Z= 4029
[2024-03-31 20:12:28] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:31] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10301, Y= 36, Z= 4028
[2024-03-31 20:12:33] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10301, Y= 36, Z= 4028
[2024-03-31 20:12:35] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10301, Y= 36, Z= 4028
[2024-03-31 20:14:18] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10301, Y= 40, Z= 4029
[2024-03-31 20:14:19] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:14:55] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 21:38:23] [world_the_end] The Player <GolemDaWanderer> has collected WATER BUCKET at X= 42, Y= 61, Z= -12
[2024-03-31 21:47:46] [world_the_end] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -41, Y= 67, Z= -8
[2024-03-31 21:47:48] [world_the_end] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -42, Y= 68, Z= -8
[2024-03-31 21:47:57] [world_the_end] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -40, Y= 66, Z= -8
