[2024-03-17 22:32:53] [world] The Player <bagelz> has crafted 1 of IRON PICKAXE at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:15] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:15] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:15] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:16] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:16] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:16] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:16] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:16] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:16] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:16] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:16] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:17] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:17] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:17] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:17] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:19] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:19] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:19] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:19] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:19] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:20] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:24] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:24] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:24] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:24] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:30] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:31] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:35:37] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:37] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:37] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:37] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:37] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:38] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:38] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:38] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:38] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:38] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:39] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:39] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:39] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:39] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:39] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:35:39] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -669, Y= 66, Z= 467
[2024-03-17 22:36:25] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:25] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:26] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:26] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
