[2024-03-18 11:18:27] [world] The Player <qwerty> has crafted 3 of INK SACK at X= -497, Y= 77, Z= -481
[2024-03-18 11:18:27] [world] The Player <qwerty> has crafted 3 of INK SACK at X= -497, Y= 77, Z= -481
[2024-03-18 11:22:07] [world] The Player <sharky> has crafted 1 of DIAMOND BOOTS at X= -494, Y= 72, Z= -500
[2024-03-18 11:26:25] [world] The Player <sharky> has crafted 4 of WOOD at X= -531, Y= 70, Z= -466
[2024-03-18 11:26:28] [world] The Player <sharky> has crafted 1 of WORKBENCH at X= -531, Y= 70, Z= -466
[2024-03-18 11:29:10] [world] The Player <BigDickRandy> has crafted 1 of GOLD INGOT at X= -180, Y= 87, Z= 4283
[2024-03-18 11:29:17] [world] The Player <BigDickRandy> has crafted 1 of GOLD INGOT at X= -180, Y= 87, Z= 4283
[2024-03-18 11:31:44] [world] The Player <VeerIsKKK> has crafted 1 of SUGAR at X= 508, Y= 106, Z= 2246
[2024-03-18 11:31:44] [world] The Player <VeerIsKKK> has crafted 1 of SUGAR at X= 508, Y= 106, Z= 2246
[2024-03-18 11:31:45] [world] The Player <VeerIsKKK> has crafted 1 of SUGAR at X= 508, Y= 106, Z= 2246
[2024-03-18 11:31:45] [world] The Player <VeerIsKKK> has crafted 1 of SUGAR at X= 508, Y= 106, Z= 2246
[2024-03-18 11:31:45] [world] The Player <VeerIsKKK> has crafted 1 of SUGAR at X= 508, Y= 106, Z= 2246
[2024-03-18 11:31:45] [world] The Player <VeerIsKKK> has crafted 1 of SUGAR at X= 508, Y= 106, Z= 2246
[2024-03-18 12:01:43] [world] The Player <character> has crafted 4 of WOOD at X= -731, Y= 35, Z= 171
[2024-03-18 12:01:45] [world] The Player <character> has crafted 4 of WOOD at X= -731, Y= 35, Z= 171
[2024-03-18 12:02:05] [world] The Player <character> has crafted 4 of STICK at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:05] [world] The Player <character> has crafted 4 of STICK at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:05] [world] The Player <character> has crafted 4 of STICK at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:06] [world] The Player <character> has crafted 4 of STICK at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:21] [world] The Player <character> has crafted 1 of IRON PICKAXE at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:21] [world] The Player <character> has crafted 1 of IRON PICKAXE at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:22] [world] The Player <character> has crafted 1 of IRON PICKAXE at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:22] [world] The Player <character> has crafted 1 of IRON PICKAXE at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:25] [world] The Player <character> has crafted 1 of IRON PICKAXE at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:34] [world] The Player <character> has crafted 1 of IRON PICKAXE at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:37] [world] The Player <character> has crafted 1 of IRON PICKAXE at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:40] [world] The Player <character> has crafted 1 of IRON PICKAXE at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:42] [world] The Player <character> has crafted 1 of IRON PICKAXE at X= -732, Y= 35, Z= 172
[2024-03-18 12:02:52] [world] The Player <character> has crafted 1 of IRON PICKAXE at X= -732, Y= 35, Z= 172
[2024-03-18 12:03:18] [world] The Player <character> has crafted 1 of IRON PICKAXE at X= -732, Y= 35, Z= 172
[2024-03-18 12:05:21] [world] The Player <Brycethelegend> has crafted 4 of WOOD at X= 56, Y= 64, Z= 1271
[2024-03-18 12:05:21] [world] The Player <Brycethelegend> has crafted 4 of WOOD at X= 56, Y= 64, Z= 1271
[2024-03-18 12:05:36] [world] The Player <Brycethelegend> has crafted 4 of WOOD at X= 59, Y= 65, Z= 1271
[2024-03-18 12:05:42] [world] The Player <Brycethelegend> has crafted 1 of WORKBENCH at X= 59, Y= 65, Z= 1271
[2024-03-18 12:06:04] [world] The Player <Brycethelegend> has crafted 1 of BOAT at X= 60, Y= 65, Z= 1272
[2024-03-18 12:15:14] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:15] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:15] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:15] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:15] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:16] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:16] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:16] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:16] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:16] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:17] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:17] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:17] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:17] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:18] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:15:18] [world] The Player <Brycethelegend> has crafted 1 of WOOL at X= -522, Y= 65, Z= 310
[2024-03-18 12:22:08] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:08] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:08] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:09] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:09] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:09] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:09] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:09] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:10] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:10] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:10] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:10] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:11] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:11] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:11] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:11] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -57, Y= 35, Z= 76
[2024-03-18 12:22:30] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -58, Y= 35, Z= 78
[2024-03-18 12:22:30] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -58, Y= 35, Z= 78
[2024-03-18 12:22:31] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -58, Y= 35, Z= 78
[2024-03-18 12:22:31] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -58, Y= 35, Z= 78
[2024-03-18 12:22:31] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -58, Y= 35, Z= 78
[2024-03-18 12:22:31] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -58, Y= 35, Z= 78
[2024-03-18 12:22:31] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -58, Y= 35, Z= 78
[2024-03-18 12:22:32] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -58, Y= 35, Z= 78
[2024-03-18 12:22:32] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -58, Y= 35, Z= 78
[2024-03-18 12:22:32] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -58, Y= 35, Z= 78
[2024-03-18 12:22:32] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -58, Y= 35, Z= 78
[2024-03-18 12:22:32] [world_nether] The Player <Brycethelegend> has crafted 1 of GLOWSTONE at X= -58, Y= 35, Z= 78
[2024-03-18 12:44:13] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -95, Y= 72, Z= -212
[2024-03-18 12:44:13] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -95, Y= 72, Z= -212
[2024-03-18 12:44:14] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -95, Y= 72, Z= -212
[2024-03-18 12:44:14] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -95, Y= 72, Z= -212
[2024-03-18 12:44:14] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -95, Y= 72, Z= -212
[2024-03-18 12:44:14] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -95, Y= 72, Z= -212
