[2024-03-19 11:23:40] [world] The Player <sharky> has crafted 1 of FURNACE at X= -495, Y= 72, Z= -499
[2024-03-19 11:25:51] [world] The Player <sharky> has crafted 1 of GOLD CHESTPLATE at X= -495, Y= 74, Z= -501
[2024-03-19 11:25:56] [world] The Player <sharky> has crafted 1 of GOLD LEGGINGS at X= -495, Y= 74, Z= -501
[2024-03-19 11:26:00] [world] The Player <sharky> has crafted 1 of GOLD HELMET at X= -495, Y= 74, Z= -501
[2024-03-19 11:29:27] [world] The Player <sharky> has crafted 4 of STICK at X= -494, Y= 72, Z= -500
[2024-03-19 11:29:27] [world] The Player <sharky> has crafted 4 of STICK at X= -494, Y= 72, Z= -500
[2024-03-19 11:30:23] [world] The Player <sharky> has crafted 6 of STEP at X= -495, Y= 72, Z= -499
[2024-03-19 11:47:54] [world] The Player <sharky> has crafted 1 of ARMOR STAND at X= -495, Y= 72, Z= -500
[2024-03-19 11:49:40] [world] The Player <sharky> has crafted 1 of DIAMOND CHESTPLATE at X= -495, Y= 56, Z= -480
[2024-03-19 11:49:54] [world] The Player <sharky> has crafted 1 of DIAMOND PICKAXE at X= -495, Y= 56, Z= -480
[2024-03-19 12:14:42] [world] The Player <qwerty> has crafted 4 of WOOD at X= -493, Y= 72, Z= -498
[2024-03-19 12:14:42] [world] The Player <qwerty> has crafted 4 of WOOD at X= -493, Y= 72, Z= -498
[2024-03-19 12:28:40] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -675, Y= 71, Z= 247
[2024-03-19 12:28:40] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -675, Y= 71, Z= 247
[2024-03-19 12:28:40] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -675, Y= 71, Z= 247
[2024-03-19 12:28:41] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -675, Y= 71, Z= 247
[2024-03-19 12:28:41] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -675, Y= 71, Z= 247
[2024-03-19 12:28:41] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -675, Y= 71, Z= 247
[2024-03-19 12:28:44] [world] The Player <Dave_TheCoolGuy> has crafted 1 of WORKBENCH at X= -675, Y= 71, Z= 247
[2024-03-19 12:28:49] [world] The Player <Dave_TheCoolGuy> has crafted 4 of STICK at X= -675, Y= 71, Z= 247
[2024-03-19 12:28:49] [world] The Player <Dave_TheCoolGuy> has crafted 4 of STICK at X= -675, Y= 71, Z= 247
[2024-03-19 12:28:49] [world] The Player <Dave_TheCoolGuy> has crafted 4 of STICK at X= -675, Y= 71, Z= 247
[2024-03-19 12:28:50] [world] The Player <Dave_TheCoolGuy> has crafted 4 of STICK at X= -675, Y= 71, Z= 247
[2024-03-19 12:29:00] [world] The Player <Dave_TheCoolGuy> has crafted 1 of WOOD AXE at X= -675, Y= 72, Z= 250
[2024-03-19 12:30:04] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -681, Y= 72, Z= 251
[2024-03-19 12:30:05] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -681, Y= 72, Z= 251
[2024-03-19 12:30:05] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -681, Y= 72, Z= 251
[2024-03-19 12:30:05] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -681, Y= 72, Z= 251
[2024-03-19 12:30:05] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -681, Y= 72, Z= 251
[2024-03-19 12:30:05] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -681, Y= 72, Z= 251
[2024-03-19 12:33:36] [world] The Player <Dave_TheCoolGuy> has crafted 4 of WOOD at X= -688, Y= 71, Z= 305
