[2024-03-20 19:24:44] [world] The Player <I_am_amazing> has crafted 4 of STICK at X= -1356, Y= 63, Z= -263
[2024-03-20 19:24:45] [world] The Player <I_am_amazing> has crafted 4 of STICK at X= -1356, Y= 63, Z= -263
[2024-03-20 19:27:02] [world] The Player <I_am_amazing> has crafted 4 of WOOD at X= -1358, Y= 67, Z= -244
[2024-03-20 19:27:06] [world] The Player <I_am_amazing> has crafted 1 of WORKBENCH at X= -1358, Y= 67, Z= -244
[2024-03-20 19:27:46] [world] The Player <I_am_amazing> has crafted 1 of DIAMOND SWORD at X= -1356, Y= 63, Z= -265
[2024-03-20 19:28:24] [world] The Player <I_am_amazing> has crafted 1 of DIAMOND HELMET at X= -1356, Y= 63, Z= -264
[2024-03-20 19:29:31] [world] The Player <I_am_amazing> has crafted 1 of IRON PICKAXE at X= -1356, Y= 63, Z= -265
[2024-03-20 19:30:16] [world] The Player <I_am_amazing> has crafted 1 of IRON PICKAXE at X= -1356, Y= 63, Z= -265
[2024-03-20 19:31:10] [world] The Player <I_am_amazing> has crafted 1 of IRON PICKAXE at X= -1356, Y= 63, Z= -264
[2024-03-20 19:31:43] [world] The Player <I_am_amazing> has crafted 1 of IRON PICKAXE at X= -1356, Y= 63, Z= -265
[2024-03-20 19:32:26] [world] The Player <hexa> has crafted 4 of WOOD at X= -2536, Y= 63, Z= 558
[2024-03-20 19:32:28] [world] The Player <hexa> has crafted 4 of WOOD at X= -2536, Y= 63, Z= 558
[2024-03-20 19:32:28] [world] The Player <hexa> has crafted 4 of WOOD at X= -2536, Y= 63, Z= 558
[2024-03-20 19:32:34] [world] The Player <hexa> has crafted 6 of WOOD STEP at X= -2536, Y= 63, Z= 558
[2024-03-20 19:32:35] [world] The Player <hexa> has crafted 6 of WOOD STEP at X= -2536, Y= 63, Z= 558
[2024-03-20 19:32:35] [world] The Player <hexa> has crafted 6 of WOOD STEP at X= -2536, Y= 63, Z= 558
[2024-03-20 19:32:35] [world] The Player <hexa> has crafted 6 of WOOD STEP at X= -2536, Y= 63, Z= 558
[2024-03-20 19:35:03] [world] The Player <hexa> has crafted 4 of WOOD at X= -2537, Y= 64, Z= 557
[2024-03-20 19:35:07] [world] The Player <hexa> has crafted 4 of WOOD at X= -2537, Y= 64, Z= 557
[2024-03-20 19:35:10] [world] The Player <hexa> has crafted 4 of WOOD at X= -2537, Y= 64, Z= 557
