[2024-03-21 19:48:20] [world] The Player <character> has crafted 4 of WOOD at X= -371, Y= 88, Z= -61
[2024-03-21 19:48:20] [world] The Player <character> has crafted 4 of WOOD at X= -371, Y= 88, Z= -61
[2024-03-21 19:48:21] [world] The Player <character> has crafted 4 of WOOD at X= -371, Y= 88, Z= -61
[2024-03-21 19:48:21] [world] The Player <character> has crafted 4 of WOOD at X= -371, Y= 88, Z= -61
[2024-03-21 19:48:21] [world] The Player <character> has crafted 4 of WOOD at X= -371, Y= 88, Z= -61
[2024-03-21 19:50:55] [world] The Player <Mudkips_Rule> has crafted 1 of DIAMOND SPADE at X= -1153, Y= 65, Z= -439
[2024-03-21 19:57:14] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:14] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:15] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:15] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:15] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:15] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:15] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:16] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD INGOT at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:16] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:16] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:16] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD INGOT at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:16] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:16] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:17] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:17] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:17] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:17] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:18] [world] The Player <character> has crafted 4 of WOOD at X= -367, Y= 87, Z= -61
[2024-03-21 19:57:21] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:21] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:21] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:21] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:22] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:22] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:22] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:22] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:22] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:24] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:24] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:24] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:24] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:25] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:25] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:25] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:25] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:25] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:28] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:28] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:28] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:29] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1353, Y= 67, Z= -237
[2024-03-21 19:57:56] [world] The Player <Mudkips_Rule> has crafted 1 of SPECKLED MELON at X= -1353, Y= 67, Z= -237
[2024-03-21 19:59:32] [world] The Player <character> has crafted 4 of WOOD at X= -376, Y= 78, Z= -71
[2024-03-21 20:00:12] [world] The Player <NezukoChan> has crafted 2 of BLAZE POWDER at X= -10172, Y= 64, Z= 4121
[2024-03-21 20:00:48] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1153, Y= 65, Z= -437
[2024-03-21 20:00:49] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1153, Y= 65, Z= -437
[2024-03-21 20:00:49] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1153, Y= 65, Z= -437
[2024-03-21 20:00:49] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1153, Y= 65, Z= -437
[2024-03-21 20:00:49] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1153, Y= 65, Z= -437
[2024-03-21 20:00:49] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1153, Y= 65, Z= -437
[2024-03-21 20:00:50] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1153, Y= 65, Z= -437
[2024-03-21 20:00:50] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1153, Y= 65, Z= -437
[2024-03-21 20:02:57] [world] The Player <Dave_TheCoolGuy> has crafted 1 of CHEST at X= -688, Y= 75, Z= 304
[2024-03-21 20:03:26] [world] The Player <Dave_TheCoolGuy> has crafted 6 of STEP at X= -688, Y= 75, Z= 305
[2024-03-21 20:07:01] [world] The Player <Dave_TheCoolGuy> has crafted 1 of CHEST at X= -688, Y= 75, Z= 304
[2024-03-21 20:07:19] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
