[2024-03-24 23:03:23] [world] The Player <Tester> has crafted 3 of INK SACK at X= -10301, Y= 33, Z= 4029
[2024-03-24 23:03:25] [world] The Player <Tester> has crafted 3 of INK SACK at X= -10301, Y= 33, Z= 4029
[2024-03-24 23:03:26] [world] The Player <Tester> has crafted 3 of INK SACK at X= -10301, Y= 33, Z= 4029
[2024-03-24 23:03:28] [world] The Player <Tester> has crafted 3 of INK SACK at X= -10301, Y= 33, Z= 4029
[2024-03-24 23:03:30] [world] The Player <Tester> has crafted 3 of INK SACK at X= -10301, Y= 33, Z= 4029
[2024-03-24 23:03:32] [world] The Player <Tester> has crafted 3 of INK SACK at X= -10301, Y= 33, Z= 4029
[2024-03-24 23:03:34] [world] The Player <Tester> has crafted 3 of INK SACK at X= -10301, Y= 33, Z= 4029
[2024-03-24 23:14:19] [world] The Player <GolemDaWanderer> has crafted 3 of INK SACK at X= -10176, Y= 64, Z= 4117
[2024-03-24 23:16:16] [world] The Player <GolemDaWanderer> has crafted 9 of EMERALD at X= -10175, Y= 64, Z= 4121
[2024-03-24 23:20:16] [world] The Player <GolemDaWanderer> has crafted 1 of BREAD at X= -10169, Y= 64, Z= 4118
[2024-03-24 23:20:22] [world] The Player <GolemDaWanderer> has crafted 1 of BREAD at X= -10169, Y= 64, Z= 4118
[2024-03-24 23:22:55] [world] The Player <GolemDaWanderer> has crafted 3 of INK SACK at X= -10301, Y= 33, Z= 4029
[2024-03-24 23:24:44] [world] The Player <GolemDaWanderer> has crafted 1 of BREAD at X= -10170, Y= 64, Z= 4117
[2024-03-24 23:41:02] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= -10169, Y= 63, Z= 4115
[2024-03-24 23:41:02] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= -10169, Y= 63, Z= 4115
[2024-03-24 23:41:02] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= -10169, Y= 63, Z= 4115
[2024-03-24 23:41:03] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= -10169, Y= 63, Z= 4115
[2024-03-24 23:41:03] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= -10169, Y= 63, Z= 4115
[2024-03-24 23:41:04] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= -10169, Y= 63, Z= 4115
[2024-03-24 23:41:07] [world] The Player <GolemDaWanderer> has crafted 4 of STICK at X= -10169, Y= 63, Z= 4115
[2024-03-24 23:41:24] [world] The Player <GolemDaWanderer> has crafted 3 of FENCE at X= -10169, Y= 63, Z= 4115
