[2024-03-25 20:58:06] [world] The Player <GolemDaWanderer> has crafted 1 of WORKBENCH at X= -10188, Y= 62, Z= 4106
[2024-03-25 22:44:10] [world] The Player <GolemDaWanderer> has crafted 9 of DIAMOND at X= -10171, Y= 63, Z= 4116
[2024-03-25 23:55:21] [world] The Player <GolemDaWanderer> has crafted 1 of TNT at X= -10169, Y= 63, Z= 4115
[2024-03-25 23:55:22] [world] The Player <GolemDaWanderer> has crafted 1 of TNT at X= -10169, Y= 63, Z= 4115
[2024-03-25 23:55:22] [world] The Player <GolemDaWanderer> has crafted 1 of TNT at X= -10169, Y= 63, Z= 4115
[2024-03-25 23:57:02] [world] The Player <GolemDaWanderer> has crafted 4 of SPONGE at X= 9991, Y= 67, Z= -9998
[2024-03-26 00:43:03] [world] The Player <hexa> has crafted 4 of WOOD at X= 1000062, Y= 58, Z= 1000008
[2024-03-26 00:43:04] [world] The Player <hexa> has crafted 4 of WOOD at X= 1000062, Y= 58, Z= 1000008
[2024-03-26 00:43:04] [world] The Player <hexa> has crafted 4 of WOOD at X= 1000062, Y= 58, Z= 1000008
[2024-03-26 00:43:13] [world] The Player <hexa> has crafted 2 of TRAP DOOR at X= 1000062, Y= 58, Z= 1000008
[2024-03-26 00:43:13] [world] The Player <hexa> has crafted 2 of TRAP DOOR at X= 1000062, Y= 58, Z= 1000008
[2024-03-26 00:44:05] [world] The Player <GolemDaWanderer> has crafted 1 of REDSTONE BLOCK at X= -10168, Y= 63, Z= 4115
[2024-03-26 00:44:07] [world] The Player <GolemDaWanderer> has crafted 1 of REDSTONE BLOCK at X= -10168, Y= 63, Z= 4115
[2024-03-26 00:46:32] [world] The Player <GolemDaWanderer> has crafted 9 of REDSTONE at X= -573, Y= 68, Z= 316
[2024-03-26 00:47:53] [world] The Player <Mudkips_Rule> has crafted 1 of REDSTONE TORCH ON at X= -578, Y= 66, Z= 298
[2024-03-26 01:01:05] [world] The Player <GolemDaWanderer> has crafted 2 of BLAZE POWDER at X= 9997, Y= 67, Z= -9997
[2024-03-26 01:01:14] [world] The Player <GolemDaWanderer> has crafted 1 of EYE OF ENDER at X= -1170, Y= 48, Z= -421
[2024-03-26 01:03:27] [world] The Player <GolemDaWanderer> has crafted 4 of SPONGE at X= -1154, Y= 64, Z= -438
[2024-03-26 01:31:35] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:35] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:35] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:35] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:35] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:36] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:36] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:36] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:36] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:36] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:36] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:37] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:37] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:37] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:37] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:38] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:38] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:38] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:38] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:38] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:38] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:39] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:39] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:39] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:39] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:31:39] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-26 01:32:01] [world] The Player <Mudkips_Rule> has crafted 1 of CHEST at X= -1154, Y= 64, Z= -439
[2024-03-26 01:32:02] [world] The Player <Mudkips_Rule> has crafted 1 of CHEST at X= -1154, Y= 64, Z= -439
[2024-03-26 01:32:02] [world] The Player <Mudkips_Rule> has crafted 1 of CHEST at X= -1154, Y= 64, Z= -439
[2024-03-26 01:32:02] [world] The Player <Mudkips_Rule> has crafted 1 of CHEST at X= -1154, Y= 64, Z= -439
[2024-03-26 01:32:02] [world] The Player <Mudkips_Rule> has crafted 1 of CHEST at X= -1154, Y= 64, Z= -439
[2024-03-26 01:32:19] [world] The Player <Mudkips_Rule> has crafted 3 of SIGN at X= -1154, Y= 64, Z= -439
[2024-03-26 01:32:19] [world] The Player <Mudkips_Rule> has crafted 3 of SIGN at X= -1154, Y= 64, Z= -439
[2024-03-26 01:32:19] [world] The Player <Mudkips_Rule> has crafted 3 of SIGN at X= -1154, Y= 64, Z= -439
[2024-03-26 01:32:20] [world] The Player <Mudkips_Rule> has crafted 3 of SIGN at X= -1154, Y= 64, Z= -439
[2024-03-26 02:16:19] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= 10075, Y= 63, Z= -9974
[2024-03-26 02:16:21] [world] The Player <GolemDaWanderer> has crafted 1 of WORKBENCH at X= 10075, Y= 63, Z= -9974
[2024-03-26 02:17:08] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= 10075, Y= 63, Z= -9974
[2024-03-26 02:17:24] [world] The Player <GolemDaWanderer> has crafted 1 of CHEST at X= 10075, Y= 63, Z= -9974
[2024-03-26 11:24:09] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= 10004, Y= 66, Z= -9959
[2024-03-26 11:24:11] [world] The Player <GolemDaWanderer> has crafted 4 of STICK at X= 10004, Y= 66, Z= -9959
[2024-03-26 11:24:17] [world] The Player <GolemDaWanderer> has crafted 1 of REDSTONE TORCH ON at X= 10006, Y= 66, Z= -9964
[2024-03-26 20:57:57] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= 9992, Y= 68, Z= -9951
