[2024-03-27 23:29:02] [world] The Player <Feathery> has crafted 1 of GLOWSTONE at X= 1054, Y= 25, Z= 679
[2024-03-27 23:29:03] [world] The Player <Feathery> has crafted 1 of GLOWSTONE at X= 1054, Y= 25, Z= 679
[2024-03-27 23:50:42] [world] The Player <xcpc> has crafted 1 of CHEST at X= -452, Y= 71, Z= 255
[2024-03-27 23:50:58] [world] The Player <xcpc> has crafted 3 of WOOD DOOR at X= -452, Y= 71, Z= 255
[2024-03-27 23:53:22] [world] The Player <xcpc> has crafted 4 of STICK at X= -452, Y= 71, Z= 255
[2024-03-27 23:53:27] [world] The Player <xcpc> has crafted 3 of SIGN at X= -452, Y= 71, Z= 255
[2024-03-27 23:55:51] [world] The Player <xcpc> has crafted 1 of IRON PICKAXE at X= -452, Y= 71, Z= 255
[2024-03-27 23:56:00] [world] The Player <xcpc> has crafted 4 of STICK at X= -452, Y= 71, Z= 255
[2024-03-27 23:56:06] [world] The Player <xcpc> has crafted 1 of IRON PICKAXE at X= -452, Y= 71, Z= 255
[2024-03-28 00:31:20] [world] The Player <xcpc> has crafted 1 of BUCKET at X= -452, Y= 71, Z= 254
[2024-03-28 00:52:39] [world_the_end] The Player <Heinrich_Himmler> has crafted 1 of SLIME BLOCK at X= -14, Y= 62, Z= -66
