[2024-03-28 01:05:10] [world_the_end] The Player <Heinrich_Himmler> has crafted 1 of FURNACE at X= -14, Y= 62, Z= -66
[2024-03-28 02:14:55] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:14:55] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:14:55] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:14:56] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:14:56] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:14:56] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:14:59] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:14:59] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:14:59] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:14:59] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:14:59] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:14:59] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:00] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:01] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:02] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:02] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:02] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:02] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:02] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:03] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:03] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:03] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:03] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:03] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:04] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:04] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:05] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:05] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:15:05] [world_the_end] The Player <Heinrich_Himmler> has crafted 9 of COAL at X= 34, Y= 14, Z= 195
[2024-03-28 02:17:54] [world_the_end] The Player <Heinrich_Himmler> has crafted 1 of BUCKET at X= -14, Y= 62, Z= -65
