[2024-03-30 19:28:48] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= 10363, Y= 72, Z= -10943
[2024-03-30 19:28:51] [world] The Player <GolemDaWanderer> has crafted 1 of WORKBENCH at X= 10363, Y= 72, Z= -10943
[2024-03-30 19:29:08] [world] The Player <GolemDaWanderer> has crafted 4 of STICK at X= 10362, Y= 73, Z= -10932
[2024-03-30 19:29:13] [world] The Player <GolemDaWanderer> has crafted 1 of WOOD SWORD at X= 10362, Y= 73, Z= -10932
[2024-03-31 03:35:35] [world] The Player <GolemDaWanderer> has crafted 1 of WORKBENCH at X= -10295, Y= 35, Z= 4028
[2024-03-31 03:35:40] [world] The Player <GolemDaWanderer> has crafted 1 of DIAMOND SWORD at X= -10293, Y= 35, Z= 4028
[2024-03-31 13:18:55] [world] The Player <BTC> has crafted 1 of BOW at X= -3130, Y= 41, Z= 832
[2024-03-31 13:19:00] [world] The Player <BTC> has crafted 1 of BOW at X= -3130, Y= 41, Z= 832
[2024-03-31 13:19:05] [world] The Player <BTC> has crafted 1 of BOW at X= -3130, Y= 41, Z= 832
[2024-03-31 13:19:10] [world] The Player <BTC> has crafted 1 of BOW at X= -3130, Y= 41, Z= 832
[2024-03-31 13:19:14] [world] The Player <BTC> has crafted 1 of BOW at X= -3130, Y= 41, Z= 832
