[2024-03-31 13:32:27] [world] The Player <BTC> has crafted 4 of WOOD at X= -570, Y= 68, Z= 366
[2024-03-31 13:32:31] [world] The Player <BTC> has crafted 1 of WORKBENCH at X= -570, Y= 68, Z= 366
[2024-03-31 13:33:03] [world] The Player <BTC> has crafted 1 of DIAMOND BLOCK at X= -3129, Y= 41, Z= 832
[2024-03-31 13:33:17] [world] The Player <BTC> has crafted 1 of DIAMOND BLOCK at X= -3129, Y= 41, Z= 832
[2024-03-31 13:34:31] [world] The Player <BTC> has crafted 1 of CHEST at X= -3129, Y= 41, Z= 832
[2024-03-31 13:34:40] [world] The Player <BTC> has crafted 1 of HOPPER at X= -3129, Y= 41, Z= 832
[2024-03-31 16:59:39] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= -10209, Y= 64, Z= 4055
[2024-03-31 16:59:46] [world] The Player <GolemDaWanderer> has crafted 1 of WORKBENCH at X= -10209, Y= 64, Z= 4055
[2024-03-31 16:59:55] [world] The Player <GolemDaWanderer> has crafted 1 of BOAT at X= -10207, Y= 64, Z= 4056
[2024-03-31 17:35:05] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= -10125, Y= 63, Z= 3797
[2024-03-31 17:35:08] [world] The Player <GolemDaWanderer> has crafted 1 of WORKBENCH at X= -10125, Y= 63, Z= 3797
[2024-03-31 17:35:15] [world] The Player <GolemDaWanderer> has crafted 1 of LEATHER HELMET at X= -10127, Y= 66, Z= 3799
[2024-03-31 17:35:19] [world] The Player <GolemDaWanderer> has crafted 1 of LEATHER CHESTPLATE at X= -10127, Y= 66, Z= 3799
[2024-03-31 17:35:22] [world] The Player <GolemDaWanderer> has crafted 1 of LEATHER LEGGINGS at X= -10127, Y= 66, Z= 3799
[2024-03-31 17:35:24] [world] The Player <GolemDaWanderer> has crafted 1 of LEATHER BOOTS at X= -10127, Y= 66, Z= 3799
[2024-03-31 17:41:03] [world] The Player <GolemDaWanderer> has crafted 1 of STORAGE MINECART at X= -10039, Y= 64, Z= 3763
[2024-03-31 18:46:44] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= -9511, Y= 87, Z= 3740
[2024-03-31 18:46:46] [world] The Player <GolemDaWanderer> has crafted 1 of WORKBENCH at X= -9511, Y= 87, Z= 3740
[2024-03-31 19:20:50] [world] The Player <GolemDaWanderer> has crafted 1 of FLINT AND STEEL at X= -9359, Y= 71, Z= 3721
[2024-03-31 19:23:11] [world] The Player <GolemDaWanderer> has crafted 4 of WOOD at X= -9249, Y= 70, Z= 3694
