[2024-03-18 11:11:01] [world] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Zombie at X= -560, Y= 68, Z= 259
[2024-03-18 11:11:05] [world] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Zombie at X= -561, Y= 68, Z= 258
[2024-03-18 11:12:33] [world] [98c62a86-c05e-3c2a-926c-9d80e0e48fee] The Player <Rip_Dogwater> has slain Witch at X= -642, Y= 68, Z= 491
[2024-03-18 11:12:56] [world] [98c62a86-c05e-3c2a-926c-9d80e0e48fee] The Player <Rip_Dogwater> has slain Cow at X= -655, Y= 72, Z= 561
[2024-03-18 11:14:43] [world] [98c62a86-c05e-3c2a-926c-9d80e0e48fee] The Player <Rip_Dogwater> has slain Pig at X= -603, Y= 68, Z= 290
[2024-03-18 11:14:56] [world] [98c62a86-c05e-3c2a-926c-9d80e0e48fee] The Player <Rip_Dogwater> has slain Sheep at X= -623, Y= 68, Z= 308
[2024-03-18 11:19:16] [world] [98c62a86-c05e-3c2a-926c-9d80e0e48fee] The Player <Rip_Dogwater> has slain Rabbit at X= -700, Y= 64, Z= 161
[2024-03-18 11:21:03] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -147, Y= 70, Z= -90
[2024-03-18 11:21:34] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -146, Y= 71, Z= -91
[2024-03-18 11:21:43] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -149, Y= 70, Z= -97
[2024-03-18 11:21:52] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -92
[2024-03-18 11:22:06] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -135, Y= 70, Z= -84
[2024-03-18 11:22:12] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -130, Y= 71, Z= -87
[2024-03-18 11:22:45] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -133, Y= 70, Z= -84
[2024-03-18 11:22:53] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -145, Y= 69, Z= -95
[2024-03-18 11:22:58] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -135, Y= 70, Z= -84
[2024-03-18 11:23:05] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -145, Y= 70, Z= -93
[2024-03-18 11:23:28] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -92
[2024-03-18 11:23:30] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -149, Y= 71, Z= -92
[2024-03-18 11:24:05] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -145, Y= 69, Z= -95
[2024-03-18 11:24:22] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -148, Y= 70, Z= -92
[2024-03-18 11:24:41] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -147, Y= 67, Z= -97
