[2024-03-19 11:18:15] [world] [98c62a86-c05e-3c2a-926c-9d80e0e48fee] The Player <Rip_Dogwater> has slain Sheep at X= -572, Y= 68, Z= 275
[2024-03-19 11:18:16] [world] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Skeleton at X= -1350, Y= 67, Z= -225
[2024-03-19 11:18:42] [world] [07946ff9-6914-3d1e-ad20-1fb9707fe775] The Player <Koi> has slain Zombie Pigman at X= -575, Y= 69, Z= 307
[2024-03-19 11:19:17] [world] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Skeleton at X= -1328, Y= 67, Z= -262
[2024-03-19 11:19:56] [world] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Spider at X= -1312, Y= 68, Z= -239
[2024-03-19 11:20:20] [world] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Sheep at X= -1277, Y= 72, Z= -169
[2024-03-19 11:20:54] [world] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Sheep at X= -1315, Y= 72, Z= -190
[2024-03-19 11:24:41] [world] [b410a685-c097-3d5d-b67b-536b32f9addc] The Player <sharky> has slain Creeper at X= -497, Y= 77, Z= -490
[2024-03-19 11:31:06] [world] [0f1ddf40-2faa-3cb1-9a6c-78594b421e2f] The Player <General_Rihan> has slain Spider at X= -628, Y= 68, Z= 314
[2024-03-19 11:31:15] [world] [7e8da72a-cfff-3ef4-aa28-0a41015af521] The Player <I_am_amazing> has slain Chicken at X= -614, Y= 68, Z= 300
[2024-03-19 11:32:55] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -581, Y= 54, Z= 274
[2024-03-19 11:35:47] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -583, Y= 54, Z= 274
[2024-03-19 11:35:49] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -583, Y= 54, Z= 274
[2024-03-19 11:35:53] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -585, Y= 54, Z= 273
[2024-03-19 11:36:01] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -582, Y= 54, Z= 270
[2024-03-19 11:36:06] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -582, Y= 54, Z= 273
[2024-03-19 11:36:07] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -582, Y= 54, Z= 272
[2024-03-19 11:36:10] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -581, Y= 54, Z= 270
[2024-03-19 11:36:10] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -581, Y= 54, Z= 270
[2024-03-19 11:36:17] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -583, Y= 54, Z= 270
[2024-03-19 11:36:32] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -582, Y= 54, Z= 271
[2024-03-19 11:36:42] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -582, Y= 54, Z= 272
[2024-03-19 11:36:45] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -583, Y= 54, Z= 269
