[2024-03-20 19:09:59] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Sheep at X= -10240, Y= 64, Z= 4090
[2024-03-20 19:25:18] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10193, Y= 62, Z= 4082
[2024-03-20 19:39:57] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Creeper at X= -2591, Y= 65, Z= 548
[2024-03-20 19:40:20] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Endermite at X= -2542, Y= 64, Z= 570
[2024-03-20 19:40:28] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Sheep at X= -2527, Y= 64, Z= 577
[2024-03-20 19:40:54] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Chicken at X= -2589, Y= 63, Z= 590
[2024-03-20 19:41:47] [world] [7e8da72a-cfff-3ef4-aa28-0a41015af521] The Player <I_am_amazing> has slain Pig at X= -1347, Y= 70, Z= -209
[2024-03-20 19:43:49] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Rabbit at X= -2573, Y= 63, Z= 610
[2024-03-20 19:46:27] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Skeleton at X= -2598, Y= 66, Z= 564
[2024-03-20 19:46:32] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Skeleton at X= -2602, Y= 66, Z= 551
[2024-03-20 19:47:12] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Sheep at X= -2605, Y= 67, Z= 563
[2024-03-20 19:47:46] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= 77, Y= 60, Z= 3
[2024-03-20 19:48:02] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= 55, Y= 62, Z= 18
[2024-03-20 19:48:11] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= 53, Y= 62, Z= 19
[2024-03-20 19:48:35] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= 27, Y= 61, Z= 14
[2024-03-20 19:48:59] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Zombie at X= -2524, Y= 64, Z= 581
[2024-03-20 19:49:07] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= 66, Y= 61, Z= 14
[2024-03-20 19:50:19] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Spider at X= -620, Y= 69, Z= 346
[2024-03-20 19:50:27] [world_nether] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Zombie at X= -74, Y= 77, Z= 8
[2024-03-20 19:51:03] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Cow at X= -708, Y= 67, Z= 355
[2024-03-20 19:51:24] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Cow at X= -699, Y= 69, Z= 361
[2024-03-20 19:51:33] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Cow at X= -714, Y= 67, Z= 362
[2024-03-20 19:54:11] [world] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Sheep at X= -543, Y= 68, Z= 271
[2024-03-20 19:54:24] [world] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Squid at X= -546, Y= 62, Z= 31
[2024-03-20 19:54:35] [world] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Squid at X= -561, Y= 62, Z= 25
[2024-03-20 19:55:32] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= 88, Y= 57, Z= 1
[2024-03-20 19:55:48] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Skeleton at X= -2553, Y= 62, Z= 538
[2024-03-20 19:56:03] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Spider at X= -2570, Y= 64, Z= 535
[2024-03-20 19:56:07] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= 47, Y= 62, Z= 21
[2024-03-20 19:56:08] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Cow at X= -2578, Y= 64, Z= 545
[2024-03-20 19:56:39] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= -51, Y= 58, Z= 41
[2024-03-20 19:56:41] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Zombie at X= -2607, Y= 68, Z= 540
[2024-03-20 19:56:56] [world] [5878dbd7-b818-3ac2-a4e0-c8b00c792f6f] The Player <hexa> has slain Chicken at X= -2633, Y= 62, Z= 564
[2024-03-20 19:57:09] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= -57, Y= 39, Z= 2
[2024-03-20 20:00:20] [world] [7e8da72a-cfff-3ef4-aa28-0a41015af521] The Player <I_am_amazing> has slain Mudkips_Rule at X= -1493, Y= 10, Z= -339
[2024-03-20 20:07:43] [world] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Creeper at X= -1602, Y= 9, Z= -316
[2024-03-20 20:08:34] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Spider at X= -545, Y= 68, Z= 252
[2024-03-20 20:09:11] [world] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Spider at X= -551, Y= 64, Z= 289
