[2024-03-24 21:46:38] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Zombie at X= -581, Y= 68, Z= 285
[2024-03-24 21:50:17] [world_the_end] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Enderman at X= 63, Y= 62, Z= 12
[2024-03-24 21:51:25] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:25] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:27] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:27] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:27] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:29] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 38, Z= 4030
[2024-03-24 21:51:29] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 37, Z= 4030
[2024-03-24 21:51:30] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 37, Z= 4030
[2024-03-24 21:51:33] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:34] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:34] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:34] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:35] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:35] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:36] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:36] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:38] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:40] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:40] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:40] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:41] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:41] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:41] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:43] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:44] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:45] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:45] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:46] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:47] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:47] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:48] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:49] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:51:49] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:51] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:51] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:52] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:54] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:54] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:56] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:51:59] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:52:06] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:52:06] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:52:08] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:53:52] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Cow at X= -562, Y= 68, Z= 265
[2024-03-24 21:56:34] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:56:34] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:56:35] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:56:36] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:56:36] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:56:36] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:56:37] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10299, Y= 36, Z= 4031
[2024-03-24 21:56:37] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:56:37] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:56:38] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:56:39] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10300, Y= 36, Z= 4031
[2024-03-24 21:57:33] [world_the_end] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Rabbit at X= 104, Y= 21, Z= -4
[2024-03-24 21:59:33] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Chicken at X= -584, Y= 68, Z= 289
