[2024-03-26 23:00:13] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= -10266, Y= 64, Z= 4098
[2024-03-26 23:22:46] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -574, Y= 68, Z= 288
[2024-03-26 23:22:46] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -575, Y= 68, Z= 287
[2024-03-26 23:22:47] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -574, Y= 68, Z= 287
[2024-03-26 23:22:48] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -573, Y= 68, Z= 287
[2024-03-26 23:22:48] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -573, Y= 68, Z= 288
[2024-03-26 23:22:48] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -572, Y= 68, Z= 287
[2024-03-26 23:22:49] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -571, Y= 68, Z= 287
[2024-03-26 23:22:49] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -572, Y= 68, Z= 288
[2024-03-26 23:22:50] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -571, Y= 68, Z= 286
[2024-03-26 23:22:50] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -572, Y= 68, Z= 287
[2024-03-26 23:22:50] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -572, Y= 68, Z= 286
[2024-03-26 23:22:51] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -573, Y= 68, Z= 287
[2024-03-26 23:22:51] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -572, Y= 68, Z= 286
[2024-03-26 23:22:52] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -573, Y= 68, Z= 286
[2024-03-26 23:22:52] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -573, Y= 68, Z= 285
[2024-03-26 23:23:05] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Skeleton at X= -574, Y= 68, Z= 287
