[2024-03-27 13:41:04] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Spider at X= -603, Y= 68, Z= 248
[2024-03-27 14:35:38] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -594, Y= 68, Z= 251
[2024-03-27 20:04:52] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Spider at X= -562, Y= 68, Z= 282
[2024-03-27 20:07:01] [world_the_end] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Cow at X= 98, Y= 50, Z= 2
[2024-03-27 20:07:25] [world_the_end] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Horse at X= 74, Y= 60, Z= 4
[2024-03-27 20:07:33] [world_the_end] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Sheep at X= 51, Y= 62, Z= 23
[2024-03-27 21:26:14] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Slime at X= -565, Y= 6, Z= 291
[2024-03-27 21:26:15] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Slime at X= -566, Y= 6, Z= 291
[2024-03-27 21:26:17] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Slime at X= -565, Y= 6, Z= 290
[2024-03-27 21:26:17] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Slime at X= -565, Y= 6, Z= 289
[2024-03-27 21:26:18] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Slime at X= -565, Y= 5, Z= 291
[2024-03-27 21:26:20] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Slime at X= -564, Y= 7, Z= 291
[2024-03-27 21:26:22] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Slime at X= -563, Y= 7, Z= 291
[2024-03-27 21:28:08] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Wolf at X= -566, Y= 7, Z= 289
[2024-03-27 22:05:57] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Skeleton at X= -606, Y= 69, Z= 324
[2024-03-27 22:05:59] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Skeleton at X= -610, Y= 69, Z= 324
[2024-03-27 22:29:49] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Chicken at X= -592, Y= 68, Z= 352
[2024-03-27 23:13:31] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Tester at X= 1055, Y= 60, Z= 711
[2024-03-27 23:13:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Mooshroom at X= 1062, Y= 63, Z= 717
[2024-03-27 23:13:41] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Mooshroom at X= 1059, Y= 70, Z= 712
[2024-03-27 23:13:42] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Feathery at X= 1050, Y= 62, Z= 716
[2024-03-27 23:15:42] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Mooshroom at X= 1034, Y= 63, Z= 723
[2024-03-27 23:15:43] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Mooshroom at X= 1033, Y= 63, Z= 717
[2024-03-27 23:21:30] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Feathery at X= 1053, Y= 24, Z= 693
[2024-03-27 23:22:53] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Feathery at X= 1046, Y= 25, Z= 684
[2024-03-27 23:23:40] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Char at X= 1051, Y= 25, Z= 688
[2024-03-27 23:25:54] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Heinrich_Himmler at X= 1047, Y= 24, Z= 686
[2024-03-27 23:26:18] [world] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Heinrich_Himmler at X= 1051, Y= 24, Z= 686
[2024-03-27 23:26:45] [world] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Heinrich_Himmler at X= 1053, Y= 24, Z= 682
[2024-03-27 23:26:51] [world] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Char at X= 1051, Y= 24, Z= 684
[2024-03-27 23:26:59] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Char at X= -573, Y= 68, Z= 316
[2024-03-27 23:28:12] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Heinrich_Himmler at X= 1055, Y= 24, Z= 684
[2024-03-27 23:28:48] [world_nether] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -79, Y= 77, Z= 14
[2024-03-27 23:28:51] [world_nether] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -89, Y= 77, Z= 13
[2024-03-27 23:28:52] [world_nether] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -87, Y= 77, Z= 15
[2024-03-27 23:28:56] [world_nether] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -94, Y= 77, Z= 13
[2024-03-27 23:29:06] [world_nether] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -89, Y= 78, Z= 23
[2024-03-27 23:29:11] [world_nether] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -97, Y= 77, Z= 19
[2024-03-27 23:29:34] [world_nether] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -66, Y= 79, Z= 26
[2024-03-27 23:32:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain NezukoChan at X= 1050, Y= 24, Z= 687
