[2024-03-28 01:06:32] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= 11, Y= 57, Z= 67
[2024-03-28 01:06:39] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= 3, Y= 58, Z= 49
[2024-03-28 01:07:38] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -5, Y= 59, Z= 55
[2024-03-28 01:07:38] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -4, Y= 59, Z= 55
[2024-03-28 01:07:39] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -8, Y= 58, Z= 50
[2024-03-28 01:07:40] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -8, Y= 58, Z= 51
[2024-03-28 01:07:40] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -10, Y= 58, Z= 51
[2024-03-28 01:07:43] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -20, Y= 58, Z= 40
[2024-03-28 01:07:43] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -19, Y= 58, Z= 41
[2024-03-28 01:07:45] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -18, Y= 58, Z= 43
[2024-03-28 01:07:45] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -20, Y= 58, Z= 42
[2024-03-28 01:07:47] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -23, Y= 58, Z= 37
[2024-03-28 01:08:01] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= 0, Y= 59, Z= 61
[2024-03-28 01:08:05] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -3, Y= 59, Z= 60
[2024-03-28 01:08:05] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -6, Y= 59, Z= 58
[2024-03-28 02:10:15] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Heinrich_Himmler at X= 48, Y= 11, Z= 194
[2024-03-28 03:44:15] [world] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Creeper at X= -610, Y= 64, Z= 320
[2024-03-28 12:00:54] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Wither at X= -1097, Y= 67, Z= 1030
[2024-03-28 14:10:01] [world] [33450ac2-67be-3e98-8f50-67c7baef8c39] The Player <defnotnezuko> has slain Zombie at X= -613, Y= 64, Z= 338
[2024-03-28 14:15:31] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Cow at X= 98, Y= 49, Z= 0
[2024-03-28 14:15:32] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Pig at X= 99, Y= 49, Z= 2
[2024-03-28 14:15:34] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Chicken at X= 103, Y= 50, Z= -2
