[2024-03-30 19:12:45] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Zombie at X= 10351, Y= 72, Z= -10692
[2024-03-30 19:12:49] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Zombie at X= 10349, Y= 72, Z= -10699
[2024-03-30 19:13:01] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= 10350, Y= 72, Z= -10712
[2024-03-30 19:28:58] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= 10364, Y= 73, Z= -10930
[2024-03-30 19:33:40] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= 10327, Y= 64, Z= -11090
[2024-03-30 19:35:07] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Zombie at X= 10332, Y= 64, Z= -11126
[2024-03-31 02:05:14] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:14] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:15] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:15] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:16] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:16] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:17] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:17] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:18] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:18] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:18] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:19] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:19] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:20] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:20] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:21] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:21] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:21] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:22] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
[2024-03-31 02:05:22] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -10299, Y= 36, Z= 4030
