[2024-03-31 13:21:16] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Creeper at X= -580, Y= 70, Z= -233
[2024-03-31 13:25:04] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain BTC at X= -3130, Y= 41, Z= 831
[2024-03-31 13:26:45] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Cow at X= -607, Y= 68, Z= 268
[2024-03-31 14:00:35] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -553, Y= 64, Z= -178
[2024-03-31 14:15:19] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Skeleton at X= -737, Y= 68, Z= -36
[2024-03-31 14:38:39] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Chicken at X= -492, Y= 64, Z= -164
[2024-03-31 14:39:12] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Cow at X= -576, Y= 66, Z= -220
[2024-03-31 16:33:42] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -769, Y= 66, Z= -8
[2024-03-31 16:35:13] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -729, Y= 62, Z= 158
[2024-03-31 16:35:17] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Skeleton at X= -729, Y= 62, Z= 163
[2024-03-31 16:40:02] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Pig at X= -561, Y= 63, Z= -77
[2024-03-31 16:48:20] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Tester at X= -551, Y= 3, Z= -86
[2024-03-31 16:56:10] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Tester at X= -550, Y= 8, Z= -96
