[2024-03-18 11:06:21] [world] The Player <qwerty> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -497, Y= 73, Z= -498
[2024-03-18 11:26:30] [world] The Player <BigDickRandy> has extracted 9 of IRON_INGOT from a Furnace that's located at X= -177, Y= 87, Z= 4282
[2024-03-18 11:28:09] [world] The Player <BigDickRandy> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -177, Y= 87, Z= 4283
[2024-03-18 11:28:19] [world] The Player <BigDickRandy> has extracted 9 of GOLD_INGOT from a Furnace that's located at X= -177, Y= 88, Z= 4283
[2024-03-18 11:28:54] [world] The Player <BigDickRandy> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -177, Y= 87, Z= 4283
[2024-03-18 11:28:56] [world] The Player <BigDickRandy> has extracted 3 of GOLD_INGOT from a Furnace that's located at X= -177, Y= 87, Z= 4282
[2024-03-18 11:30:01] [world] The Player <BigDickRandy> has extracted 3 of GOLD_INGOT from a Furnace that's located at X= -177, Y= 87, Z= 4282
[2024-03-18 11:30:03] [world] The Player <BigDickRandy> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -177, Y= 87, Z= 4283
[2024-03-18 11:30:21] [world] The Player <BigDickRandy> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -177, Y= 87, Z= 4283
[2024-03-18 11:30:23] [world] The Player <BigDickRandy> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -177, Y= 87, Z= 4283
[2024-03-18 11:59:51] [world] The Player <character> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -733, Y= 36, Z= 171
[2024-03-18 12:07:29] [world] The Player <Sword4001> has extracted 1 of COOKED_MUTTON from a Furnace that's located at X= -562, Y= 66, Z= 290
[2024-03-18 13:56:40] [world] The Player <I_am_amazing> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -594, Y= 11, Z= 589
[2024-03-18 13:58:14] [world] The Player <I_am_amazing> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -594, Y= 11, Z= 589
[2024-03-18 13:59:14] [world] The Player <I_am_amazing> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -594, Y= 11, Z= 589
[2024-03-18 14:01:03] [world] The Player <I_am_amazing> has extracted 11 of IRON_INGOT from a Furnace that's located at X= -594, Y= 11, Z= 589
[2024-03-18 14:01:09] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -594, Y= 11, Z= 589
[2024-03-18 14:01:39] [world] The Player <I_am_amazing> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -594, Y= 11, Z= 589
[2024-03-18 14:03:13] [world] The Player <character> has extracted 51 of IRON_INGOT from a Furnace that's located at X= -733, Y= 36, Z= 171
[2024-03-18 14:04:22] [world] The Player <character> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -733, Y= 36, Z= 171
[2024-03-18 14:04:40] [world] The Player <Brycethelegend> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -591, Y= 11, Z= 190
[2024-03-18 14:04:47] [world] The Player <character> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -733, Y= 36, Z= 171
[2024-03-18 14:27:01] [world] The Player <Biggie_Vinny> has extracted 9 of IRON_INGOT from a Furnace that's located at X= -781, Y= 11, Z= 359
[2024-03-18 15:03:31] [world] The Player <Rip_Dogwater> has extracted 10 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-18 15:06:27] [world] The Player <Rip_Dogwater> has extracted 8 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-18 15:07:32] [world] The Player <Rip_Dogwater> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-18 15:41:37] [world] The Player <character> has extracted 31 of IRON_INGOT from a Furnace that's located at X= -734, Y= 36, Z= 171
[2024-03-18 15:41:42] [world] The Player <character> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -733, Y= 36, Z= 171
[2024-03-18 15:41:47] [world] The Player <character> has extracted 21 of GOLD_INGOT from a Furnace that's located at X= -734, Y= 35, Z= 171
[2024-03-18 20:28:40] [world] The Player <Sword4001> has extracted 1 of COOKED_MUTTON from a Furnace that's located at X= -706, Y= 64, Z= 179
[2024-03-18 20:29:35] [world] The Player <Sword4001> has extracted 5 of COOKED_BEEF from a Furnace that's located at X= -706, Y= 64, Z= 179
[2024-03-18 20:29:44] [world] The Player <Sword4001> has extracted 1 of COOKED_BEEF from a Furnace that's located at X= -706, Y= 64, Z= 179
