[2024-03-19 11:28:32] [world] The Player <sharky> has extracted 8 of IRON_INGOT from a Furnace that's located at X= -497, Y= 73, Z= -498
[2024-03-19 11:29:51] [world] The Player <sharky> has extracted 1 of STONE from a Furnace that's located at X= -497, Y= 73, Z= -498
[2024-03-19 11:30:17] [world] The Player <sharky> has extracted 2 of STONE from a Furnace that's located at X= -497, Y= 73, Z= -498
[2024-03-19 12:29:47] [world] The Player <qwerty> has extracted 1 of STONE from a Furnace that's located at X= -497, Y= 73, Z= -498
[2024-03-19 14:01:27] [world] The Player <VeerIsKKK> has extracted 56 of GLASS from a Furnace that's located at X= 508, Y= 105, Z= 2246
[2024-03-19 14:01:30] [world] The Player <VeerIsKKK> has extracted 55 of GLASS from a Furnace that's located at X= 508, Y= 104, Z= 2247
[2024-03-19 14:38:02] [world] The Player <The_Amazing_Yao> has extracted 2 of IRON_INGOT from a Furnace that's located at X= 580, Y= 29, Z= 2230
[2024-03-19 14:38:19] [world] The Player <dick_slap> has extracted 2 of COOKED_MUTTON from a Furnace that's located at X= -674, Y= 74, Z= 561
[2024-03-19 14:38:20] [world] The Player <The_Amazing_Yao> has extracted 2 of IRON_INGOT from a Furnace that's located at X= 580, Y= 29, Z= 2230
[2024-03-19 14:38:55] [world] The Player <The_Amazing_Yao> has extracted 3 of IRON_INGOT from a Furnace that's located at X= 580, Y= 29, Z= 2230
[2024-03-19 14:39:01] [world] The Player <The_Amazing_Yao> has extracted 1 of IRON_INGOT from a Furnace that's located at X= 580, Y= 29, Z= 2230
[2024-03-19 14:39:09] [world] The Player <dick_slap> has extracted 3 of COOKED_CHICKEN from a Furnace that's located at X= -674, Y= 74, Z= 561
[2024-03-19 14:39:29] [world] The Player <The_Amazing_Yao> has extracted 3 of IRON_INGOT from a Furnace that's located at X= 580, Y= 29, Z= 2230
[2024-03-19 14:39:46] [world] The Player <The_Amazing_Yao> has extracted 1 of IRON_INGOT from a Furnace that's located at X= 580, Y= 29, Z= 2230
[2024-03-19 14:41:12] [world] The Player <The_Amazing_Yao> has extracted 4 of IRON_INGOT from a Furnace that's located at X= 580, Y= 29, Z= 2230
[2024-03-19 20:20:51] [world] The Player <Mudkips_Rule> has extracted 1 of STONE from a Furnace that's located at X= -1354, Y= 63, Z= -264
[2024-03-19 20:21:03] [world] The Player <Mudkips_Rule> has extracted 2 of STONE from a Furnace that's located at X= -1354, Y= 64, Z= -266
[2024-03-19 20:21:06] [world] The Player <Mudkips_Rule> has extracted 1 of GLASS from a Furnace that's located at X= -1354, Y= 63, Z= -264
[2024-03-19 20:21:13] [world] The Player <Mudkips_Rule> has extracted 1 of GLASS from a Furnace that's located at X= -1354, Y= 63, Z= -264
[2024-03-19 20:21:14] [world] The Player <Mudkips_Rule> has extracted 1 of GLASS from a Furnace that's located at X= -1354, Y= 64, Z= -266
[2024-03-19 20:23:37] [world] The Player <Mudkips_Rule> has extracted 14 of GLASS from a Furnace that's located at X= -1354, Y= 64, Z= -266
[2024-03-19 20:23:39] [world] The Player <Mudkips_Rule> has extracted 14 of GLASS from a Furnace that's located at X= -1354, Y= 63, Z= -264
[2024-03-19 23:16:56] [world] The Player <NezukoChan> has extracted 3 of GLASS from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-19 23:35:45] [world] The Player <NezukoChan> has extracted 2 of GLASS from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-19 23:35:56] [world] The Player <NezukoChan> has extracted 1 of GLASS from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-19 23:37:54] [world] The Player <NezukoChan> has extracted 6 of GLASS from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-19 23:45:27] [world] The Player <NezukoChan> has extracted 1 of COOKED_CHICKEN from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-20 00:35:57] [world] The Player <NezukoChan> has extracted 22 of COOKED_BEEF from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 01:29:34] [world] The Player <astronomy> has extracted 6 of IRON_INGOT from a Furnace that's located at X= 1798, Y= 39, Z= 291
[2024-03-20 01:37:23] [world] The Player <astronomy> has extracted 46 of IRON_INGOT from a Furnace that's located at X= 1798, Y= 39, Z= 291
[2024-03-20 11:59:19] [world] The Player <digbick> has extracted 5 of GLASS from a Furnace that's located at X= -689, Y= 71, Z= 306
[2024-03-20 12:00:05] [world] The Player <digbick> has extracted 5 of GLASS from a Furnace that's located at X= -689, Y= 71, Z= 306
[2024-03-20 12:00:34] [world] The Player <digbick> has extracted 3 of GLASS from a Furnace that's located at X= -689, Y= 71, Z= 306
[2024-03-20 12:01:28] [world] The Player <digbick> has extracted 5 of GLASS from a Furnace that's located at X= -689, Y= 71, Z= 306
[2024-03-20 12:01:58] [world] The Player <digbick> has extracted 1 of GLASS from a Furnace that's located at X= -689, Y= 71, Z= 306
[2024-03-20 12:34:36] [world] The Player <Tester> has extracted 8 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 12:34:37] [world] The Player <Tester> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-20 12:41:08] [world] The Player <Tester> has extracted 34 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 12:41:58] [world] The Player <Tester> has extracted 36 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-20 12:42:01] [world] The Player <Tester> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 13:40:18] [world] The Player <Tester> has extracted 16 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 13:49:48] [world] The Player <qwerty> has extracted 36 of IRON_INGOT from a Furnace that's located at X= -497, Y= 73, Z= -499
[2024-03-20 13:51:28] [world] The Player <qwerty> has extracted 7 of GOLD_INGOT from a Furnace that's located at X= -497, Y= 73, Z= -498
[2024-03-20 13:52:59] [world] The Player <Mudkips_Rule> has extracted 17 of GLASS from a Furnace that's located at X= -1354, Y= 64, Z= -266
[2024-03-20 14:09:24] [world] The Player <somebody139> has extracted 3 of GOLD_INGOT from a Furnace that's located at X= -497, Y= 73, Z= -498
[2024-03-20 14:09:36] [world] The Player <proman50> has extracted 2 of GRILLED_PORK from a Furnace that's located at X= -610, Y= 32, Z= 211
[2024-03-20 14:09:55] [world] The Player <proman50> has extracted 2 of GRILLED_PORK from a Furnace that's located at X= -610, Y= 32, Z= 211
[2024-03-20 14:10:14] [world] The Player <proman50> has extracted 1 of COOKED_MUTTON from a Furnace that's located at X= -610, Y= 32, Z= 211
[2024-03-20 14:10:20] [world] The Player <proman50> has extracted 1 of COOKED_MUTTON from a Furnace that's located at X= -610, Y= 32, Z= 211
[2024-03-20 14:10:50] [world] The Player <proman50> has extracted 2 of COOKED_CHICKEN from a Furnace that's located at X= -610, Y= 32, Z= 211
[2024-03-20 14:10:55] [world] The Player <proman50> has extracted 1 of COOKED_CHICKEN from a Furnace that's located at X= -610, Y= 32, Z= 211
[2024-03-20 14:10:58] [world] The Player <Mudkips_Rule> has extracted 16 of GLASS from a Furnace that's located at X= -1354, Y= 63, Z= -264
[2024-03-20 14:12:45] [world] The Player <Tester> has extracted 7 of GOLD_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-20 14:12:46] [world] The Player <Tester> has extracted 7 of GOLD_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 14:12:49] [world] The Player <proman50> has extracted 10 of IRON_INGOT from a Furnace that's located at X= -610, Y= 32, Z= 211
[2024-03-20 14:12:52] [world] The Player <proman50> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -610, Y= 32, Z= 211
[2024-03-20 14:12:59] [world] The Player <proman50> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -610, Y= 32, Z= 211
[2024-03-20 14:13:11] [world] The Player <proman50> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -610, Y= 32, Z= 211
[2024-03-20 14:13:21] [world] The Player <proman50> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -610, Y= 32, Z= 211
[2024-03-20 14:13:46] [world] The Player <Tester> has extracted 5 of GOLD_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-20 14:13:47] [world] The Player <Tester> has extracted 5 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 14:20:14] [world] The Player <Tester> has extracted 12 of IRON_INGOT from a Furnace that's located at X= -558, Y= 89, Z= 268
[2024-03-20 14:20:15] [world] The Player <Tester> has extracted 12 of IRON_INGOT from a Furnace that's located at X= -558, Y= 90, Z= 268
[2024-03-20 14:28:06] [world] The Player <Brycethelegend> has extracted 1 of COOKED_CHICKEN from a Furnace that's located at X= -1354, Y= 64, Z= -266
[2024-03-20 14:34:00] [world] The Player <Brycethelegend> has extracted 36 of GLASS from a Furnace that's located at X= -1354, Y= 63, Z= -264
[2024-03-20 14:34:50] [world] The Player <Dave_TheCoolGuy> has extracted 5 of IRON_INGOT from a Furnace that's located at X= -794, Y= 27, Z= 373
[2024-03-20 14:37:52] [world] The Player <Tester> has extracted 9 of GOLD_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-20 14:37:56] [world] The Player <Tester> has extracted 9 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 14:38:13] [world] The Player <Dave_TheCoolGuy> has extracted 5 of GOLD_INGOT from a Furnace that's located at X= -794, Y= 27, Z= 373
[2024-03-20 14:40:24] [world] The Player <Dave_TheCoolGuy> has extracted 10 of IRON_INGOT from a Furnace that's located at X= -794, Y= 27, Z= 373
[2024-03-20 14:41:31] [world] The Player <Dave_TheCoolGuy> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -794, Y= 27, Z= 373
[2024-03-20 14:41:39] [world] The Player <Dave_TheCoolGuy> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -794, Y= 27, Z= 373
[2024-03-20 14:56:45] [world] The Player <Rip_Dogwater> has extracted 40 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 14:56:47] [world] The Player <Rip_Dogwater> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 14:58:04] [world] The Player <Rip_Dogwater> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 14:58:22] [world] The Player <Rip_Dogwater> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 15:05:43] [world] The Player <Rip_Dogwater> has extracted 21 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 15:09:24] [world] The Player <Rip_Dogwater> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 15:26:49] [world] The Player <qwerty> has extracted 1 of GOLD_INGOT from a Furnace that's located at X= -666, Y= 97, Z= -783
[2024-03-20 15:30:43] [world] The Player <Rip_Dogwater> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 15:32:44] [world] The Player <hexa> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -2544, Y= 64, Z= 560
[2024-03-20 15:34:23] [world] The Player <Rip_Dogwater> has extracted 7 of GLASS from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 15:44:17] [world] The Player <qwerty> has extracted 29 of IRON_INGOT from a Furnace that's located at X= -666, Y= 98, Z= -783
[2024-03-20 15:44:21] [world] The Player <qwerty> has extracted 10 of GOLD_INGOT from a Furnace that's located at X= -666, Y= 97, Z= -783
[2024-03-20 15:48:14] [world] The Player <qwerty> has extracted 9 of COOKED_BEEF from a Furnace that's located at X= -666, Y= 98, Z= -783
[2024-03-20 15:48:30] [world] The Player <Rip_Dogwater> has extracted 57 of GLASS from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 15:48:34] [world] The Player <qwerty> has extracted 1 of COOKED_RABBIT from a Furnace that's located at X= -666, Y= 97, Z= -783
[2024-03-20 15:49:58] [world] The Player <hexa> has extracted 9 of GOLD_INGOT from a Furnace that's located at X= -2543, Y= 64, Z= 560
[2024-03-20 15:50:04] [world] The Player <hexa> has extracted 1 of GOLD_INGOT from a Furnace that's located at X= -2543, Y= 64, Z= 560
[2024-03-20 15:50:09] [world] The Player <hexa> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -2544, Y= 64, Z= 560
[2024-03-20 15:50:24] [world] The Player <hexa> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -2543, Y= 64, Z= 560
[2024-03-20 15:53:07] [world] The Player <qwerty> has extracted 4 of COOKED_BEEF from a Furnace that's located at X= -666, Y= 98, Z= -783
[2024-03-20 16:02:28] [world] The Player <hexa> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -2543, Y= 64, Z= 560
[2024-03-20 16:07:45] [world] The Player <A_Random_Person> has extracted 13 of GRILLED_PORK from a Furnace that's located at X= -547, Y= 89, Z= 243
[2024-03-20 16:10:57] [world] The Player <A_Random_Person> has extracted 5 of GOLD_INGOT from a Furnace that's located at X= -547, Y= 88, Z= 243
[2024-03-20 16:11:56] [world] The Player <A_Random_Person> has extracted 22 of IRON_INGOT from a Furnace that's located at X= -548, Y= 88, Z= 243
[2024-03-20 16:12:01] [world] The Player <A_Random_Person> has extracted 24 of IRON_INGOT from a Furnace that's located at X= -549, Y= 88, Z= 243
[2024-03-20 16:23:53] [world] The Player <Rip_Dogwater> has extracted 28 of GLASS from a Furnace that's located at X= -1354, Y= 63, Z= -264
[2024-03-20 16:26:47] [world] The Player <hexa> has extracted 28 of IRON_INGOT from a Furnace that's located at X= -2543, Y= 64, Z= 560
[2024-03-20 16:26:54] [world] The Player <hexa> has extracted 2 of GOLD_INGOT from a Furnace that's located at X= -2544, Y= 64, Z= 560
[2024-03-20 16:38:37] [world] The Player <hexa> has extracted 1 of COOKED_CHICKEN from a Furnace that's located at X= -2543, Y= 64, Z= 560
[2024-03-20 16:38:41] [world] The Player <hexa> has extracted 1 of COOKED_CHICKEN from a Furnace that's located at X= -2543, Y= 64, Z= 560
[2024-03-20 16:39:04] [world] The Player <hexa> has extracted 3 of COOKED_BEEF from a Furnace that's located at X= -2544, Y= 64, Z= 560
[2024-03-20 16:39:09] [world] The Player <hexa> has extracted 2 of GRILLED_PORK from a Furnace that's located at X= -2543, Y= 64, Z= 560
[2024-03-20 16:49:19] [world] The Player <Tester> has extracted 16 of GOLD_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-20 16:59:40] [world] The Player <Brycethelegend> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -689, Y= 71, Z= 306
[2024-03-20 17:20:32] [world] The Player <Clownpierce> has extracted 12 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 17:22:32] [world] The Player <Clownpierce> has extracted 11 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 17:23:24] [world] The Player <Clownpierce> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
