[2024-03-20 19:23:14] [world] The Player <I_am_amazing> has extracted 2 of GRILLED_PORK from a Furnace that's located at X= -1354, Y= 63, Z= -264
[2024-03-20 19:33:41] [world] The Player <Brycethelegend> has extracted 1 of COOKED_CHICKEN from a Furnace that's located at X= -1354, Y= 64, Z= -266
[2024-03-20 19:34:32] [world] The Player <hexa> has extracted 1 of COOKED_BEEF from a Furnace that's located at X= -2544, Y= 64, Z= 560
[2024-03-20 19:34:44] [world] The Player <hexa> has extracted 14 of GRILLED_PORK from a Furnace that's located at X= -2543, Y= 64, Z= 560
[2024-03-20 19:35:10] [world] The Player <Brycethelegend> has extracted 8 of GOLD_INGOT from a Furnace that's located at X= -1354, Y= 64, Z= -266
[2024-03-20 19:36:43] [world] The Player <Tester> has extracted 7 of GOLD_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-20 19:40:19] [world] The Player <Brycethelegend> has extracted 9 of GOLD_INGOT from a Furnace that's located at X= -1354, Y= 64, Z= -266
[2024-03-20 19:40:32] [world] The Player <Tester> has extracted 5 of GOLD_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-20 19:40:35] [world] The Player <Tester> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 19:42:52] [world] The Player <Tester> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-20 20:10:41] [world] The Player <theproman3387> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -548, Y= 66, Z= 409
[2024-03-20 20:15:17] [world] The Player <theproman3387> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -548, Y= 66, Z= 409
[2024-03-20 20:38:20] [world] The Player <A_Random_Person> has extracted 27 of IRON_INGOT from a Furnace that's located at X= -1352, Y= 67, Z= -241
[2024-03-20 20:44:30] [world] The Player <A_Random_Person> has extracted 39 of IRON_INGOT from a Furnace that's located at X= -548, Y= 88, Z= 243
[2024-03-20 20:44:37] [world] The Player <A_Random_Person> has extracted 40 of IRON_INGOT from a Furnace that's located at X= -549, Y= 88, Z= 243
