[2024-03-21 20:00:00] [world] The Player <character> has extracted 26 of GLASS from a Furnace that's located at X= -377, Y= 88, Z= -62
[2024-03-21 20:16:21] [world] The Player <NezukoChan> has extracted 64 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-21 20:24:10] [world] The Player <astronomy> has extracted 9 of IRON_INGOT from a Furnace that's located at X= 1798, Y= 39, Z= 289
[2024-03-21 20:24:31] [world] The Player <Mudkips_Rule> has extracted 34 of GLASS from a Furnace that's located at X= -1154, Y= 66, Z= -434
[2024-03-21 20:42:02] [world] The Player <Mudkips_Rule> has extracted 22 of GLASS from a Furnace that's located at X= -1154, Y= 66, Z= -434
[2024-03-21 21:54:27] [world] The Player <Tester> has extracted 15 of GOLD_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-21 21:54:28] [world] The Player <Tester> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-21 22:32:05] [world_nether] The Player <Heinrich_Himmler> has extracted 46 of IRON_INGOT from a Furnace that's located at X= 12501, Y= 128, Z= 3
[2024-03-21 23:52:53] [world_nether] The Player <Heinrich_Himmler> has extracted 5 of IRON_INGOT from a Furnace that's located at X= 12501, Y= 128, Z= 3
[2024-03-21 23:58:52] [world_nether] The Player <Heinrich_Himmler> has extracted 15 of IRON_INGOT from a Furnace that's located at X= 12501, Y= 128, Z= 3
[2024-03-21 23:59:51] [world_nether] The Player <Heinrich_Himmler> has extracted 6 of IRON_INGOT from a Furnace that's located at X= 12501, Y= 128, Z= 3
[2024-03-22 02:46:45] [world_nether] The Player <Heinrich_Himmler> has extracted 5 of IRON_INGOT from a Furnace that's located at X= 12501, Y= 128, Z= 3
[2024-03-22 06:12:50] [world] The Player <astronomy> has extracted 1 of COOKED_BEEF from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-22 06:12:53] [world] The Player <astronomy> has extracted 1 of COOKED_BEEF from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-22 06:12:59] [world] The Player <astronomy> has extracted 5 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 06:13:09] [world] The Player <astronomy> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 06:13:29] [world] The Player <astronomy> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 06:14:19] [world] The Player <astronomy> has extracted 5 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 06:14:32] [world] The Player <astronomy> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 06:14:38] [world] The Player <astronomy> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 06:14:48] [world] The Player <astronomy> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 06:14:55] [world] The Player <astronomy> has extracted 12 of COOKED_BEEF from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-22 06:18:44] [world] The Player <astronomy> has extracted 6 of COOKED_BEEF from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-22 06:18:50] [world] The Player <astronomy> has extracted 13 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 06:19:02] [world] The Player <astronomy> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 06:21:13] [world] The Player <astronomy> has extracted 13 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 06:21:20] [world] The Player <astronomy> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 06:21:30] [world] The Player <astronomy> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 11:18:21] [world] The Player <Mudkips_Rule> has extracted 15 of GLASS from a Furnace that's located at X= -1154, Y= 66, Z= -434
[2024-03-22 11:18:23] [world] The Player <Mudkips_Rule> has extracted 16 of GLASS from a Furnace that's located at X= -1151, Y= 66, Z= -434
[2024-03-22 11:18:28] [world] The Player <Mudkips_Rule> has extracted 1 of GLASS from a Furnace that's located at X= -1151, Y= 66, Z= -434
[2024-03-22 12:18:22] [world] The Player <Tester> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -10167, Y= 65, Z= 4118
[2024-03-22 12:26:49] [world] The Player <Tester> has extracted 1 of IRON_INGOT from a Furnace that's located at X= 1000758, Y= 52, Z= 1000805
[2024-03-22 13:08:19] [world] The Player <hexa> has extracted 9 of GOLD_INGOT from a Furnace that's located at X= 500002, Y= 24, Z= 48392
[2024-03-22 13:10:09] [world] The Player <hexa> has extracted 11 of GOLD_INGOT from a Furnace that's located at X= 500002, Y= 24, Z= 48392
[2024-03-22 13:10:30] [world] The Player <hexa> has extracted 1 of GOLD_INGOT from a Furnace that's located at X= 500002, Y= 24, Z= 48392
[2024-03-22 13:26:15] [world] The Player <I_am_amazing> has extracted 12 of IRON_INGOT from a Furnace that's located at X= -595, Y= 10, Z= 585
[2024-03-22 13:26:17] [world] The Player <I_am_amazing> has extracted 10 of IRON_INGOT from a Furnace that's located at X= -595, Y= 9, Z= 586
[2024-03-22 13:26:17] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -595, Y= 9, Z= 586
[2024-03-22 13:26:32] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -595, Y= 9, Z= 586
[2024-03-22 13:26:33] [world] The Player <I_am_amazing> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -595, Y= 10, Z= 585
[2024-03-22 13:28:03] [world] The Player <Tester> has extracted 7 of GOLD_INGOT from a Furnace that's located at X= -10167, Y= 64, Z= 4118
[2024-03-22 13:28:11] [world] The Player <I_am_amazing> has extracted 10 of IRON_INGOT from a Furnace that's located at X= -595, Y= 9, Z= 586
[2024-03-22 13:28:13] [world] The Player <I_am_amazing> has extracted 9 of IRON_INGOT from a Furnace that's located at X= -595, Y= 10, Z= 585
[2024-03-22 13:28:19] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -595, Y= 9, Z= 586
