[2024-03-28 00:57:32] [world] The Player <xcpc> has extracted 13 of COOKED_BEEF from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 02:17:35] [world_the_end] The Player <Heinrich_Himmler> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -14, Y= 62, Z= -68
[2024-03-28 15:12:10] [world] The Player <xcpc> has extracted 8 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:12:26] [world] The Player <xcpc> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:13:14] [world] The Player <xcpc> has extracted 5 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:13:20] [world] The Player <xcpc> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:13:30] [world] The Player <xcpc> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:13:40] [world] The Player <xcpc> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:14:38] [world] The Player <xcpc> has extracted 5 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:15:22] [world] The Player <xcpc> has extracted 5 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:16:10] [world] The Player <xcpc> has extracted 5 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:16:37] [world] The Player <xcpc> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:17:30] [world] The Player <xcpc> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:18:10] [world] The Player <xcpc> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:18:24] [world] The Player <xcpc> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:18:47] [world] The Player <xcpc> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:19:07] [world] The Player <xcpc> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:19:30] [world] The Player <xcpc> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:20:13] [world] The Player <xcpc> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 15:26:09] [world] The Player <xcpc> has extracted 24 of IRON_INGOT from a Furnace that's located at X= -451, Y= 71, Z= 253
[2024-03-28 17:12:02] [world] The Player <xcpc> has extracted 1 of GLASS from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 17:12:06] [world] The Player <xcpc> has extracted 1 of GLASS from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 17:12:33] [world] The Player <xcpc> has extracted 2 of GLASS from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 17:13:15] [world] The Player <xcpc> has extracted 4 of GLASS from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 17:13:18] [world] The Player <xcpc> has extracted 1 of GLASS from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 17:15:06] [world] The Player <xcpc> has extracted 10 of GLASS from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 17:56:47] [world] The Player <xcpc> has extracted 5 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 17:58:13] [world] The Player <xcpc> has extracted 8 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 17:59:16] [world] The Player <xcpc> has extracted 6 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 17:59:18] [world] The Player <xcpc> has extracted 1 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 17:59:50] [world] The Player <xcpc> has extracted 3 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 18:00:23] [world] The Player <xcpc> has extracted 3 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 18:00:46] [world] The Player <xcpc> has extracted 2 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 18:03:08] [world] The Player <xcpc> has extracted 15 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 18:04:16] [world] The Player <xcpc> has extracted 6 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 18:18:40] [world] The Player <xcpc> has extracted 6 of IRON_INGOT from a Furnace that's located at X= -294, Y= 13, Z= 210
[2024-03-28 18:18:51] [world] The Player <xcpc> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -294, Y= 13, Z= 210
[2024-03-28 18:18:59] [world] The Player <xcpc> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -294, Y= 13, Z= 210
[2024-03-28 18:19:57] [world] The Player <xcpc> has extracted 5 of IRON_INGOT from a Furnace that's located at X= -294, Y= 13, Z= 210
[2024-03-28 18:20:00] [world] The Player <xcpc> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -294, Y= 13, Z= 210
[2024-03-28 18:20:16] [world] The Player <xcpc> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -294, Y= 13, Z= 210
[2024-03-28 18:20:44] [world] The Player <xcpc> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -294, Y= 13, Z= 210
[2024-03-28 18:20:59] [world] The Player <xcpc> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -294, Y= 13, Z= 210
[2024-03-28 18:21:40] [world] The Player <xcpc> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -294, Y= 13, Z= 210
[2024-03-28 18:32:24] [world] The Player <xcpc> has extracted 28 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 18:38:52] [world] The Player <xcpc> has extracted 20 of GOLD_INGOT from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 18:39:46] [world] The Player <xcpc> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 18:41:36] [world] The Player <xcpc> has extracted 11 of IRON_INGOT from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 21:02:08] [world] The Player <BTC> has extracted 10 of IRON_INGOT from a Furnace that's located at X= 621, Y= 9, Z= 148
[2024-03-28 23:10:21] [world] The Player <xcpc> has extracted 46 of IRON_INGOT from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 23:11:33] [world] The Player <xcpc> has extracted 5 of COOKED_CHICKEN from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-28 23:19:30] [world] The Player <xcpc> has extracted 48 of COOKED_CHICKEN from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 03:24:33] [world] The Player <GolemDaWanderer> has extracted 17 of IRON_INGOT from a Furnace that's located at X= 10001, Y= 66, Z= -9997
[2024-03-29 16:26:51] [world] The Player <xcpc> has extracted 64 of COOKED_CHICKEN from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 16:27:51] [world] The Player <xcpc> has extracted 4 of COOKED_CHICKEN from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 16:33:23] [world] The Player <xcpc> has extracted 33 of COOKED_CHICKEN from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 16:34:02] [world] The Player <xcpc> has extracted 4 of COOKED_CHICKEN from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 16:35:05] [world] The Player <xcpc> has extracted 3 of COOKED_CHICKEN from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 17:39:45] [world] The Player <xcpc> has extracted 2 of STONE from a Furnace that's located at X= -312, Y= 64, Z= 272
[2024-03-29 17:39:54] [world] The Player <xcpc> has extracted 1 of STONE from a Furnace that's located at X= -312, Y= 64, Z= 272
[2024-03-29 18:08:21] [world] The Player <xcpc> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 18:08:27] [world] The Player <xcpc> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 18:09:32] [world] The Player <xcpc> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 18:19:11] [world] The Player <xcpc> has extracted 18 of COOKED_RABBIT from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 18:54:58] [world] The Player <xcpc> has extracted 8 of COOKED_CHICKEN from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 19:22:31] [world] The Player <xcpc> has extracted 2 of COOKED_CHICKEN from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 19:22:38] [world] The Player <xcpc> has extracted 64 of STONE from a Furnace that's located at X= -312, Y= 64, Z= 272
[2024-03-29 19:29:59] [world] The Player <xcpc> has extracted 6 of STONE from a Furnace that's located at X= -312, Y= 64, Z= 272
[2024-03-29 19:30:05] [world] The Player <xcpc> has extracted 7 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 19:30:09] [world] The Player <xcpc> has extracted 1 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 19:30:44] [world] The Player <xcpc> has extracted 4 of STONE from a Furnace that's located at X= -312, Y= 64, Z= 272
[2024-03-29 19:30:51] [world] The Player <xcpc> has extracted 4 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 19:46:21] [world] The Player <xcpc> has extracted 8 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 19:46:27] [world] The Player <xcpc> has extracted 10 of STONE from a Furnace that's located at X= -312, Y= 64, Z= 272
[2024-03-29 21:49:21] [world] The Player <xcpc> has extracted 27 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 21:49:27] [world] The Player <xcpc> has extracted 27 of STONE from a Furnace that's located at X= -312, Y= 64, Z= 272
[2024-03-29 22:49:47] [world] The Player <xcpc> has extracted 17 of STONE from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 22:49:53] [world] The Player <xcpc> has extracted 17 of STONE from a Furnace that's located at X= -312, Y= 64, Z= 272
[2024-03-29 22:52:10] [world] The Player <xcpc> has extracted 5 of GOLD_INGOT from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 23:22:09] [world] The Player <xcpc> has extracted 3 of GOLD_INGOT from a Furnace that's located at X= -307, Y= 70, Z= 273
[2024-03-29 23:22:16] [world] The Player <xcpc> has extracted 11 of IRON_INGOT from a Furnace that's located at X= -312, Y= 64, Z= 272
