[2024-03-17 22:33:36] [world] The Player <Heinrich_Himmler> has picked 1 of DIRT at X= -601, Y= 67, Z= 369 that had [] enchantment(s) |  
[2024-03-17 22:33:46] [world] The Player <TurtleDuck> has picked 1 of WOOL at X= -579, Y= 68, Z= 279 that had [] enchantment(s) |  
[2024-03-17 22:34:04] [world] The Player <TurtleDuck> has picked 1 of WOOL at X= -580, Y= 68, Z= 285 that had [] enchantment(s) |  
[2024-03-17 22:34:10] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -706, Y= 67, Z= 458 that had [] enchantment(s) |  
[2024-03-17 22:34:13] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -707, Y= 66, Z= 458 that had [] enchantment(s) |  
[2024-03-17 22:34:17] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -705, Y= 67, Z= 459 that had [] enchantment(s) |  
[2024-03-17 22:34:20] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -705, Y= 67, Z= 457 that had [] enchantment(s) |  
[2024-03-17 22:34:23] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -707, Y= 68, Z= 457 that had [] enchantment(s) |  
[2024-03-17 22:34:27] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -706, Y= 67, Z= 458 that had [] enchantment(s) |  
[2024-03-17 22:34:31] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -706, Y= 66, Z= 457 that had [] enchantment(s) |  
[2024-03-17 22:34:42] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -694, Y= 69, Z= 467 that had [] enchantment(s) |  
[2024-03-17 22:34:46] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -694, Y= 69, Z= 465 that had [] enchantment(s) |  
[2024-03-17 22:34:51] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -694, Y= 69, Z= 468 that had [] enchantment(s) |  
[2024-03-17 22:35:08] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -663, Y= 67, Z= 469 that had [] enchantment(s) |  
[2024-03-17 22:35:12] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -663, Y= 67, Z= 468 that had [] enchantment(s) |  
[2024-03-17 22:35:15] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -664, Y= 68, Z= 469 that had [] enchantment(s) |  
[2024-03-17 22:35:25] [world] The Player <Heinrich_Himmler> has picked 2 of LOG_2 at X= -663, Y= 66, Z= 469 that had [] enchantment(s) |  
[2024-03-17 22:35:26] [world] The Player <Heinrich_Himmler> has picked 1 of LOG_2 at X= -662, Y= 64, Z= 469 that had [] enchantment(s) |  
[2024-03-17 22:35:43] [world] The Player <Heinrich_Himmler> has picked 1 of SAPLING at X= -667, Y= 66, Z= 471 that had [] enchantment(s) |  
[2024-03-17 22:36:08] [world] The Player <Tester> has picked 4 of NETHER_STALK at X= -10195, Y= 63, Z= 4098 that had [] enchantment(s) |  
[2024-03-17 22:36:38] [world] The Player <bagelz> has picked 1 of STEP at X= 1041, Y= 106, Z= 2327 that had [] enchantment(s) |  
[2024-03-17 22:36:40] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1040, Y= 105, Z= 2327 that had [] enchantment(s) |  
[2024-03-17 22:36:56] [world] The Player <bagelz> has picked 2 of STEP at X= 1035, Y= 106, Z= 2327 that had [] enchantment(s) |  
[2024-03-17 22:37:37] [world] The Player <bagelz> has picked 1 of STEP at X= 1025, Y= 105, Z= 2309 that had [] enchantment(s) |  
[2024-03-17 22:37:38] [world] The Player <bagelz> has picked 2 of STEP at X= 1025, Y= 105, Z= 2310 that had [] enchantment(s) |  
[2024-03-17 22:37:50] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1040, Y= 105, Z= 2326 that had [] enchantment(s) |  
[2024-03-17 22:38:41] [world] The Player <bagelz> has picked 1 of MINECART at X= 1050, Y= 5, Z= 2445 that had [] enchantment(s) |  
[2024-03-17 22:38:57] [world_nether] The Player <Heinrich_Himmler> has picked 1 of LADDER at X= 12501, Y= 103, Z= -3 that had [] enchantment(s) |  
[2024-03-17 22:39:05] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1150, Y= 5, Z= 2457 that had [] enchantment(s) |  
[2024-03-17 22:39:05] [world] The Player <bagelz> has picked 1 of STONE at X= 1150, Y= 6, Z= 2457 that had [] enchantment(s) |  
[2024-03-17 22:39:06] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1151, Y= 5, Z= 2457 that had [] enchantment(s) |  
