[2024-03-18 01:30:14] [world] The Player <NezukoChan> has picked 1 of DIRT at X= 100004, Y= 12, Z= 60 that had [] enchantment(s) |  
[2024-03-18 01:32:28] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10188, Y= 65, Z= 4123 that had [] enchantment(s) |  
[2024-03-18 01:32:29] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10188, Y= 64, Z= 4123 that had [] enchantment(s) |  
[2024-03-18 01:32:30] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10188, Y= 65, Z= 4124 that had [] enchantment(s) |  
[2024-03-18 01:32:31] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10188, Y= 64, Z= 4124 that had [] enchantment(s) |  
[2024-03-18 01:32:33] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10188, Y= 64, Z= 4124 that had [] enchantment(s) |  
[2024-03-18 01:32:34] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10188, Y= 64, Z= 4125 that had [] enchantment(s) |  
[2024-03-18 01:32:35] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10187, Y= 65, Z= 4125 that had [] enchantment(s) |  
[2024-03-18 01:32:35] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10187, Y= 64, Z= 4125 that had [] enchantment(s) |  
[2024-03-18 01:32:37] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10186, Y= 64, Z= 4125 that had [] enchantment(s) |  
[2024-03-18 01:32:50] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10186, Y= 64, Z= 4124 that had [] enchantment(s) |  
[2024-03-18 01:35:41] [world_the_end] The Player <Tester> has picked 2 of ENDER_STONE at X= -43, Y= 65, Z= -5 that had [] enchantment(s) |  
[2024-03-18 01:35:43] [world_the_end] The Player <Tester> has picked 1 of ENDER_STONE at X= -44, Y= 65, Z= -6 that had [] enchantment(s) |  
[2024-03-18 01:35:55] [world_the_end] The Player <Tester> has picked 5 of ENDER_STONE at X= -41, Y= 65, Z= -11 that had [] enchantment(s) |  
[2024-03-18 01:36:10] [world] The Player <Tester> has picked 2 of ENDER_STONE at X= -575, Y= 66, Z= 315 that had [] enchantment(s) |  
[2024-03-18 10:35:37] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -526, Y= 71, Z= -456 that had [] enchantment(s) |  
[2024-03-18 10:35:38] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -526, Y= 71, Z= -456 that had [] enchantment(s) |  
[2024-03-18 10:35:38] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -527, Y= 70, Z= -456 that had [] enchantment(s) |  
[2024-03-18 10:35:44] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -527, Y= 70, Z= -456 that had [] enchantment(s) |  
[2024-03-18 10:35:47] [world] The Player <sharky> has picked 5 of SANDSTONE at X= -530, Y= 70, Z= -456 that had [] enchantment(s) |  
[2024-03-18 10:35:48] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -529, Y= 70, Z= -456 that had [] enchantment(s) |  
[2024-03-18 10:35:48] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -530, Y= 71, Z= -457 that had [] enchantment(s) |  
[2024-03-18 11:06:04] [world] The Player <qwerty> has picked 2 of SAND at X= -493, Y= 72, Z= -491 that had [] enchantment(s) |  
[2024-03-18 11:11:07] [world] The Player <qwerty> has picked 2 of ROTTEN_FLESH at X= -560, Y= 68, Z= 258 that had [] enchantment(s) |  
[2024-03-18 11:12:39] [world] The Player <Rip_Dogwater> has picked 2 of STICK at X= -643, Y= 68, Z= 490 that had [] enchantment(s) |  
[2024-03-18 11:12:58] [world] The Player <Rip_Dogwater> has picked 3 of COOKED_BEEF at X= -655, Y= 72, Z= 562 that had [] enchantment(s) |  
[2024-03-18 11:12:59] [world] The Player <Rip_Dogwater> has picked 1 of LEATHER at X= -655, Y= 72, Z= 562 that had [] enchantment(s) |  
[2024-03-18 11:14:44] [world] The Player <Rip_Dogwater> has picked 2 of GRILLED_PORK at X= -604, Y= 68, Z= 291 that had [] enchantment(s) |  
[2024-03-18 11:14:57] [world] The Player <Rip_Dogwater> has picked 1 of WOOL at X= -622, Y= 68, Z= 308 that had [] enchantment(s) |  
[2024-03-18 11:14:57] [world] The Player <Rip_Dogwater> has picked 2 of COOKED_MUTTON at X= -622, Y= 68, Z= 307 that had [] enchantment(s) |  
[2024-03-18 11:15:45] [world] The Player <qwerty> has picked 1 of NETHER_STALK at X= -496, Y= 77, Z= -480 that had [] enchantment(s) |  
[2024-03-18 11:15:54] [world] The Player <qwerty> has picked 1 of NETHER_STALK at X= -499, Y= 77, Z= -480 that had [] enchantment(s) |  
[2024-03-18 11:18:12] [world] The Player <sharky> has picked 1 of SAND at X= -509, Y= 92, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:18:13] [world] The Player <sharky> has picked 1 of SAND at X= -509, Y= 92, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:18:14] [world] The Player <sharky> has picked 2 of SAND at X= -509, Y= 89, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:18:17] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -509, Y= 88, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:18:18] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -509, Y= 86, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:18:18] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -509, Y= 85, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:18:19] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -509, Y= 83, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:18:21] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -509, Y= 81, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:18:21] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -509, Y= 80, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:18:22] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -509, Y= 79, Z= -466 that had [] enchantment(s) |  
