[2024-03-19 11:18:16] [world] The Player <Rip_Dogwater> has picked 1 of WOOL at X= -572, Y= 68, Z= 275 that had [] enchantment(s) |  
[2024-03-19 11:18:16] [world] The Player <Rip_Dogwater> has picked 2 of COOKED_MUTTON at X= -571, Y= 68, Z= 275 that had [] enchantment(s) |  
[2024-03-19 11:18:43] [world] The Player <Koi> has picked 2 of ROTTEN_FLESH at X= -576, Y= 69, Z= 308 that had [] enchantment(s) |  
[2024-03-19 11:18:43] [world] The Player <Koi> has picked 3 of GOLD_NUGGET at X= -575, Y= 69, Z= 308 that had [] enchantment(s) |  
[2024-03-19 11:18:43] [world] The Player <Koi> has picked 1 of GOLD_SWORD at X= -576, Y= 69, Z= 307 that had [] enchantment(s) |  
[2024-03-19 11:20:03] [world] The Player <Mudkips_Rule> has picked 2 of ARROW at X= -1310, Y= 68, Z= -240 that had [] enchantment(s) |  
[2024-03-19 11:21:38] [world] The Player <sharky> has picked 6 of SANDSTONE at X= -495, Y= 77, Z= -481 that had [] enchantment(s) |  
[2024-03-19 11:22:11] [world] The Player <Rip_Dogwater> has picked 1 of LAPIS_ORE at X= -10110, Y= 18, Z= 4091 that had [] enchantment(s) |  
[2024-03-19 11:22:12] [world] The Player <Rip_Dogwater> has picked 1 of STONE at X= -10109, Y= 19, Z= 4091 that had [] enchantment(s) |  
[2024-03-19 11:22:12] [world] The Player <Rip_Dogwater> has picked 1 of LAPIS_ORE at X= -10110, Y= 19, Z= 4091 that had [] enchantment(s) |  
[2024-03-19 11:22:13] [world] The Player <Rip_Dogwater> has picked 1 of LAPIS_ORE at X= -10109, Y= 19, Z= 4092 that had [] enchantment(s) |  
[2024-03-19 11:22:14] [world] The Player <Rip_Dogwater> has picked 1 of LAPIS_ORE at X= -10109, Y= 19, Z= 4091 that had [] enchantment(s) |  
[2024-03-19 11:22:20] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -456, Y= 68, Z= -487 that had [] enchantment(s) |  
[2024-03-19 11:22:34] [world] The Player <Rip_Dogwater> has picked 45 of INK_SACK at X= -10111, Y= 20, Z= 4087 that had [] enchantment(s) |  
[2024-03-19 11:22:34] [world] The Player <Rip_Dogwater> has picked 1 of INK_SACK at X= -10111, Y= 20, Z= 4087 that had [] enchantment(s) |  
[2024-03-19 11:22:34] [world] The Player <Rip_Dogwater> has picked 1 of INK_SACK at X= -10111, Y= 20, Z= 4087 that had [] enchantment(s) |  
[2024-03-19 11:22:35] [world] The Player <Rip_Dogwater> has picked 1 of INK_SACK at X= -10110, Y= 20, Z= 4087 that had [] enchantment(s) |  
[2024-03-19 11:22:36] [world] The Player <Rip_Dogwater> has picked 11 of INK_SACK at X= -10112, Y= 20, Z= 4087 that had [] enchantment(s) |  
[2024-03-19 11:22:36] [world] The Player <Rip_Dogwater> has picked 1 of INK_SACK at X= -10112, Y= 20, Z= 4087 that had [] enchantment(s) |  
[2024-03-19 11:22:36] [world] The Player <Rip_Dogwater> has picked 1 of INK_SACK at X= -10112, Y= 20, Z= 4087 that had [] enchantment(s) |  
[2024-03-19 11:22:36] [world] The Player <Rip_Dogwater> has picked 1 of INK_SACK at X= -10110, Y= 20, Z= 4087 that had [] enchantment(s) |  
[2024-03-19 11:22:36] [world] The Player <Rip_Dogwater> has picked 3 of GOLD_NUGGET at X= -10110, Y= 20, Z= 4086 that had [] enchantment(s) |  
[2024-03-19 11:24:02] [world] The Player <sharky> has picked 1 of NETHER_STALK at X= -498, Y= 76, Z= -479 that had [] enchantment(s) |  
[2024-03-19 11:25:06] [world] The Player <sharky> has picked 1 of GOLD_BOOTS at X= -492, Y= 77, Z= -506 that had [] enchantment(s) |  
[2024-03-19 11:25:06] [world] The Player <sharky> has picked 1 of ARMOR_STAND at X= -492, Y= 77, Z= -506 that had [] enchantment(s) |  
[2024-03-19 11:30:50] [world] The Player <sharky> has picked 4 of STICK at X= -496, Y= 72, Z= -501 that had [] enchantment(s) |  
[2024-03-19 11:30:50] [world] The Player <sharky> has picked 6 of STEP at X= -496, Y= 72, Z= -501 that had [] enchantment(s) |  
[2024-03-19 11:31:11] [world] The Player <I_am_amazing> has picked 1 of EGG at X= -613, Y= 68, Z= 300 that had [] enchantment(s) |  
[2024-03-19 11:33:09] [world] The Player <TurtleDuck> has picked 1 of LEATHER at X= -581, Y= 54, Z= 270 that had [] enchantment(s) |  
[2024-03-19 11:33:17] [world] The Player <TurtleDuck> has picked 2 of LEATHER at X= -582, Y= 54, Z= 274 that had [] enchantment(s) |  
[2024-03-19 11:37:06] [world] The Player <TurtleDuck> has picked 3 of LEATHER at X= -578, Y= 56, Z= 273 that had [] enchantment(s) |  
[2024-03-19 11:37:25] [world] The Player <TurtleDuck> has picked 2 of LEASH at X= -582, Y= 54, Z= 271 that had [] enchantment(s) |  
[2024-03-19 11:37:36] [world] The Player <TurtleDuck> has picked 1 of WOOD at X= -583, Y= 54, Z= 274 that had [] enchantment(s) |  
[2024-03-19 11:42:58] [world] The Player <Mudkips_Rule> has picked 7 of SUGAR at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:43:17] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:43:28] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:43:38] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:43:48] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:43:57] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:43:59] [world] The Player <TurtleDuck> has picked 1 of DIRT at X= -575, Y= 56, Z= 271 that had [] enchantment(s) |  
[2024-03-19 11:44:03] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:44:12] [world] The Player <TurtleDuck> has picked 1 of CARROT_ITEM at X= -576, Y= 56, Z= 272 that had [] enchantment(s) |  
[2024-03-19 11:44:12] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:44:23] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:44:31] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:44:31] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:44:32] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:44:32] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:44:33] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:44:34] [world] The Player <Mudkips_Rule> has picked 1 of ENCHANTED_BOOK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:44:34] [world] The Player <Mudkips_Rule> has picked 44 of INK_SACK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-19 11:45:32] [world_nether] The Player <Mudkips_Rule> has picked 1 of DIRT at X= -148, Y= 70, Z= -93 that had [] enchantment(s) |  
[2024-03-19 11:45:46] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -146, Y= 68, Z= -96 that had [] enchantment(s) |  
[2024-03-19 11:45:54] [world_nether] The Player <Mudkips_Rule> has picked 1 of NETHERRACK at X= -151, Y= 68, Z= -96 that had [] enchantment(s) |  
[2024-03-19 11:45:56] [world_nether] The Player <Mudkips_Rule> has picked 17 of NETHERRACK at X= -155, Y= 67, Z= -97 that had [] enchantment(s) |  
