[2024-03-20 19:10:05] [world] The Player <NezukoChan> has picked 1 of WOOL at X= -10241, Y= 64, Z= 4090 that had [] enchantment(s) |  
[2024-03-20 19:10:08] [world] The Player <NezukoChan> has picked 4 of COOKED_MUTTON at X= -10241, Y= 64, Z= 4091 that had [] enchantment(s) |  
[2024-03-20 19:10:13] [world] The Player <NezukoChan> has picked 27 of DIRT at X= -10240, Y= 64, Z= 4090 that had [] enchantment(s) |  
[2024-03-20 19:11:58] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10176, Y= 64, Z= 4121 that had [] enchantment(s) |  
[2024-03-20 19:21:49] [world] The Player <I_am_amazing> has picked 2 of DIRT at X= -1355, Y= 63, Z= -266 that had [] enchantment(s) |  
[2024-03-20 19:21:50] [world] The Player <Mudkips_Rule> has picked 2 of DIRT at X= -1355, Y= 63, Z= -263 that had [] enchantment(s) |  
[2024-03-20 19:24:54] [world] The Player <Mudkips_Rule> has picked 1 of SEEDS at X= -1358, Y= 67, Z= -243 that had [] enchantment(s) |  
[2024-03-20 19:24:58] [world] The Player <Mudkips_Rule> has picked 1 of LOG_2 at X= -1357, Y= 67, Z= -241 that had [] enchantment(s) |  
[2024-03-20 19:25:15] [world] The Player <Mudkips_Rule> has picked 1 of LOG_2 at X= -1356, Y= 67, Z= -242 that had [] enchantment(s) |  
[2024-03-20 19:25:20] [world] The Player <NezukoChan> has picked 3 of ARROW at X= -10194, Y= 62, Z= 4083 that had [] enchantment(s) |  
[2024-03-20 19:25:20] [world] The Player <NezukoChan> has picked 1 of BONE at X= -10194, Y= 62, Z= 4082 that had [] enchantment(s) |  
[2024-03-20 19:25:25] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10194, Y= 62, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:25:26] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 60, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:25:27] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 59, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:25:33] [world] The Player <NezukoChan> has picked 3 of STONE at X= -10195, Y= 53, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:25:38] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 51, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:25:42] [world] The Player <NezukoChan> has picked 4 of STONE at X= -10195, Y= 43, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:25:44] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 41, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:25:45] [world] The Player <NezukoChan> has picked 3 of STONE at X= -10195, Y= 38, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:25:49] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 37, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:25:49] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 36, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:25:53] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 35, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:26:55] [world] The Player <I_am_amazing> has picked 10 of DIAMOND at X= -1358, Y= 67, Z= -245 that had [] enchantment(s) |  
[2024-03-20 19:26:57] [world] The Player <I_am_amazing> has picked 2 of LOG_2 at X= -1357, Y= 67, Z= -244 that had [] enchantment(s) |  
[2024-03-20 19:27:04] [world] The Player <I_am_amazing> has picked 1 of DIAMOND_CHESTPLATE at X= -1358, Y= 67, Z= -244 that had [] enchantment(s) |  
[2024-03-20 19:27:15] [world] The Player <Mudkips_Rule> has picked 1 of GRILLED_PORK at X= -1356, Y= 67, Z= -243 that had [] enchantment(s) |  
[2024-03-20 19:27:16] [world] The Player <Mudkips_Rule> has picked 2 of LOG_2 at X= -1357, Y= 67, Z= -244 that had [] enchantment(s) |  
[2024-03-20 19:27:38] [world] The Player <I_am_amazing> has picked 8 of INK_SACK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-20 19:27:53] [world] The Player <NezukoChan> has picked 6 of STONE at X= -10195, Y= 29, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:27:59] [world] The Player <NezukoChan> has picked 12 of STONE at X= -10195, Y= 18, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:28:04] [world] The Player <NezukoChan> has picked 6 of STONE at X= -10195, Y= 12, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:28:05] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4078 that had [] enchantment(s) |  
[2024-03-20 19:28:06] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4077 that had [] enchantment(s) |  
[2024-03-20 19:28:09] [world] The Player <NezukoChan> has picked 4 of STONE at X= -10195, Y= 11, Z= 4075 that had [] enchantment(s) |  
[2024-03-20 19:28:09] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4074 that had [] enchantment(s) |  
[2024-03-20 19:28:10] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 12, Z= 4073 that had [] enchantment(s) |  
[2024-03-20 19:28:11] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4073 that had [] enchantment(s) |  
[2024-03-20 19:28:16] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4072 that had [] enchantment(s) |  
[2024-03-20 19:28:17] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4071 that had [] enchantment(s) |  
[2024-03-20 19:28:17] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 12, Z= 4070 that had [] enchantment(s) |  
[2024-03-20 19:28:18] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4071 that had [] enchantment(s) |  
[2024-03-20 19:28:19] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4068 that had [] enchantment(s) |  
[2024-03-20 19:28:20] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4068 that had [] enchantment(s) |  
[2024-03-20 19:28:21] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4067 that had [] enchantment(s) |  
[2024-03-20 19:28:22] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4067 that had [] enchantment(s) |  
[2024-03-20 19:28:22] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4066 that had [] enchantment(s) |  
[2024-03-20 19:28:23] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4065 that had [] enchantment(s) |  
[2024-03-20 19:28:26] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4065 that had [] enchantment(s) |  
[2024-03-20 19:28:57] [world] The Player <I_am_amazing> has picked 2 of CHEST at X= -1355, Y= 63, Z= -266 that had [] enchantment(s) |  
[2024-03-20 19:29:34] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4064 that had [] enchantment(s) |  
[2024-03-20 19:29:35] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4064 that had [] enchantment(s) |  
[2024-03-20 19:29:36] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4064 that had [] enchantment(s) |  
[2024-03-20 19:29:37] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4064 that had [] enchantment(s) |  
[2024-03-20 19:29:39] [world] The Player <NezukoChan> has picked 2 of DIRT at X= -10195, Y= 11, Z= 4062 that had [] enchantment(s) |  
[2024-03-20 19:29:41] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4062 that had [] enchantment(s) |  
[2024-03-20 19:29:42] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4061 that had [] enchantment(s) |  
[2024-03-20 19:29:43] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4060 that had [] enchantment(s) |  
[2024-03-20 19:29:44] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4060 that had [] enchantment(s) |  
[2024-03-20 19:29:46] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4059 that had [] enchantment(s) |  
[2024-03-20 19:29:47] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4058 that had [] enchantment(s) |  
[2024-03-20 19:29:48] [world] The Player <I_am_amazing> has picked 5 of INK_SACK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-20 19:29:52] [world] The Player <Mudkips_Rule> has picked 1 of IRON_PICKAXE at X= -1357, Y= 63, Z= -262 that had [Unbreaking 3, Fortune 3] enchantment(s) |  
[2024-03-20 19:29:58] [world] The Player <I_am_amazing> has picked 11 of INK_SACK at X= -1356, Y= 63, Z= -260 that had [] enchantment(s) |  
[2024-03-20 19:30:01] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4058 that had [] enchantment(s) |  
[2024-03-20 19:30:20] [world] The Player <NezukoChan> has picked 1 of ENDER_CHEST at X= -10195, Y= 11, Z= 4063 that had [] enchantment(s) |  
[2024-03-20 19:30:22] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4058 that had [] enchantment(s) |  
[2024-03-20 19:30:23] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4057 that had [] enchantment(s) |  
[2024-03-20 19:30:27] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4056 that had [] enchantment(s) |  
[2024-03-20 19:30:29] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4056 that had [] enchantment(s) |  
[2024-03-20 19:30:30] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4055 that had [] enchantment(s) |  
[2024-03-20 19:30:31] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4055 that had [] enchantment(s) |  
[2024-03-20 19:30:32] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4054 that had [] enchantment(s) |  
[2024-03-20 19:30:34] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4054 that had [] enchantment(s) |  
[2024-03-20 19:30:35] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4053 that had [] enchantment(s) |  
[2024-03-20 19:30:36] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4053 that had [] enchantment(s) |  
