[2024-03-24 21:45:28] [world] The Player <GolemDaWanderer> has picked 64 of BONE at X= -10300, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 21:45:28] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:46:39] [world] The Player <GolemDaWanderer> has picked 1 of ROTTEN_FLESH at X= -581, Y= 68, Z= 285 that had [] enchantment(s) |  
[2024-03-24 21:47:31] [world] The Player <GolemDaWanderer> has picked 1 of EGG at X= -574, Y= 68, Z= 278 that had [] enchantment(s) |  
[2024-03-24 21:50:19] [world_the_end] The Player <GolemDaWanderer> has picked 1 of ENDER_PEARL at X= 62, Y= 62, Z= 12 that had [] enchantment(s) |  
[2024-03-24 21:50:38] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 21:50:38] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:50:38] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 21:50:38] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 21:50:38] [world] The Player <GolemDaWanderer> has picked 4 of ARROW at X= -10300, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 21:50:45] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10300, Y= 38, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 21:50:51] [world] The Player <GolemDaWanderer> has picked 3 of ARROW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:50:53] [world] The Player <GolemDaWanderer> has picked 4 of ARROW at X= -10300, Y= 38, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 21:51:11] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10299, Y= 37, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:51:12] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:51:13] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:51:26] [world] The Player <GolemDaWanderer> has picked 5 of ARROW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:51:27] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:51:29] [world] The Player <GolemDaWanderer> has picked 5 of BONE at X= -10300, Y= 37, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 21:51:29] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10299, Y= 38, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:51:34] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 21:51:44] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10299, Y= 36, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 21:51:57] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10300, Y= 36, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 21:51:57] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:52:18] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10296, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 21:52:23] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:52:24] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:52:30] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10298, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 21:52:30] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10298, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 21:52:51] [world] The Player <GolemDaWanderer> has picked 1 of HOPPER at X= -10299, Y= 33, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 21:52:57] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 33, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 21:52:57] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10300, Y= 33, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 21:53:30] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 33, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 21:53:42] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10298, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 21:53:43] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:53:54] [world] The Player <Tester> has picked 1 of COOKED_BEEF at X= -562, Y= 68, Z= 265 that had [] enchantment(s) |  
